step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,94.8,system,
10000,28.882,1.849,1.446,5.015,process_tree,1.97,process_tree,638.73
20000,52.002,5.735,5.147,4.985,process_tree,1.99,process_tree,644.55
30000,75.406,26.419,27.078,5.015,process_tree,1.99,process_tree,644.16
40000,97.511,53.585,38.582,5.015,process_tree,1.99,process_tree,645.01
50000,121.606,47.735,37.458,5.015,process_tree,1.99,process_tree,644.88
60000,142.447,56.557,41.269,7.165000000000001,process_tree,1.99,process_tree,645.54
70000,164.508,48.65,43.737,5.735,process_tree,1.99,process_tree,645.78
80000,187.554,62.394,36.698,4.3,process_tree,1.99,process_tree,646.0
90000,210.187,85.914,34.503,6.45,process_tree,1.99,process_tree,645.54
100000,231.439,64.89,38.032,5.735,process_tree,1.99,process_tree,645.79
110000,254.876,57.017,39.579,6.39,process_tree,1.99,process_tree,645.27
120000,277.808,81.893,34.999,7.390000000000001,process_tree,1.99,process_tree,645.95
130000,299.692,91.783,27.252,19.97,process_tree,2.0,process_tree,646.68
140000,321.218,64.064,38.343,15.0,process_tree,2.0,process_tree,646.67
150000,344.526,79.592,35.887,4.970000000000001,process_tree,2.0,process_tree,646.88
160000,366.469,91.06,26.82,5.015,process_tree,2.0,process_tree,647.18
170000,388.358,98.69,3.93,13.6,process_tree,2.0,process_tree,646.91
180000,411.114,85.379,28.387,4.970000000000001,process_tree,2.0,process_tree,646.75
190000,432.537,78.7,30.355,4.985,process_tree,2.0,process_tree,646.89
200000,454.85,73.129,33.965,4.970000000000001,process_tree,2.0,process_tree,647.32
210000,477.161,89.078,30.893,4.970000000000001,process_tree,2.0,process_tree,646.66
220000,499.924,100.0,0.0,4.970000000000001,process_tree,2.0,process_tree,647.13
230000,522.743,97.12,8.64,4.970000000000001,process_tree,2.0,process_tree,646.65
240000,545.013,92.546,25.821,7.885,process_tree,2.0,process_tree,646.6
250000,568.268,74.593,36.764,5.015,process_tree,2.0,process_tree,647.09
260000,590.189,57.612,47.801,6.45,process_tree,2.0,process_tree,646.98
270000,613.811,57.443,49.143,5.015,process_tree,2.0,process_tree,646.6
280000,637.288,60.1,47.728,7.365,process_tree,2.0,process_tree,646.81
290000,660.606,75.538,42.387,5.680000000000001,process_tree,2.0,process_tree,647.43
300000,684.679,56.28,47.445,5.015,process_tree,2.0,process_tree,647.83
310000,709.908,56.031,45.701,5.6850000000000005,process_tree,2.0,process_tree,647.24
320000,732.635,63.807,44.975,6.45,process_tree,2.0,process_tree,646.99
330000,755.063,100.0,0.0,5.725,process_tree,2.0,process_tree,647.33
340000,777.546,100.0,0.0,4.3,process_tree,2.0,process_tree,647.02
350000,800.691,100.0,0.0,5.015,process_tree,2.0,process_tree,646.93
360000,822.988,87.55,32.94,5.015,process_tree,2.0,process_tree,646.99
370000,845.261,77.2,41.627,3.585,process_tree,2.0,process_tree,647.21
380000,867.429,100.0,0.0,4.3,process_tree,2.0,process_tree,646.98
390000,889.748,66.712,44.392,12.13,process_tree,2.0,process_tree,647.07
400000,912.425,68.106,43.239,5.015,process_tree,2.0,process_tree,647.18
410000,934.467,85.418,26.789,7.85,process_tree,1.99,process_tree,646.03
420000,956.462,66.464,37.328,5.68,process_tree,2.0,process_tree,646.98
430000,978.842,71.879,44.47,4.970000000000001,process_tree,2.0,process_tree,647.34
440000,1000.631,80.554,37.01,5.01,process_tree,2.0,process_tree,647.43
450000,1022.533,37.543,47.548,5.015,process_tree,2.0,process_tree,647.68
460000,1045.056,63.656,43.426,5.015,process_tree,2.0,process_tree,647.43
470000,1066.744,83.45,37.008,14.219999999999999,process_tree,2.0,process_tree,647.62
480000,1088.179,50.975,49.117,5.735,process_tree,2.0,process_tree,646.67
490000,1109.515,51.185,48.854,7.165000000000001,process_tree,2.0,process_tree,647.3
500000,1131.568,62.413,46.6,5.015,process_tree,2.03,process_tree,656.31
500000,1153.628,0.54,0.215,5.015,process_tree,2.0,process_tree,646.36
510000,1169.0,100.0,0.0,4.3,process_tree,2.02,process_tree,654.33
520000,1186.658,80.638,35.178,6.39,process_tree,2.02,process_tree,655.73
530000,1207.567,34.717,46.072,17.05,process_tree,2.03,process_tree,656.15
540000,1227.449,100.0,0.0,4.3,process_tree,2.02,process_tree,655.53
550000,1245.734,75.306,42.571,6.39,process_tree,2.03,process_tree,656.18
560000,1264.003,100.0,0.0,6.45,process_tree,2.02,process_tree,655.7
570000,1283.025,100.0,0.0,5.68,process_tree,2.03,process_tree,656.12
580000,1302.6779999999999,89.0,31.113,6.39,process_tree,2.03,process_tree,656.19
590000,1321.883,84.785,35.684,15.75,process_tree,2.03,process_tree,656.44
600000,1341.2069999999999,14.918,33.389,4.3,process_tree,2.03,process_tree,656.6
610000,1360.24,17.92,36.73,5.68,process_tree,2.03,process_tree,657.3
620000,1378.862,24.316,42.166,7.12,process_tree,2.02,process_tree,655.49
