step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,78.3,system,
10000,37.204,1.167,0.808,12.85,process_tree,2.01,process_tree,651.01
20000,44.755,1.158,0.725,12.075,process_tree,2.08,process_tree,674.26
30000,52.65,1.138,0.688,22.770000000000003,process_tree,2.15,process_tree,697.89
40000,59.939,1.135,0.703,7.15,process_tree,2.22,process_tree,718.54
50000,68.288,1.162,0.694,5.015,process_tree,2.29,process_tree,741.1
60000,77.955,1.196,0.728,13.55,process_tree,2.35,process_tree,761.96
70000,87.768,1.093,0.761,13.615,process_tree,2.43,process_tree,785.78
80000,96.5,1.153,0.715,18.63,process_tree,2.49,process_tree,807.81
90000,106.899,1.16,0.736,24.35,process_tree,2.56,process_tree,829.88
100000,117.48,1.216,0.779,11.42,process_tree,2.64,process_tree,853.85
110000,125.766,1.142,0.694,17.18,process_tree,2.71,process_tree,877.45
120000,134.885,1.179,0.731,10.120000000000001,process_tree,2.76,process_tree,893.23
130000,143.917,1.148,0.674,17.695,process_tree,2.82,process_tree,913.15
140000,151.677,1.16,0.66,11.425,process_tree,2.88,process_tree,934.53
150000,160.627,1.131,0.705,20.634999999999998,process_tree,2.95,process_tree,956.11
160000,168.704,1.231,0.784,15.59,process_tree,3.02,process_tree,978.02
170000,175.154,1.156,0.657,14.305000000000001,process_tree,3.09,process_tree,999.53
180000,182.162,1.193,0.741,17.81,process_tree,3.15,process_tree,1021.4
190000,188.958,1.129,0.8,19.240000000000002,process_tree,3.22,process_tree,1043.53
200000,196.72,1.191,0.732,23.619999999999997,process_tree,3.29,process_tree,1065.09
210000,203.819,1.075,0.679,20.044999999999998,process_tree,3.35,process_tree,1086.68
220000,210.223,1.208,0.773,12.145,process_tree,3.42,process_tree,1107.65
230000,217.821,1.206,0.772,8.6,process_tree,3.49,process_tree,1130.01
240000,224.447,1.164,0.71,15.76,process_tree,3.55,process_tree,1151.18
250000,231.794,1.179,0.703,7.8549999999999995,process_tree,3.62,process_tree,1173.56
260000,238.779,1.175,0.72,7.8549999999999995,process_tree,3.69,process_tree,1194.84
270000,348.947,1.211,0.705,7.159999999999999,process_tree,2.51,process_tree,811.89
280000,356.304,1.192,0.721,17.18,process_tree,2.41,process_tree,781.61
290000,363.22,1.205,0.731,8.565000000000001,process_tree,2.42,process_tree,782.89
300000,371.995,1.115,0.684,6.535000000000001,process_tree,2.43,process_tree,788.59
310000,378.822,1.219,0.789,12.865,process_tree,2.45,process_tree,794.05
320000,385.953,1.184,0.741,9.290000000000001,process_tree,2.48,process_tree,802.32
330000,392.66,1.162,0.688,9.265,process_tree,2.49,process_tree,806.71
340000,399.856,1.156,0.668,12.169999999999998,process_tree,2.54,process_tree,821.39
350000,408.317,1.208,0.74,7.875,process_tree,2.58,process_tree,837.15
360000,415.072,1.211,0.762,37.010000000000005,process_tree,2.67,process_tree,865.7
370000,422.738,1.121,0.722,10.73,process_tree,2.73,process_tree,885.27
380000,429.899,1.151,0.659,25.794999999999998,process_tree,2.78,process_tree,901.92
390000,437.872,1.166,0.763,17.05,process_tree,2.85,process_tree,922.3
400000,446.731,1.156,0.734,21.455000000000002,process_tree,2.84,process_tree,919.22
410000,454.295,1.119,0.713,19.94,process_tree,2.91,process_tree,941.38
420000,461.721,1.139,0.66,15.694999999999999,process_tree,2.97,process_tree,962.93
430000,468.379,1.123,0.675,19.189999999999998,process_tree,3.04,process_tree,985.02
440000,476.23,1.163,0.696,5.7,process_tree,3.11,process_tree,1006.69
450000,484.691,1.137,0.693,11.455,process_tree,3.18,process_tree,1028.54
460000,493.685,1.19,0.638,14.325,process_tree,3.24,process_tree,1048.61
470000,502.74,1.168,0.713,18.265,process_tree,3.31,process_tree,1070.92
480000,511.445,1.193,0.688,16.475,process_tree,3.37,process_tree,1092.62
490000,518.948,1.237,0.724,9.295,process_tree,3.44,process_tree,1113.81
500000,526.616,1.153,0.677,0.7150000000000001,process_tree,3.53,process_tree,1144.59
510000,534.493,1.137,0.627,6.44,process_tree,3.61,process_tree,1168.88
520000,542.358,1.167,0.639,13.580000000000002,process_tree,3.67,process_tree,1188.96
530000,549.634,1.145,0.706,14.930000000000001,process_tree,3.74,process_tree,1211.66
540000,657.758,1.104,0.646,7.83,process_tree,2.83,process_tree,915.69
550000,664.928,1.206,0.711,14.125,process_tree,2.81,process_tree,911.47
560000,672.579,1.32,0.833,9.309999999999999,process_tree,2.83,process_tree,917.78
570000,679.406,1.287,0.763,16.415,process_tree,2.86,process_tree,926.71
580000,686.2,1.224,0.698,22.195,process_tree,2.89,process_tree,937.05
590000,692.544,1.327,0.818,10.705000000000002,process_tree,2.94,process_tree,952.1
600000,699.853,1.321,0.801,4.295,process_tree,2.96,process_tree,959.48
610000,708.067,1.31,0.747,13.49,process_tree,2.99,process_tree,969.64
620000,716.79,1.276,0.739,12.830000000000002,process_tree,3.03,process_tree,980.05
630000,725.408,1.251,0.792,11.455000000000002,process_tree,3.07,process_tree,992.86
640000,734.334,1.228,0.721,6.4300000000000015,process_tree,3.1,process_tree,1005.27
650000,742.725,1.259,0.782,15.005,process_tree,3.11,process_tree,1006.76
660000,752.05,1.329,0.867,10.705000000000002,process_tree,3.12,process_tree,1011.75
670000,759.961,1.252,0.787,19.229999999999997,process_tree,2.97,process_tree,961.55
680000,766.782,1.254,0.764,22.839999999999996,process_tree,2.99,process_tree,967.76
690000,774.026,1.299,0.852,12.87,process_tree,3.02,process_tree,977.76
700000,781.909,1.301,0.789,7.159999999999999,process_tree,3.09,process_tree,999.62
710000,789.654,1.25,0.712,8.565000000000001,process_tree,3.15,process_tree,1020.45
720000,797.879,1.292,0.749,11.444999999999999,process_tree,3.22,process_tree,1042.71
730000,805.662,1.252,0.737,9.99,process_tree,3.29,process_tree,1064.73
740000,813.871,1.26,0.785,6.3950000000000005,process_tree,3.35,process_tree,1085.54
750000,820.457,1.356,0.804,17.81,process_tree,3.42,process_tree,1107.75
760000,828.126,1.268,0.779,7.470000000000001,process_tree,3.48,process_tree,1128.87
770000,835.109,1.306,0.757,17.16,process_tree,3.55,process_tree,1150.87
780000,843.643,1.267,0.751,15.030000000000001,process_tree,3.62,process_tree,1172.18
790000,851.706,1.285,0.771,17.115,process_tree,3.68,process_tree,1192.75
800000,859.875,1.258,0.772,7.1450000000000005,process_tree,3.75,process_tree,1213.71
810000,969.3,1.374,0.908,23.625,process_tree,2.9,process_tree,940.98
820000,976.502,1.814,1.164,17.044999999999998,process_tree,2.84,process_tree,919.88
830000,983.173,1.742,1.165,11.425,process_tree,2.86,process_tree,926.47
840000,990.403,1.843,1.195,19.98,process_tree,2.9,process_tree,940.11
850000,997.033,1.807,1.091,15.684999999999999,process_tree,2.93,process_tree,949.69
860000,1004.053,1.79,1.124,20.035,process_tree,2.99,process_tree,968.09
870000,1014.438,1.758,1.243,8.584999999999999,process_tree,3.02,process_tree,978.29
880000,1024.073,1.724,1.106,14.964999999999998,process_tree,3.05,process_tree,986.68
890000,1033.506,1.699,1.029,6.3950000000000005,process_tree,3.07,process_tree,995.1
900000,1041.963,1.829,1.149,15.684999999999999,process_tree,3.12,process_tree,1010.23
910000,1051.767,1.928,1.235,17.2,process_tree,3.15,process_tree,1018.94
920000,1060.513,1.824,1.205,15.91,process_tree,3.16,process_tree,1023.46
930000,1069.007,1.883,1.222,14.330000000000002,process_tree,2.99,process_tree,968.83
940000,1077.386,1.752,1.118,15.74,process_tree,3.01,process_tree,974.12
950000,1087.556,1.797,1.22,15.02,process_tree,3.03,process_tree,981.79
960000,1097.77,1.823,1.152,15.665000000000001,process_tree,3.05,process_tree,988.03
970000,1107.392,1.71,1.172,15.060000000000002,process_tree,3.09,process_tree,1000.68
980000,1116.14,1.817,1.115,8.59,process_tree,3.16,process_tree,1022.34
990000,1125.525,1.782,1.166,17.189999999999998,process_tree,3.22,process_tree,1043.62
1000000,1134.432,1.844,1.158,9.995,process_tree,3.29,process_tree,1064.77
1010000,1143.152,1.962,1.321,34.375,process_tree,3.36,process_tree,1087.17
1020000,1151.534,1.909,1.098,15.189999999999998,process_tree,3.42,process_tree,1108.02
1030000,1159.592,1.799,1.076,13.594999999999999,process_tree,3.49,process_tree,1130.61
1040000,1167.044,1.922,1.273,11.41,process_tree,3.55,process_tree,1151.47
1050000,1175.806,1.84,1.279,13.77,process_tree,3.62,process_tree,1172.66
1060000,1183.823,1.941,1.203,20.764999999999997,process_tree,3.69,process_tree,1195.29
1070000,1192.519,1.858,1.2,6.404999999999999,process_tree,3.75,process_tree,1215.12
1080000,1307.313,2.268,1.442,11.695,process_tree,2.97,process_tree,960.74
1090000,1314.457,3.225,2.315,26.339999999999996,process_tree,2.91,process_tree,941.29
1100000,1320.905,2.959,1.972,12.129999999999999,process_tree,2.91,process_tree,942.55
1110000,1327.809,3.187,2.034,11.345,process_tree,2.94,process_tree,951.04
1120000,1335.977,3.174,2.455,10.12,process_tree,3.01,process_tree,973.66
1130000,1343.672,3.156,2.126,14.289999999999997,process_tree,3.03,process_tree,983.05
1140000,1350.873,3.032,2.031,16.465,process_tree,3.07,process_tree,995.3
1150000,1356.933,3.079,2.186,17.155,process_tree,3.1,process_tree,1005.35
1160000,1363.526,3.141,2.378,12.475,process_tree,3.13,process_tree,1013.56
1170000,1369.836,3.183,2.485,7.159999999999999,process_tree,3.17,process_tree,1027.02
1180000,1376.477,3.185,2.358,27.195,process_tree,3.22,process_tree,1042.56
1190000,1384.108,2.95,2.274,14.294999999999998,process_tree,3.23,process_tree,1046.79
1200000,1390.986,3.074,2.264,7.15,process_tree,3.24,process_tree,1048.89
1210000,1399.593,3.047,2.192,19.32,process_tree,3.05,process_tree,988.17
1220000,1407.959,3.229,2.451,5.015,process_tree,3.07,process_tree,993.65
1230000,1416.304,2.895,2.057,13.575,process_tree,3.09,process_tree,1000.61
1240000,1424.021,2.98,2.124,14.930000000000001,process_tree,3.11,process_tree,1007.1
1250000,1432.395,3.3,2.5,17.19,process_tree,3.15,process_tree,1021.95
1260000,1440.526,3.074,2.301,20.04,process_tree,3.22,process_tree,1043.12
1270000,1449.092,3.316,2.594,7.835000000000001,process_tree,3.29,process_tree,1064.59
1280000,1456.955,3.165,2.382,9.27,process_tree,3.35,process_tree,1086.05
1290000,1463.99,3.46,2.408,16.47,process_tree,3.42,process_tree,1108.08
1300000,1470.308,2.915,2.075,7.15,process_tree,3.48,process_tree,1128.53
1310000,1479.239,3.334,2.364,10.015,process_tree,3.55,process_tree,1151.09
1320000,1486.839,3.199,2.456,16.385,process_tree,3.62,process_tree,1172.35
1330000,1493.89,3.2,2.324,17.06,process_tree,3.68,process_tree,1193.54
1340000,1500.199,3.352,2.53,13.540000000000001,process_tree,3.75,process_tree,1215.58
1350000,1605.908,3.608,3.355,7.1450000000000005,process_tree,2.94,process_tree,951.77
1360000,1612.514,6.929,6.267,13.775,process_tree,2.93,process_tree,948.0
1370000,1619.572,7.181,6.129,26.405,process_tree,2.93,process_tree,949.54
1380000,1626.532,6.765,6.477,15.684999999999999,process_tree,2.96,process_tree,958.08
1390000,1632.816,6.898,6.358,17.18,process_tree,3.0,process_tree,971.34
1400000,1639.03,6.806,6.666,17.81,process_tree,3.05,process_tree,988.46
1410000,1645.173,8.481,7.533,8.07,process_tree,3.09,process_tree,1000.84
1420000,1651.409,7.794,6.885,19.335,process_tree,3.11,process_tree,1006.27
1430000,1657.353,7.181,6.037,14.285,process_tree,3.13,process_tree,1014.82
1440000,1663.294,7.012,6.279,8.330000000000002,process_tree,3.18,process_tree,1028.48
1450000,1669.405,6.923,6.243,17.9,process_tree,3.21,process_tree,1039.82
1460000,1676.31,7.005,6.109,15.039999999999997,process_tree,3.23,process_tree,1047.38
1470000,1683.387,7.048,6.754,12.944999999999999,process_tree,3.04,process_tree,983.68
1480000,1691.174,7.581,7.047,12.85,process_tree,3.05,process_tree,989.05
1490000,1699.285,8.443,8.542,6.4399999999999995,process_tree,3.08,process_tree,996.23
1500000,1706.412,7.803,6.963,12.135000000000002,process_tree,3.1,process_tree,1002.7
1510000,1712.746,7.106,6.471,10.745000000000001,process_tree,3.12,process_tree,1009.37
1520000,1718.7,6.395,5.396,16.395,process_tree,3.17,process_tree,1026.05
1530000,1725.16,6.689,5.217,13.535,process_tree,3.23,process_tree,1047.84
1540000,1731.428,8.5,7.451,16.445,process_tree,3.3,process_tree,1068.82
1550000,1737.922,7.051,5.797,10.975,process_tree,3.37,process_tree,1090.73
1560000,1744.052,7.393,6.944,20.04,process_tree,3.43,process_tree,1111.82
1570000,1750.687,6.611,6.306,9.275,process_tree,3.5,process_tree,1133.73
1580000,1757.727,6.868,6.786,12.14,process_tree,3.57,process_tree,1155.26
1590000,1764.343,7.422,6.457,16.455000000000002,process_tree,3.63,process_tree,1176.34
1600000,1771.304,7.462,6.308,12.940000000000001,process_tree,3.7,process_tree,1198.12
1610000,1779.589,7.303,7.184,17.169999999999998,process_tree,3.77,process_tree,1219.66
1620000,1889.785,9.063,9.036,6.45,process_tree,2.98,process_tree,965.54
1630000,1896.822,22.5,17.787,10.604999999999999,process_tree,2.93,process_tree,949.79
1640000,1903.931,25.662,25.878,13.570000000000002,process_tree,2.96,process_tree,958.75
1650000,1910.848,25.93,21.612,9.99,process_tree,2.99,process_tree,967.25
1660000,1917.582,20.802,23.67,13.115,process_tree,3.03,process_tree,982.7
1670000,1924.248,24.249,26.471,17.915,process_tree,3.06,process_tree,991.96
1680000,1931.419,23.705,23.122,19.715,process_tree,3.12,process_tree,1012.25
1690000,1937.851,23.115,25.25,14.294999999999998,process_tree,3.16,process_tree,1022.91
1700000,1943.548,20.088,20.942,7.87,process_tree,3.19,process_tree,1033.8
1710000,1950.997,22.785,20.635,8.540000000000001,process_tree,3.23,process_tree,1046.12
1720000,1957.682,22.163,23.779,10.434999999999999,process_tree,3.26,process_tree,1055.59
