step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,85.7,system,
10000,20.108,1.143,0.747,8.540000000000001,process_tree,1.98,process_tree,642.96
20000,32.631,1.625,0.948,7.880000000000001,process_tree,1.99,process_tree,645.47
30000,44.569,2.374,1.492,12.889999999999997,process_tree,1.99,process_tree,646.14
40000,56.221,3.36,2.534,9.32,process_tree,2.01,process_tree,650.61
50000,69.584,4.72,4.067,10.735,process_tree,1.99,process_tree,645.68
60000,80.836,7.224,6.449,24.35,process_tree,2.0,process_tree,646.41
70000,92.218,11.27,10.227,16.47,process_tree,1.99,process_tree,646.14
80000,103.302,17.722,18.529,6.5600000000000005,process_tree,2.0,process_tree,646.56
90000,115.813,40.704,34.479,19.91,process_tree,2.01,process_tree,652.23
100000,127.203,73.783,42.179,20.04,process_tree,2.0,process_tree,647.56
110000,138.285,100.0,0.0,12.844999999999999,process_tree,2.02,process_tree,653.97
120000,149.831,69.592,45.612,20.68,process_tree,2.0,process_tree,648.19
130000,160.721,80.914,32.367,5.015,process_tree,2.02,process_tree,653.04
140000,172.807,100.0,0.0,5.720000000000001,process_tree,2.01,process_tree,652.64
150000,183.594,100.0,0.0,7.159999999999999,process_tree,2.02,process_tree,653.08
160000,194.844,100.0,0.0,16.465,process_tree,2.0,process_tree,648.12
170000,205.943,95.02,14.94,4.970000000000001,process_tree,2.0,process_tree,648.38
180000,217.959,100.0,0.0,22.2,process_tree,2.02,process_tree,654.39
190000,229.32,100.0,0.0,14.325,process_tree,2.02,process_tree,652.86
200000,240.835,78.871,40.459,18.615000000000002,process_tree,2.02,process_tree,655.65
210000,251.868,100.0,0.0,6.409999999999999,process_tree,2.0,process_tree,648.78
220000,262.505,100.0,0.0,5.015,process_tree,2.02,process_tree,654.47
230000,274.87,83.35,37.231,21.36,process_tree,2.02,process_tree,653.22
240000,285.962,100.0,0.0,15.035,process_tree,2.02,process_tree,653.7
250000,297.147,85.75,34.905,10.715,process_tree,2.0,process_tree,649.01
260000,308.513,100.0,0.0,4.3,process_tree,2.0,process_tree,649.07
270000,321.349,84.662,35.972,17.82,process_tree,2.01,process_tree,649.58
280000,333.487,100.0,0.0,7.019999999999999,process_tree,2.02,process_tree,653.39
290000,344.749,83.475,36.951,15.015,process_tree,2.02,process_tree,655.16
300000,356.442,90.09,29.73,19.884999999999998,process_tree,2.0,process_tree,649.02
310000,368.233,92.377,26.407,5.735,process_tree,2.02,process_tree,655.54
320000,380.135,83.358,37.212,11.455,process_tree,2.02,process_tree,653.94
330000,391.681,100.0,0.0,10.74,process_tree,2.02,process_tree,654.03
340000,403.633,85.771,34.853,3.55,process_tree,2.0,process_tree,649.0
350000,415.053,77.115,41.781,6.435,process_tree,2.01,process_tree,649.73
