step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,76.1,system,
10000,24.79,1.204,0.755,4.3,process_tree,1.96,process_tree,634.75
20000,43.918,1.813,1.055,22.2,process_tree,1.97,process_tree,636.89
30000,60.962,2.512,1.667,5.735,process_tree,1.97,process_tree,637.14
40000,79.954,2.755,2.111,5.7299999999999995,process_tree,1.97,process_tree,637.72
50000,98.138,3.459,2.821,6.45,process_tree,1.97,process_tree,637.83
60000,115.688,4.395,4.055,6.3950000000000005,process_tree,1.97,process_tree,638.48
70000,133.092,4.558,3.85,4.970000000000001,process_tree,1.97,process_tree,638.82
80000,150.015,5.863,4.729,4.970000000000001,process_tree,1.97,process_tree,639.09
90000,167.154,6.543,5.727,6.39,process_tree,1.97,process_tree,639.69
100000,184.515,7.043,5.812,17.155,process_tree,1.98,process_tree,640.3
110000,202.067,6.951,5.924,5.015,process_tree,1.98,process_tree,640.59
120000,218.53,7.62,5.449,5.015,process_tree,1.98,process_tree,640.43
130000,235.815,8.257,6.031,5.015,process_tree,1.98,process_tree,640.75
140000,251.952,10.153,9.237,5.88,process_tree,1.98,process_tree,641.21
150000,268.502,11.337,9.407,10.74,process_tree,1.98,process_tree,640.87
160000,284.895,14.472,14.273,4.970000000000001,process_tree,1.98,process_tree,640.48
170000,301.837,13.705,9.686,6.45,process_tree,1.98,process_tree,641.27
180000,318.753,13.671,11.688,6.589999999999999,process_tree,1.98,process_tree,641.97
190000,334.908,19.396,13.083,5.735,process_tree,1.98,process_tree,642.33
200000,351.546,20.056,14.072,5.735,process_tree,1.98,process_tree,642.84
210000,369.131,24.498,15.033,5.725,process_tree,1.98,process_tree,642.89
220000,385.44,22.619,16.996,6.404999999999999,process_tree,1.98,process_tree,642.86
230000,401.647,46.6,32.396,4.26,process_tree,1.98,process_tree,642.59
240000,418.966,33.673,24.499,5.725,process_tree,1.98,process_tree,642.84
250000,434.125,40.792,24.547,5.015,process_tree,1.98,process_tree,642.88
260000,452.177,31.942,23.93,4.970000000000001,process_tree,1.99,process_tree,643.23
270000,468.755,61.543,31.733,5.735,process_tree,1.98,process_tree,642.93
280000,484.432,40.838,29.064,4.970000000000001,process_tree,1.98,process_tree,642.84
290000,501.584,21.436,9.574,4.3,process_tree,1.98,process_tree,642.84
300000,517.223,58.133,36.421,4.970000000000001,process_tree,1.99,process_tree,643.09
310000,534.991,48.881,20.916,13.569999999999999,process_tree,1.99,process_tree,643.06
320000,551.078,53.86,31.225,11.405,process_tree,1.99,process_tree,643.02
330000,566.25,48.532,32.467,5.015,process_tree,1.99,process_tree,643.02
340000,583.112,64.607,38.878,5.015,process_tree,1.98,process_tree,642.91
350000,599.851,55.637,30.888,4.970000000000001,process_tree,1.98,process_tree,642.72
360000,616.574,46.41,28.864,5.015,process_tree,1.99,process_tree,643.29
370000,633.127,31.296,27.435,5.015,process_tree,1.98,process_tree,642.8
380000,650.269,40.257,27.454,8.57,process_tree,1.99,process_tree,643.61
390000,666.744,25.959,19.052,8.005,process_tree,1.98,process_tree,642.96
400000,684.114,31.556,24.212,3.585,process_tree,1.99,process_tree,643.32
410000,701.355,28.313,20.595,4.970000000000001,process_tree,1.99,process_tree,643.2
420000,718.586,35.283,28.257,5.735,process_tree,1.99,process_tree,643.04
430000,734.368,45.552,35.068,5.015,process_tree,1.98,process_tree,642.95
440000,750.696,34.663,20.302,11.440000000000001,process_tree,1.98,process_tree,642.98
450000,766.607,18.465,11.406,11.620000000000001,process_tree,1.99,process_tree,643.01
460000,783.258,21.562,20.125,5.735,process_tree,1.99,process_tree,643.01
470000,799.518,86.82,27.234,5.015,process_tree,1.99,process_tree,643.01
480000,816.157,84.05,28.201,6.45,process_tree,1.99,process_tree,643.32
490000,832.9,36.297,24.672,4.26,process_tree,1.99,process_tree,643.36
500000,848.811,43.0,30.066,12.48,process_tree,2.01,process_tree,651.86
510000,864.551,65.917,34.868,4.154999999999999,process_tree,2.02,process_tree,653.26
520000,882.293,38.978,26.869,4.970000000000001,process_tree,2.02,process_tree,653.8
530000,899.165,38.514,22.611,12.16,process_tree,2.02,process_tree,654.0
540000,915.195,51.029,33.508,4.3,process_tree,2.02,process_tree,653.82
550000,932.267,57.894,38.605,6.39,process_tree,2.02,process_tree,653.7
560000,948.143,44.161,39.783,5.015,process_tree,2.02,process_tree,653.35
570000,965.086,32.817,28.638,5.015,process_tree,2.02,process_tree,654.0
580000,982.433,100.0,0.0,4.970000000000001,process_tree,2.02,process_tree,653.89
590000,999.306,70.288,33.745,5.01,process_tree,2.02,process_tree,654.23
600000,1015.669,22.228,21.174,4.970000000000001,process_tree,2.02,process_tree,654.39
610000,1032.653,26.51,20.694,7.165000000000001,process_tree,2.02,process_tree,654.79
620000,1049.658,36.696,29.679,5.015,process_tree,2.02,process_tree,654.37
630000,1067.356,40.983,31.083,4.970000000000001,process_tree,2.02,process_tree,654.36
640000,1084.362,35.358,29.791,7.12,process_tree,2.02,process_tree,654.38
650000,1100.656,100.0,0.0,5.82,process_tree,2.02,process_tree,654.16
660000,1117.38,100.0,0.0,13.919999999999998,process_tree,2.02,process_tree,654.27
670000,1135.32,100.0,0.0,7.1450000000000005,process_tree,2.02,process_tree,654.32
680000,1152.134,86.154,25.357,4.3,process_tree,2.02,process_tree,654.12
690000,1168.794,47.078,33.324,5.82,process_tree,2.02,process_tree,654.19
700000,1186.422,56.1,38.726,5.68,process_tree,2.02,process_tree,654.14
710000,1203.527,84.889,31.121,18.595,process_tree,2.02,process_tree,654.31
720000,1220.126,46.474,37.509,6.435,process_tree,2.02,process_tree,654.03
730000,1237.655,70.162,38.891,4.26,process_tree,2.02,process_tree,654.2
740000,1253.793,64.829,40.899,5.015,process_tree,2.02,process_tree,654.08
750000,1270.969,48.258,36.936,6.45,process_tree,2.02,process_tree,654.67
760000,1287.878,84.069,31.023,9.290000000000001,process_tree,2.02,process_tree,654.15
770000,1304.304,43.2,34.548,4.970000000000001,process_tree,2.02,process_tree,654.55
780000,1321.217,41.283,27.815,4.970000000000001,process_tree,2.02,process_tree,654.18
