step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,92.4,system,
10000,18.363,1.137,0.706,24.21,process_tree,1.98,process_tree,639.86
20000,32.099,1.297,0.754,8.535,process_tree,1.98,process_tree,641.55
30000,44.278,1.359,0.878,22.884999999999998,process_tree,1.98,process_tree,641.75
40000,58.168,1.666,0.934,14.975,process_tree,1.98,process_tree,640.75
50000,70.185,2.014,1.232,11.434999999999999,process_tree,1.98,process_tree,640.95
60000,83.227,2.455,1.532,12.094999999999999,process_tree,1.98,process_tree,641.87
70000,94.485,2.957,2.273,9.295,process_tree,1.98,process_tree,642.47
80000,108.028,3.516,2.586,9.3,process_tree,1.98,process_tree,641.82
90000,119.259,4.046,3.608,10.705000000000002,process_tree,1.98,process_tree,641.93
100000,131.025,4.257,3.628,21.455000000000002,process_tree,1.98,process_tree,642.88
110000,142.603,5.555,4.956,5.015,process_tree,1.99,process_tree,643.32
120000,156.095,6.493,6.782,7.255,process_tree,1.99,process_tree,644.61
130000,167.142,7.096,6.892,6.404999999999999,process_tree,1.99,process_tree,644.12
140000,179.635,6.021,5.784,12.145,process_tree,1.99,process_tree,645.39
150000,191.516,6.549,6.897,12.145,process_tree,1.99,process_tree,645.92
160000,203.224,6.499,6.233,5.82,process_tree,2.0,process_tree,647.91
170000,215.63,7.549,7.4,15.060000000000002,process_tree,1.99,process_tree,645.48
180000,226.583,8.721,7.411,7.165000000000001,process_tree,2.0,process_tree,647.58
190000,238.856,11.456,9.338,14.305000000000001,process_tree,1.99,process_tree,646.1
200000,250.241,11.358,9.135,5.015,process_tree,2.0,process_tree,648.78
210000,262.198,11.221,6.21,19.325,process_tree,2.0,process_tree,646.27
220000,273.036,12.057,8.31,7.1450000000000005,process_tree,1.99,process_tree,645.96
230000,284.936,10.983,7.68,16.439999999999998,process_tree,1.99,process_tree,645.64
240000,295.39,12.257,7.058,4.3,process_tree,2.0,process_tree,646.74
250000,307.696,10.808,6.237,8.58,process_tree,2.0,process_tree,647.18
260000,319.242,11.79,7.741,35.81,process_tree,2.0,process_tree,647.43
270000,330.927,12.231,7.174,15.005,process_tree,2.0,process_tree,646.61
