step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,74.6,system,
10000,16.807,1.106,0.669,17.105,process_tree,1.97,process_tree,638.46
20000,28.089,1.243,0.833,7.860000000000001,process_tree,1.98,process_tree,639.91
30000,39.762,1.625,1.129,12.84,process_tree,1.98,process_tree,640.56
40000,51.32,2.08,1.342,17.155,process_tree,1.98,process_tree,640.99
50000,61.633,2.794,2.261,4.3,process_tree,1.98,process_tree,641.55
60000,73.087,3.342,2.922,2.8649999999999998,process_tree,1.98,process_tree,641.3
70000,84.039,5.827,5.054,5.015,process_tree,1.98,process_tree,641.6
80000,94.454,8.821,7.714,3.585,process_tree,1.98,process_tree,641.64
90000,105.768,16.402,17.337,4.26,process_tree,1.98,process_tree,641.71
100000,115.811,53.255,37.586,5.015,process_tree,1.98,process_tree,641.96
110000,126.171,39.671,32.435,5.015,process_tree,1.98,process_tree,642.0
120000,137.486,16.726,10.739,3.55,process_tree,1.98,process_tree,642.0
130000,147.878,28.374,21.909,5.015,process_tree,1.98,process_tree,642.18
140000,159.143,43.063,33.127,7.255,process_tree,1.98,process_tree,642.52
150000,168.797,53.774,31.283,4.3,process_tree,1.98,process_tree,642.39
160000,179.345,85.76,25.385,15.35,process_tree,1.98,process_tree,642.77
170000,189.798,85.433,24.525,7.3950000000000005,process_tree,1.98,process_tree,642.78
180000,200.162,68.109,28.997,25.76,process_tree,1.98,process_tree,642.81
190000,210.046,78.56,30.391,20.055,process_tree,1.98,process_tree,642.66
200000,221.135,77.708,32.08,29.119999999999997,process_tree,1.98,process_tree,642.99
210000,231.282,71.192,41.129,32.93,process_tree,1.98,process_tree,642.99
220000,240.908,100.0,0.0,20.04,process_tree,1.99,process_tree,643.23
230000,251.215,100.0,0.0,16.47,process_tree,1.99,process_tree,643.13
240000,260.758,87.65,32.675,5.015,process_tree,1.99,process_tree,643.16
250000,270.848,100.0,0.0,4.26,process_tree,1.99,process_tree,643.27
260000,281.66,84.815,35.612,5.015,process_tree,1.99,process_tree,643.38
270000,291.87,88.933,31.301,5.735,process_tree,1.99,process_tree,643.29
280000,301.881,100.0,0.0,8.6,process_tree,1.99,process_tree,643.78
290000,312.428,100.0,0.0,5.7299999999999995,process_tree,1.99,process_tree,644.14
300000,322.321,50.513,46.425,4.26,process_tree,1.99,process_tree,644.16
310000,332.608,97.125,6.692,6.435,process_tree,1.99,process_tree,644.21
320000,342.903,88.911,31.364,17.169999999999998,process_tree,1.99,process_tree,644.4
330000,353.306,100.0,0.0,12.825,process_tree,1.99,process_tree,644.21
340000,363.982,100.0,0.0,14.939999999999998,process_tree,1.99,process_tree,644.39
350000,374.127,88.069,16.605,15.044999999999998,process_tree,1.99,process_tree,644.25
360000,383.836,82.992,31.572,14.314999999999998,process_tree,1.99,process_tree,644.35
370000,393.613,89.022,31.05,13.495,process_tree,1.99,process_tree,644.18
380000,404.471,100.0,0.0,7.165000000000001,process_tree,1.99,process_tree,644.14
390000,414.296,92.485,26.034,7.859999999999999,process_tree,1.99,process_tree,644.08
400000,424.247,100.0,0.0,30.805,process_tree,1.99,process_tree,644.08
410000,434.438,100.0,0.0,29.18,process_tree,1.99,process_tree,644.22
420000,443.863,84.862,35.503,5.015,process_tree,1.99,process_tree,644.28
430000,454.704,100.0,0.0,3.55,process_tree,1.99,process_tree,644.25
440000,464.893,95.744,12.037,4.3,process_tree,1.99,process_tree,644.05
450000,475.173,100.0,0.0,4.3,process_tree,1.99,process_tree,644.2
460000,485.598,100.0,0.0,4.265,process_tree,1.99,process_tree,644.16
470000,495.313,91.091,28.173,13.569999999999999,process_tree,1.99,process_tree,644.32
480000,505.768,73.547,43.868,8.765,process_tree,1.99,process_tree,644.44
490000,515.757,88.944,31.27,12.84,process_tree,1.99,process_tree,644.22
500000,526.515,100.0,0.0,12.135000000000002,process_tree,2.01,process_tree,651.8
510000,536.532,76.433,35.064,20.740000000000002,process_tree,2.02,process_tree,653.58
520000,546.981,91.967,26.644,7.815,process_tree,2.02,process_tree,653.92
530000,557.705,100.0,0.0,25.384999999999998,process_tree,2.02,process_tree,654.39
540000,568.23,100.0,0.0,9.945,process_tree,2.02,process_tree,654.54
550000,579.294,100.0,0.0,31.389999999999997,process_tree,2.02,process_tree,654.43
560000,588.42,100.0,0.0,5.015,process_tree,2.02,process_tree,654.44
570000,599.304,100.0,0.0,5.88,process_tree,2.02,process_tree,654.6
