step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,66.5,system,
10000,31.802,1.751,1.217,4.46,process_tree,1.98,process_tree,642.72
20000,57.666,3.442,3.087,5.015,process_tree,2.0,process_tree,647.55
30000,85.031,4.116,3.011,12.860000000000003,process_tree,2.0,process_tree,647.9
40000,111.076,4.943,4.32,5.015,process_tree,2.01,process_tree,649.53
50000,138.512,7.455,8.746,6.45,process_tree,2.01,process_tree,649.52
60000,165.431,8.782,7.791,5.735,process_tree,2.01,process_tree,650.14
70000,190.778,13.082,11.208,7.1,process_tree,2.01,process_tree,649.68
80000,217.416,8.919,6.66,4.970000000000001,process_tree,2.01,process_tree,650.12
90000,243.977,11.788,9.419,5.015,process_tree,2.0,process_tree,649.14
100000,270.121,7.017,4.495,4.970000000000001,process_tree,2.0,process_tree,649.32
110000,297.475,10.058,6.267,5.68,process_tree,2.01,process_tree,649.64
120000,321.675,10.027,7.563,8.309999999999999,process_tree,2.01,process_tree,650.34
130000,346.422,9.765,4.555,7.165000000000001,process_tree,2.01,process_tree,650.92
140000,371.666,8.245,4.992,5.015,process_tree,2.01,process_tree,650.18
150000,398.366,8.446,6.2,3.55,process_tree,2.01,process_tree,650.9
160000,424.844,15.752,11.524,9.275,process_tree,2.01,process_tree,650.68
170000,451.767,44.268,39.364,4.3,process_tree,2.01,process_tree,651.31
180000,476.416,37.014,42.306,5.015,process_tree,2.01,process_tree,651.53
190000,500.553,37.223,41.825,5.015,process_tree,2.01,process_tree,651.86
200000,526.84,49.589,41.525,5.015,process_tree,2.01,process_tree,652.09
210000,551.869,19.495,22.369,4.970000000000001,process_tree,2.01,process_tree,651.67
220000,579.732,15.546,13.86,4.3,process_tree,2.01,process_tree,651.64
230000,606.057,36.167,29.356,4.970000000000001,process_tree,2.01,process_tree,651.67
240000,631.603,42.163,36.88,6.39,process_tree,2.01,process_tree,651.54
250000,657.568,12.88,18.371,5.015,process_tree,2.02,process_tree,653.01
260000,685.471,34.341,23.242,21.38,process_tree,2.01,process_tree,652.43
270000,711.343,29.356,32.93,4.3,process_tree,2.01,process_tree,652.16
280000,735.294,19.848,14.93,5.68,process_tree,2.01,process_tree,651.7
290000,761.16,68.9,28.887,19.305,process_tree,2.01,process_tree,652.34
300000,787.473,89.578,21.62,5.015,process_tree,2.01,process_tree,652.48
