step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,81.9,system,
10000,23.304,1.412,0.873,5.725,process_tree,1.97,process_tree,636.87
20000,40.773,2.577,1.917,29.375,process_tree,1.97,process_tree,638.98
30000,57.084,3.937,3.098,8.555,process_tree,1.97,process_tree,638.96
40000,72.23,6.444,6.064,5.725,process_tree,1.97,process_tree,639.69
50000,88.926,10.571,9.302,5.015,process_tree,1.97,process_tree,639.7
60000,106.654,11.457,10.728,12.885,process_tree,1.98,process_tree,639.81
70000,121.487,14.92,10.591,4.3,process_tree,1.97,process_tree,639.58
80000,138.78,11.894,9.971,5.0,process_tree,1.98,process_tree,639.94
90000,155.934,22.539,15.535,6.445,process_tree,1.98,process_tree,640.26
100000,171.791,16.446,16.746,5.715000000000001,process_tree,1.98,process_tree,640.27
110000,186.602,21.677,19.316,4.3,process_tree,1.98,process_tree,640.02
120000,201.96,17.817,15.078,5.735,process_tree,1.98,process_tree,640.11
130000,219.451,27.1,22.792,6.45,process_tree,1.98,process_tree,640.18
140000,235.901,10.896,8.551,5.725,process_tree,1.98,process_tree,640.34
150000,251.626,13.774,12.431,21.18,process_tree,1.98,process_tree,640.21
160000,266.592,43.293,35.969,5.015,process_tree,1.98,process_tree,640.27
170000,281.834,24.907,24.504,5.6850000000000005,process_tree,1.98,process_tree,640.47
180000,298.303,10.154,9.535,7.88,process_tree,1.98,process_tree,640.74
190000,313.003,8.841,5.38,12.85,process_tree,1.98,process_tree,640.91
200000,328.09,12.411,10.986,8.309999999999999,process_tree,1.98,process_tree,641.11
210000,343.506,28.238,24.504,8.05,process_tree,1.98,process_tree,641.08
220000,359.379,15.567,21.915,6.410000000000001,process_tree,1.98,process_tree,641.29
230000,374.515,15.284,14.66,8.565000000000001,process_tree,1.98,process_tree,641.15
240000,388.723,12.282,12.031,4.3,process_tree,1.98,process_tree,641.16
250000,404.485,12.806,11.913,4.26,process_tree,1.98,process_tree,641.26
260000,420.296,15.741,13.221,5.725,process_tree,1.98,process_tree,640.89
270000,436.299,27.397,16.295,6.435,process_tree,1.98,process_tree,641.34
280000,450.206,10.261,12.641,5.735,process_tree,1.98,process_tree,641.17
290000,466.497,8.838,5.086,4.26,process_tree,1.98,process_tree,641.25
300000,483.546,11.853,5.938,4.970000000000001,process_tree,1.98,process_tree,641.63
310000,499.092,21.533,20.174,17.825,process_tree,1.98,process_tree,641.34
320000,513.966,61.325,39.538,5.015,process_tree,1.98,process_tree,641.23
330000,529.454,33.729,31.022,13.569999999999999,process_tree,1.98,process_tree,641.39
340000,543.601,37.875,30.645,4.3,process_tree,1.98,process_tree,641.38
350000,559.878,24.553,14.93,3.55,process_tree,1.98,process_tree,641.55
360000,575.47,23.835,17.964,5.725,process_tree,1.98,process_tree,641.5
370000,591.581,27.091,19.222,12.145,process_tree,1.98,process_tree,641.28
380000,606.097,18.117,17.182,5.88,process_tree,1.98,process_tree,641.84
