step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,73.3,system,
10000,19.759,1.178,0.679,18.525,process_tree,1.96,process_tree,634.09
20000,34.697,2.121,1.405,4.970000000000001,process_tree,1.96,process_tree,635.73
30000,49.219,2.66,2.113,14.930000000000001,process_tree,1.96,process_tree,636.11
40000,64.185,4.719,4.522,25.044999999999998,process_tree,1.96,process_tree,636.23
50000,76.392,6.444,5.901,9.285,process_tree,1.96,process_tree,636.35
60000,88.805,6.447,7.829,14.25,process_tree,1.97,process_tree,636.62
70000,101.8,5.006,6.542,5.015,process_tree,1.97,process_tree,637.18
80000,116.448,8.446,8.775,5.720000000000001,process_tree,1.97,process_tree,637.07
90000,130.803,8.166,5.893,23.645,process_tree,1.97,process_tree,636.84
100000,143.906,9.056,6.864,22.925,process_tree,1.97,process_tree,636.93
110000,156.992,11.357,8.908,8.09,process_tree,1.97,process_tree,637.18
120000,169.98,11.479,12.923,24.15,process_tree,1.97,process_tree,636.98
130000,183.644,11.233,15.96,17.869999999999997,process_tree,1.97,process_tree,636.9
140000,196.942,9.499,7.545,8.565000000000001,process_tree,1.97,process_tree,637.06
150000,211.253,16.797,13.063,6.435,process_tree,1.97,process_tree,637.42
160000,225.397,14.186,10.251,21.464999999999996,process_tree,1.97,process_tree,636.92
170000,238.625,13.425,8.019,9.3,process_tree,1.97,process_tree,637.05
180000,250.679,28.118,20.613,9.995000000000001,process_tree,1.97,process_tree,636.88
190000,264.287,24.571,24.026,18.595,process_tree,1.97,process_tree,636.9
200000,277.485,14.816,13.049,14.919999999999998,process_tree,1.97,process_tree,636.96
210000,289.953,36.433,29.385,4.970000000000001,process_tree,1.97,process_tree,637.57
220000,303.171,37.134,39.932,9.315000000000001,process_tree,1.97,process_tree,637.92
230000,317.428,28.97,30.331,24.19,process_tree,1.97,process_tree,637.78
240000,331.311,10.034,5.732,4.975,process_tree,1.97,process_tree,638.22
250000,345.267,18.62,7.912,3.585,process_tree,1.97,process_tree,638.04
260000,358.228,61.218,39.312,4.975,process_tree,1.97,process_tree,638.55
270000,370.562,28.919,32.061,13.645,process_tree,1.97,process_tree,637.95
280000,384.255,33.128,31.608,7.43,process_tree,1.97,process_tree,637.92
290000,397.658,81.786,35.826,4.3,process_tree,1.97,process_tree,638.55
300000,410.963,57.806,42.667,11.465,process_tree,1.97,process_tree,637.78
310000,423.989,50.108,38.473,18.634999999999998,process_tree,1.97,process_tree,637.81
320000,436.67,17.075,23.776,24.355,process_tree,1.97,process_tree,637.5
330000,450.301,17.3,20.031,13.55,process_tree,1.97,process_tree,637.91
340000,463.093,14.026,10.133,14.935000000000002,process_tree,1.97,process_tree,638.52
350000,476.171,12.566,7.174,18.63,process_tree,1.97,process_tree,637.91
360000,490.108,13.835,11.628,5.01,process_tree,1.97,process_tree,637.69
370000,504.236,19.077,11.915,19.175,process_tree,1.97,process_tree,638.04
380000,518.38,31.139,19.151,17.919999999999998,process_tree,1.97,process_tree,637.93
390000,532.156,32.427,31.143,17.169999999999998,process_tree,1.97,process_tree,638.0
400000,545.728,15.057,14.323,2.13,process_tree,1.97,process_tree,637.99
410000,557.867,20.528,13.743,20.779999999999998,process_tree,1.97,process_tree,637.83
420000,569.456,74.6,32.915,15.015,process_tree,1.97,process_tree,637.88
430000,582.468,100.0,0.0,9.940000000000001,process_tree,1.97,process_tree,637.98
440000,595.15,46.55,47.085,5.6850000000000005,process_tree,1.97,process_tree,637.97
450000,607.819,26.568,35.244,4.975,process_tree,1.97,process_tree,638.01
460000,621.051,34.58,39.269,4.3,process_tree,1.97,process_tree,637.98
470000,634.501,52.605,44.553,7.165000000000001,process_tree,1.97,process_tree,638.18
480000,646.952,27.022,36.166,6.5600000000000005,process_tree,1.97,process_tree,638.25
490000,658.755,65.9,45.862,9.995000000000001,process_tree,1.97,process_tree,638.23
500000,671.863,46.876,46.583,5.7299999999999995,process_tree,2.0,process_tree,646.89
510000,685.778,75.692,42.11,7.840000000000001,process_tree,2.0,process_tree,648.25
520000,699.192,77.154,41.711,14.285,process_tree,2.0,process_tree,648.04
530000,713.028,65.735,46.449,7.255,process_tree,2.0,process_tree,647.9
540000,725.303,75.208,42.941,22.055,process_tree,2.0,process_tree,647.77
550000,738.182,41.485,48.524,12.819999999999999,process_tree,2.0,process_tree,647.86
560000,751.132,31.261,44.958,21.395,process_tree,2.0,process_tree,647.7
570000,764.657,46.5,48.599,10.715,process_tree,2.0,process_tree,647.77
580000,778.125,34.663,46.272,23.785,process_tree,2.0,process_tree,648.06
590000,791.964,91.027,28.374,6.435,process_tree,2.0,process_tree,648.07
600000,805.146,77.408,41.256,18.59,process_tree,2.0,process_tree,647.8
610000,816.836,57.7,48.02,22.22,process_tree,2.0,process_tree,647.94
620000,830.026,39.244,46.685,4.26,process_tree,2.0,process_tree,648.02
630000,843.399,51.448,46.501,9.290000000000001,process_tree,2.0,process_tree,647.89
640000,855.581,44.053,43.886,5.6899999999999995,process_tree,2.0,process_tree,647.99
650000,867.544,76.76,38.646,20.77,process_tree,2.0,process_tree,647.86
660000,879.764,54.659,48.386,12.129999999999999,process_tree,2.0,process_tree,647.7
670000,892.167,82.0,38.184,5.725,process_tree,2.0,process_tree,648.01
680000,904.517,77.808,40.579,7.165000000000001,process_tree,2.0,process_tree,647.87
690000,917.583,100.0,0.0,6.435,process_tree,2.0,process_tree,647.83
700000,930.17,72.909,44.239,18.619999999999997,process_tree,2.0,process_tree,647.91
710000,943.199,91.733,27.417,16.475,process_tree,2.0,process_tree,648.0
720000,955.848,84.017,35.767,4.275,process_tree,2.0,process_tree,647.97
730000,969.802,100.0,0.0,24.509999999999998,process_tree,2.0,process_tree,648.01
740000,983.428,91.717,27.473,21.58,process_tree,2.0,process_tree,647.82
750000,995.982,39.945,47.793,12.084999999999999,process_tree,2.0,process_tree,648.18
760000,1009.307,80.56,38.891,7.875,process_tree,2.0,process_tree,647.74
770000,1022.044,91.855,25.758,14.334999999999999,process_tree,2.0,process_tree,647.71
780000,1034.794,89.611,29.384,17.195,process_tree,2.0,process_tree,647.78
790000,1048.285,33.331,41.64,37.985,process_tree,2.0,process_tree,647.94
800000,1061.491,25.121,36.453,5.735,process_tree,2.0,process_tree,648.18
810000,1073.946,15.54,19.615,9.27,process_tree,2.0,process_tree,647.75
820000,1086.497,25.029,35.365,10.025,process_tree,2.0,process_tree,647.86
830000,1099.958,38.13,43.844,7.15,process_tree,2.0,process_tree,647.73
840000,1112.333,69.306,43.464,6.43,process_tree,2.0,process_tree,647.91
850000,1124.845,100.0,0.0,5.725,process_tree,2.0,process_tree,647.9
860000,1138.004,68.325,44.818,18.63,process_tree,2.0,process_tree,647.93
870000,1150.157,73.245,43.693,14.334999999999999,process_tree,2.0,process_tree,648.28
880000,1163.277,100.0,0.0,18.595,process_tree,2.0,process_tree,648.01
890000,1176.675,100.0,0.0,5.015,process_tree,2.0,process_tree,647.92
900000,1189.619,92.762,25.075,15.025,process_tree,2.0,process_tree,648.0
910000,1201.556,100.0,0.0,19.235,process_tree,2.0,process_tree,648.16
920000,1214.327,100.0,0.0,4.970000000000001,process_tree,2.0,process_tree,648.5
930000,1227.086,100.0,0.0,13.615,process_tree,2.0,process_tree,647.73
940000,1239.253,92.523,25.901,3.585,process_tree,2.0,process_tree,648.14
950000,1253.132,79.136,39.953,7.165000000000001,process_tree,2.0,process_tree,647.98
960000,1265.458,85.346,34.366,25.07,process_tree,2.0,process_tree,647.95
970000,1278.563,66.143,45.445,9.98,process_tree,2.0,process_tree,648.17
980000,1290.618,84.3,35.106,6.589999999999999,process_tree,2.0,process_tree,648.08
990000,1302.954,54.895,47.591,17.905,process_tree,2.0,process_tree,647.86
1000000,1315.095,83.857,32.31,12.895,process_tree,2.0,process_tree,647.77
1010000,1327.42,100.0,0.0,4.3,process_tree,2.0,process_tree,647.95
1020000,1340.084,100.0,0.0,11.45,process_tree,2.0,process_tree,648.13
1030000,1352.588,100.0,0.0,5.8549999999999995,process_tree,2.0,process_tree,648.11
1040000,1364.32,100.0,0.0,12.135000000000002,process_tree,2.0,process_tree,648.07
1050000,1376.757,100.0,0.0,11.615,process_tree,2.0,process_tree,647.78
