step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,73.1,system,
10000,18.243,1.216,0.705,5.015,process_tree,1.97,process_tree,639.21
20000,32.251,1.922,1.377,7.839999999999999,process_tree,1.98,process_tree,641.09
30000,45.11,3.701,3.118,15.755,process_tree,1.98,process_tree,641.72
40000,58.992,7.502,7.58,20.655,process_tree,1.98,process_tree,641.92
50000,72.362,75.42,33.697,13.735000000000003,process_tree,1.98,process_tree,641.99
60000,83.988,90.5,22.437,5.015,process_tree,1.98,process_tree,642.91
70000,96.987,96.07,11.79,7.885,process_tree,1.98,process_tree,642.75
80000,110.531,92.333,25.427,5.01,process_tree,1.99,process_tree,643.04
90000,123.719,94.108,19.54,7.1049999999999995,process_tree,1.99,process_tree,643.24
100000,136.232,81.75,32.389,17.18,process_tree,1.98,process_tree,642.66
110000,147.817,100.0,0.0,5.015,process_tree,1.99,process_tree,643.18
120000,160.517,100.0,0.0,5.7,process_tree,1.99,process_tree,643.14
130000,173.159,97.22,8.34,15.76,process_tree,1.99,process_tree,644.02
140000,185.667,84.746,35.773,10.02,process_tree,1.99,process_tree,644.19
150000,197.025,84.731,35.81,7.885,process_tree,1.99,process_tree,644.26
160000,209.165,100.0,0.0,9.99,process_tree,1.99,process_tree,644.4
170000,221.82,100.0,0.0,5.015,process_tree,1.99,process_tree,643.87
180000,234.917,100.0,0.0,10.690000000000001,process_tree,1.99,process_tree,644.16
190000,247.385,100.0,0.0,20.744999999999997,process_tree,1.99,process_tree,644.32
200000,259.216,100.0,0.0,4.26,process_tree,1.99,process_tree,644.24
