step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,75.5,system,
10000,27.748,2.24,1.932,5.015,process_tree,1.97,process_tree,638.04
20000,48.564,9.869,11.587,4.970000000000001,process_tree,1.97,process_tree,639.48
30000,69.124,11.295,21.555,4.3,process_tree,1.97,process_tree,639.59
40000,89.639,66.783,46.976,4.970000000000001,process_tree,1.98,process_tree,640.05
50000,110.157,14.784,28.681,6.44,process_tree,1.98,process_tree,640.11
60000,130.773,13.966,32.594,4.3,process_tree,1.98,process_tree,640.07
70000,151.884,10.024,27.42,5.68,process_tree,1.98,process_tree,640.24
80000,172.925,77.077,41.852,5.015,process_tree,1.98,process_tree,640.28
90000,193.437,55.881,38.063,7.1,process_tree,1.98,process_tree,640.76
100000,213.66,5.095,19.227,11.465,process_tree,1.98,process_tree,640.0
110000,236.303,0.667,0.588,5.015,process_tree,1.98,process_tree,640.0
120000,258.449,1.536,1.345,6.435,process_tree,1.98,process_tree,640.45
130000,280.141,3.224,2.83,4.970000000000001,process_tree,1.98,process_tree,640.99
140000,300.505,5.956,7.677,6.45,process_tree,1.98,process_tree,640.71
150000,319.694,18.877,24.842,5.735,process_tree,1.98,process_tree,640.7
160000,340.062,43.273,47.013,4.970000000000001,process_tree,1.98,process_tree,640.95
170000,357.303,40.009,39.235,7.1,process_tree,1.98,process_tree,640.48
180000,377.402,46.058,48.357,4.3,process_tree,1.98,process_tree,641.07
190000,397.688,31.933,35.083,5.015,process_tree,1.98,process_tree,641.0
200000,418.049,30.318,41.802,7.165000000000001,process_tree,1.98,process_tree,640.68
210000,438.732,67.833,45.491,4.970000000000001,process_tree,1.98,process_tree,641.57
220000,459.152,89.382,28.131,5.015,process_tree,1.98,process_tree,640.82
230000,479.218,66.257,39.286,5.735,process_tree,1.98,process_tree,641.02
240000,499.506,92.431,26.221,6.39,process_tree,1.98,process_tree,640.73
250000,519.284,97.025,9.867,3.55,process_tree,1.98,process_tree,640.98
260000,538.999,51.929,41.904,4.26,process_tree,1.98,process_tree,641.18
270000,559.984,100.0,0.0,6.875,process_tree,1.98,process_tree,640.71
280000,580.015,75.769,41.987,7.834999999999999,process_tree,1.98,process_tree,641.14
290000,600.787,94.638,18.573,5.015,process_tree,1.98,process_tree,640.99
300000,621.1,91.742,27.39,5.68,process_tree,1.98,process_tree,641.57
310000,640.938,100.0,0.0,4.26,process_tree,1.98,process_tree,641.08
320000,661.15,61.543,40.408,5.735,process_tree,1.98,process_tree,641.56
330000,680.489,12.771,28.175,7.165000000000001,process_tree,1.98,process_tree,641.04
340000,700.388,80.173,39.654,4.26,process_tree,1.98,process_tree,641.0
350000,720.427,91.733,27.417,4.970000000000001,process_tree,1.98,process_tree,641.46
360000,739.236,77.9,41.345,8.309999999999999,process_tree,1.98,process_tree,641.34
370000,759.734,40.54,48.551,4.970000000000001,process_tree,1.98,process_tree,640.81
380000,779.325,14.118,34.128,4.26,process_tree,1.98,process_tree,640.41
390000,800.362,3.164,16.211,4.970000000000001,process_tree,1.98,process_tree,640.84
400000,822.654,0.356,0.243,11.465,process_tree,1.98,process_tree,641.13
410000,844.692,0.396,0.245,3.585,process_tree,1.98,process_tree,640.76
420000,866.419,0.468,0.254,4.3,process_tree,1.98,process_tree,642.26
430000,887.53,0.501,0.347,5.015,process_tree,1.98,process_tree,641.97
440000,909.235,0.754,0.573,4.26,process_tree,1.98,process_tree,641.03
450000,929.81,1.93,1.733,4.975,process_tree,1.98,process_tree,641.47
460000,950.237,4.281,4.057,4.970000000000001,process_tree,1.98,process_tree,641.05
470000,970.063,12.186,21.0,5.015,process_tree,1.98,process_tree,640.96
480000,989.732,37.063,47.889,5.68,process_tree,1.98,process_tree,641.5
490000,1009.446,41.147,48.114,5.735,process_tree,1.98,process_tree,641.04
500000,1029.123,48.324,49.298,7.885,process_tree,2.01,process_tree,651.43
510000,1049.114,4.351,17.523,4.26,process_tree,2.01,process_tree,650.89
520000,1068.525,17.0,35.732,3.55,process_tree,2.01,process_tree,650.98
530000,1089.155,5.522,19.807,5.735,process_tree,2.01,process_tree,651.91
540000,1109.289,11.932,31.165,5.015,process_tree,2.01,process_tree,651.0
550000,1131.427,0.641,4.182,5.015,process_tree,2.01,process_tree,650.85
560000,1153.436,0.507,1.032,4.970000000000001,process_tree,2.01,process_tree,652.01
570000,1174.377,3.151,15.075,5.015,process_tree,2.01,process_tree,651.17
580000,1194.329,45.375,49.416,4.3,process_tree,2.01,process_tree,651.34
590000,1214.927,56.675,49.128,4.3,process_tree,2.01,process_tree,651.88
600000,1234.151,52.832,49.72,4.3,process_tree,2.01,process_tree,651.57
610000,1253.923,59.282,48.669,7.165000000000001,process_tree,2.01,process_tree,651.27
620000,1273.139,85.015,35.156,4.970000000000001,process_tree,2.01,process_tree,651.32
630000,1292.912,56.575,49.24,5.01,process_tree,2.01,process_tree,651.36
640000,1312.301,62.944,47.84,6.404999999999999,process_tree,2.01,process_tree,651.27
650000,1332.019,100.0,0.0,4.26,process_tree,2.01,process_tree,652.21
660000,1350.658,100.0,0.0,5.88,process_tree,2.01,process_tree,651.69
670000,1370.367,37.757,47.367,4.970000000000001,process_tree,2.01,process_tree,651.8
