step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,80.4,system,
10000,29.177,1.42,0.889,8.075,process_tree,1.96,process_tree,635.95
20000,49.795,2.608,1.95,9.99,process_tree,1.97,process_tree,638.11
30000,70.623,4.531,4.232,14.334999999999999,process_tree,1.97,process_tree,638.09
40000,92.624,7.431,8.792,17.055,process_tree,1.97,process_tree,639.42
50000,111.895,13.226,12.21,12.885,process_tree,1.97,process_tree,639.37
60000,129.928,14.089,15.455,5.015,process_tree,1.97,process_tree,639.36
70000,150.765,19.452,21.829,3.55,process_tree,1.98,process_tree,640.1
80000,172.216,16.6,13.81,22.07,process_tree,1.97,process_tree,639.52
90000,192.179,19.715,25.306,4.985,process_tree,1.97,process_tree,639.44
100000,212.86,39.891,40.007,4.3,process_tree,1.97,process_tree,639.66
110000,233.802,48.757,35.855,5.735,process_tree,1.97,process_tree,639.75
120000,256.248,67.953,33.327,11.45,process_tree,1.97,process_tree,639.38
130000,278.968,23.55,25.738,23.5,process_tree,1.97,process_tree,639.73
140000,300.263,41.316,40.703,7.119999999999999,process_tree,1.98,process_tree,640.64
150000,320.691,33.904,34.245,4.26,process_tree,1.98,process_tree,640.48
160000,343.683,53.65,37.24,13.569999999999999,process_tree,1.98,process_tree,640.46
170000,364.406,52.04,38.136,13.61,process_tree,1.98,process_tree,640.48
180000,383.886,24.147,24.12,4.970000000000001,process_tree,1.98,process_tree,640.53
190000,405.039,23.83,23.388,5.015,process_tree,1.98,process_tree,640.41
200000,427.193,39.082,35.786,6.45,process_tree,1.98,process_tree,640.54
210000,449.062,30.865,27.256,5.6850000000000005,process_tree,1.98,process_tree,640.37
220000,470.326,26.4,24.871,6.435,process_tree,1.98,process_tree,640.68
230000,491.107,25.081,19.088,4.975,process_tree,1.98,process_tree,640.44
240000,512.106,34.284,31.746,4.970000000000001,process_tree,1.98,process_tree,640.48
250000,532.534,33.917,24.936,5.015,process_tree,1.98,process_tree,640.44
260000,553.53,72.183,36.988,7.385,process_tree,1.98,process_tree,640.58
270000,573.653,23.517,17.458,15.739999999999998,process_tree,1.98,process_tree,640.58
280000,593.348,35.942,31.845,19.314999999999998,process_tree,1.98,process_tree,640.51
290000,613.501,64.417,37.709,4.970000000000001,process_tree,1.98,process_tree,640.68
300000,633.749,73.3,37.395,5.015,process_tree,1.98,process_tree,640.64
310000,654.199,51.143,38.386,3.585,process_tree,1.98,process_tree,640.66
320000,675.579,75.707,30.785,5.01,process_tree,1.98,process_tree,640.66
330000,694.159,25.118,23.989,5.015,process_tree,1.98,process_tree,640.62
