step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,73.9,system,
10000,23.194,1.161,0.647,7.85,process_tree,2.0,process_tree,648.35
20000,38.861,1.211,0.711,10.7,process_tree,2.01,process_tree,651.07
30000,58.906,1.275,0.77,7.1049999999999995,process_tree,2.01,process_tree,650.57
40000,74.26,1.557,1.101,15.73,process_tree,2.01,process_tree,651.41
50000,90.079,1.833,1.122,4.26,process_tree,2.01,process_tree,651.76
60000,110.455,2.374,1.613,12.855,process_tree,2.01,process_tree,651.64
70000,126.955,2.908,2.048,19.32,process_tree,2.01,process_tree,651.21
80000,146.924,3.38,2.253,5.72,process_tree,2.01,process_tree,651.41
90000,161.168,4.332,3.271,8.825,process_tree,2.01,process_tree,652.49
100000,175.255,5.104,3.908,10.73,process_tree,2.01,process_tree,651.64
110000,194.105,6.151,5.008,5.735,process_tree,2.02,process_tree,654.0
120000,207.484,7.757,7.179,9.27,process_tree,2.02,process_tree,653.38
130000,226.486,9.641,10.106,11.42,process_tree,2.03,process_tree,655.96
140000,239.935,14.959,15.911,11.6,process_tree,2.02,process_tree,654.11
150000,253.224,32.157,29.05,6.4399999999999995,process_tree,2.02,process_tree,653.14
160000,272.282,32.538,36.456,25.01,process_tree,2.03,process_tree,657.74
170000,285.783,75.308,30.729,8.540000000000001,process_tree,2.03,process_tree,656.2
180000,299.165,85.95,27.304,7.8549999999999995,process_tree,2.03,process_tree,656.19
190000,318.09,100.0,0.0,19.240000000000002,process_tree,2.03,process_tree,656.29
200000,330.991,100.0,0.0,15.0,process_tree,2.03,process_tree,658.3
210000,349.87,100.0,0.0,15.0,process_tree,2.03,process_tree,658.25
220000,362.88,90.16,29.52,17.895,process_tree,2.03,process_tree,658.76
230000,376.305,100.0,0.0,21.130000000000003,process_tree,2.03,process_tree,656.46
240000,394.978,100.0,0.0,10.73,process_tree,2.03,process_tree,656.24
250000,408.313,100.0,0.0,25.754999999999995,process_tree,2.03,process_tree,656.3
260000,421.297,100.0,0.0,2.8649999999999998,process_tree,2.03,process_tree,656.79
270000,440.581,100.0,0.0,9.39,process_tree,2.03,process_tree,656.38
