step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,84.6,system,
10000,28.774,1.202,0.698,7.859999999999999,process_tree,1.98,process_tree,642.2
20000,49.66,1.737,1.157,10.015,process_tree,1.99,process_tree,645.81
30000,66.213,3.021,2.133,4.985,process_tree,2.0,process_tree,646.45
40000,85.162,8.494,8.168,11.365,process_tree,2.01,process_tree,649.93
50000,99.561,24.626,22.378,4.975,process_tree,2.01,process_tree,651.91
60000,118.66,19.408,20.43,15.015,process_tree,2.01,process_tree,651.46
70000,133.825,66.643,39.245,3.585,process_tree,2.02,process_tree,652.86
80000,151.579,85.08,29.946,6.435,process_tree,2.01,process_tree,651.59
90000,170.39,54.808,41.048,9.275,process_tree,2.01,process_tree,651.78
100000,185.864,66.146,39.884,11.415000000000001,process_tree,2.01,process_tree,652.15
110000,203.408,75.743,40.666,10.01,process_tree,2.01,process_tree,652.54
120000,220.059,61.915,48.179,10.005,process_tree,2.02,process_tree,655.55
130000,237.999,45.365,49.422,12.125,process_tree,2.02,process_tree,655.11
140000,254.013,40.069,46.944,16.48,process_tree,2.03,process_tree,656.52
150000,269.263,26.713,41.362,6.39,process_tree,2.02,process_tree,655.86
160000,286.143,12.747,27.272,4.284999999999999,process_tree,2.02,process_tree,654.3
170000,304.304,25.355,41.882,12.075,process_tree,2.03,process_tree,656.75
180000,319.04,26.632,40.857,17.175,process_tree,2.02,process_tree,654.73
190000,337.315,29.572,43.388,14.219999999999999,process_tree,2.02,process_tree,653.54
200000,351.892,20.916,34.412,13.959999999999999,process_tree,2.02,process_tree,655.15
210000,370.182,49.929,48.011,18.615000000000002,process_tree,2.03,process_tree,656.73
220000,385.996,38.97,45.304,5.04,process_tree,2.02,process_tree,654.05
230000,402.884,69.9,43.455,14.969999999999999,process_tree,2.02,process_tree,653.73
240000,418.165,30.003,40.942,6.4350000000000005,process_tree,2.02,process_tree,654.71
250000,436.155,92.064,17.957,6.305,process_tree,2.02,process_tree,655.75
260000,450.94,57.207,46.213,17.065,process_tree,2.02,process_tree,654.43
270000,468.183,31.748,41.73,5.725,process_tree,2.02,process_tree,653.52
280000,482.988,54.896,41.074,4.3,process_tree,2.02,process_tree,653.6
290000,501.639,88.885,27.844,19.335,process_tree,2.02,process_tree,655.16
300000,516.733,100.0,0.0,5.82,process_tree,2.02,process_tree,655.16
310000,535.285,80.23,39.541,6.5600000000000005,process_tree,2.02,process_tree,653.52
320000,550.782,83.325,36.8,5.015,process_tree,2.02,process_tree,653.72
330000,567.808,75.523,39.204,9.495000000000001,process_tree,2.03,process_tree,655.98
340000,583.924,92.385,26.38,4.970000000000001,process_tree,2.03,process_tree,656.04
350000,601.126,70.047,37.13,7.17,process_tree,2.02,process_tree,653.9
360000,616.825,60.855,38.598,5.015,process_tree,2.02,process_tree,654.0
370000,635.867,44.136,43.869,5.01,process_tree,2.03,process_tree,656.51
380000,649.984,82.108,35.775,4.970000000000001,process_tree,2.02,process_tree,655.33
390000,669.015,41.018,47.997,6.409999999999999,process_tree,2.02,process_tree,653.7
400000,682.596,38.942,48.275,5.015,process_tree,2.02,process_tree,655.46
410000,699.983,100.0,0.0,22.919999999999998,process_tree,2.03,process_tree,656.28
420000,713.969,100.0,0.0,6.45,process_tree,2.02,process_tree,655.35
430000,730.685,100.0,0.0,12.17,process_tree,2.02,process_tree,653.13
440000,745.389,100.0,0.0,4.3,process_tree,2.02,process_tree,654.82
450000,762.422,82.018,38.145,10.745000000000001,process_tree,2.02,process_tree,655.34
