step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,76.8,system,
10000,19.445,1.283,0.814,4.3,process_tree,1.96,process_tree,635.48
20000,33.171,2.296,1.455,10.02,process_tree,1.97,process_tree,638.04
30000,45.742,3.078,2.272,5.015,process_tree,1.97,process_tree,638.61
40000,59.049,4.095,3.15,15.010000000000002,process_tree,1.97,process_tree,638.97
50000,72.28,8.12,7.301,5.7299999999999995,process_tree,1.97,process_tree,639.25
60000,85.606,9.159,9.864,4.26,process_tree,1.97,process_tree,639.38
70000,97.068,37.218,31.518,17.904999999999998,process_tree,1.97,process_tree,639.44
80000,110.226,61.771,43.918,22.889999999999997,process_tree,1.97,process_tree,639.66
90000,122.357,75.19,37.92,4.970000000000001,process_tree,1.98,process_tree,639.77
100000,134.331,91.917,26.809,6.45,process_tree,1.97,process_tree,639.73
110000,147.521,100.0,0.0,5.015,process_tree,1.98,process_tree,639.83
120000,161.593,100.0,0.0,4.970000000000001,process_tree,1.97,process_tree,639.5
130000,173.911,77.933,41.283,16.395,process_tree,1.97,process_tree,639.7
140000,186.33,100.0,0.0,32.945,process_tree,1.98,process_tree,639.86
150000,199.563,100.0,0.0,17.884999999999998,process_tree,1.97,process_tree,639.7
160000,212.455,100.0,0.0,5.015,process_tree,1.98,process_tree,639.81
170000,225.894,91.683,27.583,3.585,process_tree,1.97,process_tree,639.75
180000,239.546,100.0,0.0,4.3,process_tree,1.97,process_tree,639.69
190000,252.059,100.0,0.0,4.26,process_tree,1.97,process_tree,639.47
200000,264.775,100.0,0.0,5.015,process_tree,1.97,process_tree,639.54
210000,277.764,100.0,0.0,7.135,process_tree,1.98,process_tree,639.77
220000,290.185,100.0,0.0,18.86,process_tree,1.98,process_tree,639.77
