step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,72.2,system,
10000,17.574,0.958,0.574,15.765,process_tree,1.98,process_tree,640.51
20000,29.968,1.172,0.623,35.795,process_tree,1.99,process_tree,643.11
30000,40.618,1.195,0.687,10.02,process_tree,1.98,process_tree,642.86
40000,52.041,1.33,0.777,8.58,process_tree,1.99,process_tree,643.9
50000,62.545,1.553,0.909,27.044999999999998,process_tree,1.99,process_tree,643.48
60000,74.769,1.552,0.863,7.15,process_tree,1.99,process_tree,643.18
70000,86.062,1.691,0.984,17.155,process_tree,1.99,process_tree,643.93
80000,97.848,1.876,1.022,16.445,process_tree,1.99,process_tree,643.92
90000,108.101,2.15,1.27,20.035,process_tree,1.99,process_tree,643.88
100000,119.264,2.241,1.412,30.555,process_tree,1.99,process_tree,643.7
110000,129.526,2.359,1.507,13.6,process_tree,1.99,process_tree,644.01
120000,140.736,2.706,1.674,21.48,process_tree,1.99,process_tree,644.55
130000,150.764,2.951,1.986,9.945,process_tree,1.99,process_tree,644.64
140000,162.25,2.92,2.029,19.345,process_tree,1.99,process_tree,645.0
150000,172.391,3.257,2.434,22.74,process_tree,1.99,process_tree,645.15
160000,184.188,3.85,2.84,30.880000000000003,process_tree,1.99,process_tree,644.95
170000,193.406,4.065,3.289,14.25,process_tree,1.99,process_tree,645.17
180000,204.899,3.845,3.399,12.794999999999998,process_tree,1.99,process_tree,645.19
190000,214.764,4.543,3.77,7.834999999999999,process_tree,1.99,process_tree,645.85
200000,225.586,4.549,3.947,6.675,process_tree,1.99,process_tree,645.81
210000,235.605,5.049,4.645,20.025,process_tree,1.99,process_tree,645.88
220000,246.239,5.942,5.52,11.425,process_tree,1.99,process_tree,645.66
230000,255.218,5.648,5.466,17.815,process_tree,2.0,process_tree,646.84
240000,264.727,6.86,7.04,4.970000000000001,process_tree,2.0,process_tree,646.82
250000,275.046,7.901,8.318,15.669999999999998,process_tree,1.99,process_tree,646.21
260000,284.05,9.854,9.053,4.26,process_tree,2.0,process_tree,646.88
270000,293.962,8.77,7.935,14.975,process_tree,2.0,process_tree,646.64
280000,303.319,8.235,9.415,34.395,process_tree,2.0,process_tree,648.04
290000,314.554,12.827,12.273,10.7,process_tree,2.0,process_tree,647.57
300000,324.251,10.64,10.712,8.525,process_tree,2.0,process_tree,648.4
310000,335.687,12.783,15.731,12.855,process_tree,2.0,process_tree,648.73
320000,345.503,15.561,14.557,4.26,process_tree,2.0,process_tree,648.4
330000,356.16,12.322,13.72,9.315000000000001,process_tree,2.0,process_tree,648.25
340000,365.679,11.955,13.56,32.205,process_tree,2.0,process_tree,648.56
350000,377.047,17.485,18.82,12.14,process_tree,2.0,process_tree,648.67
360000,386.673,26.303,24.829,17.095,process_tree,2.01,process_tree,650.16
370000,396.463,21.484,23.257,4.970000000000001,process_tree,2.0,process_tree,649.29
380000,406.324,26.905,30.261,5.720000000000001,process_tree,2.0,process_tree,649.34
390000,416.947,34.892,29.658,4.3,process_tree,2.0,process_tree,649.04
400000,427.28,40.636,38.001,33.68,process_tree,2.0,process_tree,648.8
410000,436.449,45.058,37.447,5.015,process_tree,2.0,process_tree,649.46
420000,446.954,39.908,33.249,16.464999999999996,process_tree,2.0,process_tree,649.34
430000,455.973,88.9,19.088,12.814999999999998,process_tree,2.01,process_tree,649.65
440000,466.641,62.308,40.637,8.57,process_tree,2.0,process_tree,649.13
450000,475.651,81.338,33.339,6.435,process_tree,2.01,process_tree,649.69
460000,485.382,62.94,45.755,5.015,process_tree,2.0,process_tree,649.3
470000,495.708,79.058,32.829,8.595,process_tree,2.01,process_tree,650.14
480000,504.854,87.7,27.229,4.26,process_tree,2.0,process_tree,648.81
490000,515.436,80.315,34.34,17.155,process_tree,2.0,process_tree,649.02
500000,524.536,83.675,36.507,5.015,process_tree,2.03,process_tree,658.66
510000,535.329,79.218,35.536,7.865,process_tree,2.04,process_tree,660.73
520000,545.976,83.582,35.008,10.705000000000002,process_tree,2.04,process_tree,660.78
530000,556.014,79.085,38.403,14.314999999999998,process_tree,2.04,process_tree,660.97
540000,565.47,93.936,19.175,6.45,process_tree,2.04,process_tree,660.38
550000,576.242,94.783,12.413,12.16,process_tree,2.04,process_tree,660.6
560000,585.324,86.973,23.064,15.040000000000001,process_tree,2.04,process_tree,660.23
570000,594.62,100.0,0.0,2.8649999999999998,process_tree,2.04,process_tree,660.29
580000,605.206,91.145,28.001,16.39,process_tree,2.04,process_tree,661.21
590000,614.176,100.0,0.0,4.3,process_tree,2.04,process_tree,660.75
600000,625.496,91.858,27.003,13.51,process_tree,2.04,process_tree,660.3
610000,634.451,100.0,0.0,5.015,process_tree,2.04,process_tree,661.3
620000,644.933,100.0,0.0,16.44,process_tree,2.04,process_tree,661.01
630000,654.577,80.554,36.348,5.015,process_tree,2.04,process_tree,660.99
640000,665.235,96.682,10.493,14.294999999999998,process_tree,2.04,process_tree,661.35
650000,674.359,97.3,4.694,6.42,process_tree,2.04,process_tree,661.34
660000,684.414,83.983,35.837,15.689999999999998,process_tree,2.04,process_tree,661.32
670000,692.944,100.0,0.0,5.01,process_tree,2.04,process_tree,660.81
680000,704.058,100.0,0.0,10.0,process_tree,2.04,process_tree,661.24
690000,713.686,91.867,26.975,4.26,process_tree,2.04,process_tree,661.59
700000,722.611,90.991,28.489,4.970000000000001,process_tree,2.04,process_tree,661.85
710000,733.922,90.1,24.25,13.575,process_tree,2.04,process_tree,661.36
720000,742.987,100.0,0.0,5.015,process_tree,2.04,process_tree,661.49
730000,752.214,100.0,0.0,12.120000000000001,process_tree,2.04,process_tree,661.3
740000,761.599,100.0,0.0,15.669999999999998,process_tree,2.04,process_tree,661.56
750000,772.259,100.0,0.0,20.6,process_tree,2.04,process_tree,661.43
760000,781.011,96.511,9.868,9.235,process_tree,2.04,process_tree,661.58
770000,791.554,91.125,23.481,9.97,process_tree,2.04,process_tree,661.29
780000,800.93,86.131,32.711,7.125,process_tree,2.04,process_tree,660.94
790000,809.763,91.027,28.374,5.015,process_tree,2.04,process_tree,661.14
800000,819.869,97.636,7.474,31.52,process_tree,2.04,process_tree,660.88
810000,829.554,100.0,0.0,4.970000000000001,process_tree,2.04,process_tree,661.62
820000,839.309,100.0,0.0,22.895,process_tree,2.04,process_tree,661.52
830000,848.632,100.0,0.0,4.970000000000001,process_tree,2.04,process_tree,661.47
840000,859.047,92.673,19.757,26.345,process_tree,2.04,process_tree,660.88
850000,867.539,100.0,0.0,4.3,process_tree,2.04,process_tree,661.02
860000,877.401,100.0,0.0,9.309999999999999,process_tree,2.04,process_tree,661.44
870000,887.194,100.0,0.0,4.375,process_tree,2.04,process_tree,660.89
880000,897.887,100.0,0.0,14.930000000000001,process_tree,2.04,process_tree,660.74
890000,906.375,100.0,0.0,4.26,process_tree,2.04,process_tree,661.39
