step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,82.1,system,
10000,17.317,1.311,0.801,16.41,process_tree,1.97,process_tree,638.88
20000,30.567,1.664,1.032,13.559999999999999,process_tree,1.98,process_tree,641.04
30000,43.965,2.007,1.28,29.380000000000003,process_tree,1.98,process_tree,641.15
40000,55.836,2.626,1.945,9.295,process_tree,1.98,process_tree,641.14
50000,67.947,3.492,2.999,23.255,process_tree,1.98,process_tree,641.27
60000,80.367,4.376,3.491,21.485,process_tree,1.98,process_tree,641.33
70000,92.154,5.439,4.907,4.970000000000001,process_tree,1.98,process_tree,641.91
80000,104.385,6.211,6.664,22.8,process_tree,1.98,process_tree,642.52
90000,116.944,7.579,7.491,38.665,process_tree,1.98,process_tree,642.35
100000,127.555,9.285,11.444,7.8549999999999995,process_tree,1.98,process_tree,642.72
110000,139.618,13.634,15.161,12.14,process_tree,1.99,process_tree,643.15
120000,151.027,27.45,28.759,5.015,process_tree,1.99,process_tree,643.4
130000,163.64,51.471,39.466,11.42,process_tree,1.99,process_tree,643.68
140000,175.362,78.85,38.012,10.73,process_tree,1.99,process_tree,644.31
150000,185.799,67.3,43.916,5.13,process_tree,1.99,process_tree,643.9
160000,196.953,84.643,27.654,9.280000000000001,process_tree,1.99,process_tree,644.43
170000,208.313,83.964,34.254,12.14,process_tree,1.99,process_tree,644.41
180000,219.116,91.0,28.461,38.845,process_tree,1.99,process_tree,644.42
190000,230.987,91.75,27.362,13.61,process_tree,1.99,process_tree,644.41
200000,242.329,100.0,0.0,4.3,process_tree,1.99,process_tree,644.61
210000,253.752,90.02,29.94,5.720000000000001,process_tree,1.99,process_tree,644.72
220000,265.542,100.0,0.0,32.95,process_tree,1.99,process_tree,645.02
230000,275.667,100.0,0.0,5.015,process_tree,1.99,process_tree,644.9
240000,286.839,100.0,0.0,12.13,process_tree,1.99,process_tree,644.76
250000,298.283,100.0,0.0,21.475,process_tree,1.99,process_tree,645.18
260000,309.511,100.0,0.0,4.3,process_tree,1.99,process_tree,645.82
