step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,73.7,system,
10000,23.794,1.248,0.73,27.729999999999997,process_tree,1.97,process_tree,637.76
20000,44.304,1.971,1.317,15.755,process_tree,1.98,process_tree,640.2
30000,61.894,2.936,2.155,7.1450000000000005,process_tree,1.98,process_tree,640.93
40000,78.26,5.363,4.924,6.45,process_tree,1.98,process_tree,642.86
50000,98.058,11.454,9.335,15.189999999999998,process_tree,1.99,process_tree,643.57
60000,115.572,18.229,15.929,5.015,process_tree,1.99,process_tree,644.98
70000,130.805,35.744,34.507,5.01,process_tree,1.99,process_tree,646.09
80000,147.295,58.768,41.755,4.970000000000001,process_tree,2.0,process_tree,646.54
90000,166.508,32.453,27.033,23.365000000000002,process_tree,1.99,process_tree,646.2
100000,182.523,17.613,17.871,12.180000000000001,process_tree,2.0,process_tree,646.91
110000,198.912,17.539,16.089,6.3950000000000005,process_tree,2.0,process_tree,648.18
120000,214.316,14.71,14.722,5.015,process_tree,2.0,process_tree,647.48
130000,232.738,14.833,12.437,17.805,process_tree,2.0,process_tree,647.33
140000,249.8,32.414,23.671,17.91,process_tree,2.0,process_tree,646.91
150000,265.553,24.657,24.508,5.015,process_tree,2.0,process_tree,647.54
160000,284.368,17.676,12.054,15.669999999999998,process_tree,2.0,process_tree,646.56
170000,301.334,29.645,26.434,12.85,process_tree,2.0,process_tree,647.54
180000,317.476,18.951,15.622,5.015,process_tree,2.0,process_tree,647.68
190000,336.079,21.204,15.641,20.02,process_tree,2.0,process_tree,647.84
200000,352.07,19.226,16.754,17.815,process_tree,2.0,process_tree,647.94
210000,368.748,42.804,31.017,4.26,process_tree,2.0,process_tree,647.91
220000,385.388,44.905,37.579,6.45,process_tree,2.0,process_tree,648.39
230000,401.045,33.632,33.016,4.3,process_tree,2.0,process_tree,649.34
240000,420.445,52.213,39.286,14.355,process_tree,2.0,process_tree,647.85
250000,437.329,60.517,37.988,23.604999999999997,process_tree,2.0,process_tree,647.81
260000,454.306,57.561,39.337,16.47,process_tree,2.0,process_tree,647.86
270000,471.326,77.215,29.594,6.45,process_tree,2.0,process_tree,648.07
280000,489.412,32.969,28.366,8.525,process_tree,2.0,process_tree,648.02
290000,506.607,26.309,16.427,10.745,process_tree,2.0,process_tree,647.88
300000,523.823,95.777,14.629,13.645,process_tree,2.0,process_tree,648.26
310000,540.834,57.2,34.736,4.970000000000001,process_tree,2.0,process_tree,649.22
320000,558.027,31.753,25.428,4.970000000000001,process_tree,2.0,process_tree,648.14
330000,573.944,28.163,20.23,5.7299999999999995,process_tree,2.0,process_tree,648.25
340000,590.671,86.67,25.157,5.015,process_tree,2.0,process_tree,648.36
350000,609.312,58.705,29.935,7.279999999999999,process_tree,2.0,process_tree,648.95
360000,626.054,28.457,20.934,13.61,process_tree,2.0,process_tree,648.2
370000,643.942,44.524,33.054,5.015,process_tree,2.0,process_tree,648.86
380000,659.879,81.7,25.426,26.48,process_tree,2.0,process_tree,648.27
390000,676.147,62.079,39.842,13.62,process_tree,2.0,process_tree,648.19
400000,692.89,51.457,41.109,5.735,process_tree,2.0,process_tree,648.75
410000,711.804,38.427,29.844,10.02,process_tree,2.0,process_tree,649.12
420000,728.372,20.348,19.037,7.154999999999999,process_tree,2.0,process_tree,649.06
430000,745.514,54.3,36.104,7.860000000000001,process_tree,2.0,process_tree,648.18
440000,763.209,54.936,36.776,4.970000000000001,process_tree,2.0,process_tree,648.78
450000,779.489,55.894,31.642,4.3,process_tree,2.0,process_tree,648.86
460000,798.141,39.282,28.909,17.175,process_tree,2.0,process_tree,648.91
470000,814.602,91.191,15.948,7.8549999999999995,process_tree,2.0,process_tree,649.17
480000,832.449,48.084,33.549,22.075,process_tree,2.0,process_tree,648.35
490000,849.109,35.855,24.021,8.85,process_tree,2.0,process_tree,648.55
500000,865.867,40.576,28.531,5.015,process_tree,2.03,process_tree,657.74
510000,883.13,84.991,20.98,5.68,process_tree,2.03,process_tree,657.71
520000,900.677,76.925,24.968,5.725,process_tree,2.03,process_tree,658.7
530000,919.792,100.0,0.0,6.435,process_tree,2.03,process_tree,658.97
540000,937.025,85.607,30.387,19.825,process_tree,2.04,process_tree,659.2
550000,954.539,57.34,40.646,5.680000000000001,process_tree,2.03,process_tree,658.97
560000,971.427,45.667,33.03,34.88,process_tree,2.03,process_tree,659.07
570000,987.577,50.236,35.684,17.869999999999997,process_tree,2.03,process_tree,658.89
580000,1004.264,75.8,41.918,4.26,process_tree,2.03,process_tree,658.87
590000,1022.497,72.829,37.355,4.3,process_tree,2.03,process_tree,658.95
600000,1037.782,63.015,44.257,4.970000000000001,process_tree,2.04,process_tree,660.28
610000,1052.851,48.563,34.515,25.195,process_tree,2.03,process_tree,659.11
620000,1066.657,43.61,27.741,15.639999999999997,process_tree,2.04,process_tree,660.16
630000,1080.227,41.129,25.05,23.625,process_tree,2.04,process_tree,659.39
640000,1093.97,44.336,31.987,5.735,process_tree,2.04,process_tree,660.04
650000,1107.951,26.47,23.168,9.235,process_tree,2.04,process_tree,659.48
660000,1122.086,95.292,15.616,6.410000000000001,process_tree,2.04,process_tree,659.26
670000,1136.472,60.711,36.195,5.015,process_tree,2.04,process_tree,660.25
680000,1150.345,85.957,34.398,5.015,process_tree,2.04,process_tree,659.46
690000,1164.718,100.0,0.0,6.45,process_tree,2.04,process_tree,659.26
700000,1179.244,65.2,43.165,10.725,process_tree,2.03,process_tree,659.15
710000,1193.233,88.442,23.917,11.41,process_tree,2.04,process_tree,659.42
720000,1207.225,71.925,42.418,5.015,process_tree,2.03,process_tree,658.72
730000,1221.376,89.827,22.001,6.535000000000001,process_tree,2.03,process_tree,658.99
740000,1235.542,86.13,29.01,4.26,process_tree,2.03,process_tree,658.95
750000,1249.189,91.273,27.598,5.04,process_tree,2.03,process_tree,659.03
760000,1262.975,100.0,0.0,5.735,process_tree,2.03,process_tree,659.16
770000,1277.373,100.0,0.0,8.594999999999999,process_tree,2.04,process_tree,659.53
780000,1292.241,100.0,0.0,5.68,process_tree,2.04,process_tree,659.65
790000,1306.967,100.0,0.0,5.015,process_tree,2.04,process_tree,659.29
