step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,73.8,system,
10000,19.458,0.786,0.533,7.875,process_tree,2.02,process_tree,653.85
20000,31.723,0.824,0.555,12.855,process_tree,2.03,process_tree,656.91
30000,43.677,0.92,0.628,20.02,process_tree,2.03,process_tree,657.36
40000,56.018,1.111,0.74,6.435,process_tree,2.03,process_tree,657.54
50000,68.579,1.244,0.737,22.79,process_tree,2.03,process_tree,657.91
60000,80.63,1.363,0.874,29.525,process_tree,2.03,process_tree,658.18
70000,92.173,1.461,0.839,17.875,process_tree,2.03,process_tree,658.01
80000,103.965,1.622,0.943,31.490000000000002,process_tree,2.03,process_tree,658.14
90000,115.959,1.755,0.965,12.145,process_tree,2.03,process_tree,658.2
100000,127.226,1.934,1.067,12.895,process_tree,2.03,process_tree,658.31
110000,139.043,1.96,1.132,4.265,process_tree,2.03,process_tree,658.12
120000,150.202,2.241,1.339,14.815000000000001,process_tree,2.03,process_tree,658.09
130000,162.088,2.466,1.531,11.434999999999999,process_tree,2.03,process_tree,657.87
140000,173.955,2.652,1.604,9.295,process_tree,2.03,process_tree,658.29
150000,184.792,2.687,1.919,19.229999999999997,process_tree,2.03,process_tree,658.22
160000,195.792,3.619,2.666,24.915,process_tree,2.03,process_tree,657.93
170000,206.707,3.976,3.296,4.970000000000001,process_tree,2.03,process_tree,658.46
180000,217.413,4.158,3.308,5.015,process_tree,2.03,process_tree,658.42
190000,231.858,5.024,4.396,9.29,process_tree,2.03,process_tree,658.52
200000,242.504,6.299,5.958,7.834999999999999,process_tree,2.03,process_tree,659.18
210000,252.988,7.179,6.992,13.605,process_tree,2.04,process_tree,659.78
220000,264.089,7.808,8.92,31.26,process_tree,2.03,process_tree,658.99
230000,275.124,8.708,9.098,12.365,process_tree,2.04,process_tree,659.6
240000,286.018,10.74,10.327,6.445,process_tree,2.04,process_tree,660.09
250000,297.514,10.985,9.244,12.155,process_tree,2.04,process_tree,660.34
260000,308.226,15.075,17.337,10.709999999999999,process_tree,2.04,process_tree,660.79
270000,319.347,28.63,23.572,15.044999999999998,process_tree,2.04,process_tree,660.34
280000,331.05,18.863,21.394,7.834999999999999,process_tree,2.04,process_tree,660.89
290000,343.082,19.3,23.204,24.205000000000002,process_tree,2.04,process_tree,660.73
300000,353.53,32.306,30.172,28.49,process_tree,2.04,process_tree,660.91
310000,364.349,18.219,18.621,22.175,process_tree,2.04,process_tree,660.73
320000,376.473,21.167,21.799,7.834999999999999,process_tree,2.04,process_tree,660.55
330000,387.007,22.424,13.805,9.945,process_tree,2.04,process_tree,660.85
340000,397.791,31.606,25.602,9.290000000000001,process_tree,2.04,process_tree,661.14
350000,409.261,27.371,21.418,7.154999999999999,process_tree,2.04,process_tree,660.74
360000,420.399,33.159,24.738,15.76,process_tree,2.04,process_tree,661.11
370000,431.307,31.929,24.642,22.889999999999997,process_tree,2.04,process_tree,661.14
380000,442.045,38.396,32.329,17.2,process_tree,2.04,process_tree,661.05
390000,453.62,78.889,34.04,4.970000000000001,process_tree,2.05,process_tree,662.61
400000,464.07,81.936,37.739,5.015,process_tree,2.04,process_tree,661.08
410000,478.472,92.08,23.76,5.7,process_tree,2.04,process_tree,660.89
420000,488.796,94.425,18.49,18.59,process_tree,2.04,process_tree,660.84
430000,500.131,99.692,1.023,18.485000000000003,process_tree,2.04,process_tree,661.4
440000,510.483,98.091,5.214,7.12,process_tree,2.04,process_tree,661.35
450000,520.927,70.989,27.142,6.435,process_tree,2.05,process_tree,663.52
460000,531.829,73.721,32.877,12.41,process_tree,2.05,process_tree,663.04
470000,542.069,97.327,8.452,20.66,process_tree,2.04,process_tree,661.64
480000,553.033,100.0,0.0,15.675,process_tree,2.04,process_tree,661.79
490000,564.491,100.0,0.0,3.585,process_tree,2.04,process_tree,661.79
500000,575.159,97.591,5.995,18.595,process_tree,2.06,process_tree,667.65
510000,586.371,95.513,11.873,20.06,process_tree,2.07,process_tree,670.33
520000,597.021,100.0,0.0,13.55,process_tree,2.07,process_tree,672.08
530000,608.222,100.0,0.0,20.02,process_tree,2.08,process_tree,672.2
540000,620.172,100.0,0.0,11.419999999999998,process_tree,2.08,process_tree,672.52
550000,631.159,92.0,25.298,7.865,process_tree,2.08,process_tree,672.36
560000,641.888,86.038,25.725,17.23,process_tree,2.08,process_tree,673.24
570000,652.214,80.009,22.462,11.620000000000001,process_tree,2.08,process_tree,672.67
580000,662.496,95.9,12.965,18.47,process_tree,2.08,process_tree,673.17
590000,672.919,92.75,24.046,10.59,process_tree,2.08,process_tree,672.75
600000,683.334,90.838,19.702,4.970000000000001,process_tree,2.08,process_tree,674.46
610000,694.039,100.0,0.0,4.3,process_tree,2.08,process_tree,672.8
620000,708.954,100.0,0.0,4.295,process_tree,2.08,process_tree,674.23
630000,719.53,100.0,0.0,20.77,process_tree,2.08,process_tree,674.48
640000,730.59,100.0,0.0,22.405,process_tree,2.08,process_tree,672.31
650000,741.594,100.0,0.0,7.834999999999999,process_tree,2.08,process_tree,672.62
