step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,73.1,system,
10000,19.672,1.348,0.864,14.964999999999998,process_tree,1.97,process_tree,637.37
20000,33.15,2.136,1.383,5.68,process_tree,1.97,process_tree,639.41
30000,46.947,3.313,2.62,4.970000000000001,process_tree,1.98,process_tree,639.92
40000,60.241,5.295,4.267,4.26,process_tree,1.98,process_tree,639.88
50000,73.123,12.053,16.301,18.725,process_tree,1.98,process_tree,639.98
60000,85.074,31.69,29.948,4.3,process_tree,1.98,process_tree,640.66
70000,97.268,29.741,34.741,5.68,process_tree,1.98,process_tree,640.44
80000,110.595,35.39,39.396,13.61,process_tree,1.98,process_tree,640.53
90000,122.68,83.45,37.007,7.875,process_tree,1.98,process_tree,641.19
100000,134.316,78.536,38.108,4.970000000000001,process_tree,1.98,process_tree,641.18
110000,146.82,89.011,31.081,12.88,process_tree,1.98,process_tree,641.22
120000,159.282,90.07,29.79,26.294999999999998,process_tree,1.98,process_tree,641.74
130000,170.617,94.338,19.612,4.26,process_tree,1.98,process_tree,641.95
140000,183.69,87.525,27.871,8.575,process_tree,1.98,process_tree,641.99
150000,196.084,76.636,28.006,10.870000000000001,process_tree,1.98,process_tree,641.96
160000,207.179,93.9,21.131,4.3,process_tree,1.98,process_tree,642.09
170000,219.273,100.0,0.0,17.759999999999998,process_tree,1.98,process_tree,642.11
180000,231.229,100.0,0.0,31.314999999999998,process_tree,1.98,process_tree,642.13
190000,243.197,100.0,0.0,4.970000000000001,process_tree,1.98,process_tree,642.11
200000,256.061,77.613,37.931,20.66,process_tree,1.98,process_tree,642.08
210000,267.439,100.0,0.0,13.535,process_tree,1.98,process_tree,642.17
220000,279.386,91.792,27.224,5.015,process_tree,1.98,process_tree,642.17
230000,291.25,98.31,5.07,20.775,process_tree,1.98,process_tree,642.13
240000,303.345,83.408,37.101,7.869999999999999,process_tree,1.98,process_tree,642.87
250000,315.588,89.333,21.576,4.3,process_tree,1.98,process_tree,642.78
260000,328.007,100.0,0.0,28.665000000000003,process_tree,1.98,process_tree,642.87
270000,339.983,100.0,0.0,5.015,process_tree,1.98,process_tree,642.89
280000,351.719,100.0,0.0,5.04,process_tree,1.98,process_tree,642.99
290000,364.697,94.26,17.22,15.73,process_tree,1.98,process_tree,642.92
300000,377.285,94.791,16.473,5.015,process_tree,1.98,process_tree,642.9
310000,389.148,80.111,37.429,4.970000000000001,process_tree,1.99,process_tree,643.02
320000,401.436,85.146,34.849,17.81,process_tree,1.98,process_tree,642.85
330000,413.809,91.082,28.202,5.015,process_tree,1.98,process_tree,642.8
340000,426.842,80.053,39.893,10.025,process_tree,1.98,process_tree,642.73
350000,438.146,90.945,28.633,16.44,process_tree,1.98,process_tree,642.93
360000,449.445,59.871,47.99,4.26,process_tree,1.98,process_tree,642.86
370000,462.423,87.825,32.212,14.25,process_tree,1.98,process_tree,642.86
380000,474.246,100.0,0.0,5.695,process_tree,1.98,process_tree,642.86
390000,486.627,91.683,27.583,5.015,process_tree,1.98,process_tree,642.81
400000,499.121,86.071,34.118,17.884999999999998,process_tree,1.98,process_tree,642.94
410000,510.692,90.02,29.94,5.6850000000000005,process_tree,1.98,process_tree,642.76
420000,523.024,100.0,0.0,5.82,process_tree,1.98,process_tree,642.87
430000,535.206,87.763,32.377,40.845,process_tree,1.98,process_tree,642.92
440000,546.703,91.145,28.001,6.87,process_tree,1.98,process_tree,642.92
450000,558.348,100.0,0.0,5.88,process_tree,1.98,process_tree,642.82
460000,571.522,91.0,28.461,10.735,process_tree,1.98,process_tree,642.82
470000,582.813,74.073,43.005,3.55,process_tree,1.98,process_tree,642.8
480000,594.545,95.67,12.99,5.015,process_tree,1.98,process_tree,642.85
490000,607.445,50.6,49.403,15.01,process_tree,1.98,process_tree,642.98
500000,619.349,72.093,44.126,23.07,process_tree,2.01,process_tree,651.08
510000,632.311,80.1,39.8,24.925,process_tree,2.01,process_tree,652.51
520000,644.699,71.729,44.702,17.165,process_tree,2.02,process_tree,652.88
530000,656.692,67.067,46.579,4.970000000000001,process_tree,2.02,process_tree,652.86
540000,669.275,100.0,0.0,13.505,process_tree,2.02,process_tree,652.72
550000,681.656,90.03,29.91,13.510000000000002,process_tree,2.02,process_tree,652.92
560000,694.17,61.567,48.183,5.015,process_tree,2.02,process_tree,652.81
570000,706.488,85.886,34.575,4.970000000000001,process_tree,2.02,process_tree,652.82
580000,719.309,100.0,0.0,16.145000000000003,process_tree,2.02,process_tree,652.98
590000,731.072,90.991,28.489,20.75,process_tree,2.02,process_tree,652.98
600000,742.726,84.45,32.599,5.015,process_tree,2.02,process_tree,652.86
610000,755.355,100.0,0.0,27.044999999999998,process_tree,2.02,process_tree,652.93
620000,767.153,84.792,35.666,7.1049999999999995,process_tree,2.02,process_tree,652.81
630000,779.254,91.883,26.92,5.68,process_tree,2.02,process_tree,652.93
640000,791.357,77.369,41.322,7.159999999999999,process_tree,2.02,process_tree,652.93
650000,803.284,83.542,36.804,19.335,process_tree,2.02,process_tree,652.96
660000,815.754,90.04,29.88,4.970000000000001,process_tree,2.02,process_tree,652.95
670000,827.776,85.536,31.761,17.759999999999998,process_tree,2.02,process_tree,652.93
680000,839.214,84.723,35.828,21.494999999999997,process_tree,2.02,process_tree,652.89
690000,851.27,100.0,0.0,5.6850000000000005,process_tree,2.02,process_tree,652.93
