step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,74.4,system,
10000,36.255,1.715,1.16,6.45,process_tree,1.98,process_tree,641.2
20000,64.706,3.246,2.534,4.3,process_tree,2.0,process_tree,646.27
30000,92.381,4.996,3.852,5.015,process_tree,2.0,process_tree,647.75
40000,121.65,12.666,10.385,5.015,process_tree,2.01,process_tree,650.03
50000,149.965,10.689,14.504,7.1049999999999995,process_tree,2.0,process_tree,648.88
60000,177.4,12.188,11.099,13.580000000000002,process_tree,2.0,process_tree,648.6
70000,204.276,15.945,18.706,5.725,process_tree,2.0,process_tree,649.04
80000,231.647,18.019,17.62,4.3,process_tree,2.01,process_tree,650.23
90000,259.846,21.836,20.053,11.385,process_tree,2.01,process_tree,650.36
100000,286.455,26.21,23.889,7.165000000000001,process_tree,2.01,process_tree,650.38
110000,313.718,41.3,32.137,5.68,process_tree,2.01,process_tree,650.51
120000,340.558,36.214,32.632,5.7299999999999995,process_tree,2.0,process_tree,649.36
130000,368.024,13.726,18.769,4.970000000000001,process_tree,2.01,process_tree,651.15
140000,395.633,17.9,17.594,5.015,process_tree,2.01,process_tree,651.71
150000,424.476,27.887,28.757,6.404999999999999,process_tree,2.0,process_tree,649.12
160000,451.609,14.246,18.228,5.725,process_tree,2.01,process_tree,650.79
170000,477.964,20.278,18.974,7.1,process_tree,2.01,process_tree,651.16
180000,505.933,54.92,35.721,5.6850000000000005,process_tree,2.01,process_tree,650.5
190000,533.224,26.587,27.567,4.26,process_tree,2.01,process_tree,650.71
200000,559.144,24.685,17.809,4.970000000000001,process_tree,2.01,process_tree,650.55
210000,586.864,23.702,27.642,5.015,process_tree,2.01,process_tree,650.7
220000,613.306,32.589,30.393,6.39,process_tree,2.01,process_tree,650.63
230000,641.156,23.403,18.867,5.68,process_tree,2.01,process_tree,651.23
240000,668.185,28.733,26.594,12.14,process_tree,2.01,process_tree,649.76
250000,695.991,25.996,29.215,7.165000000000001,process_tree,2.01,process_tree,652.3
260000,722.625,35.279,23.701,6.45,process_tree,2.01,process_tree,651.57
270000,749.612,50.748,39.275,3.585,process_tree,2.01,process_tree,651.21
280000,775.74,35.59,33.166,6.45,process_tree,2.01,process_tree,651.38
290000,804.461,67.718,35.996,5.6850000000000005,process_tree,2.01,process_tree,650.94
300000,830.092,44.296,35.922,5.82,process_tree,2.01,process_tree,651.23
310000,861.022,69.263,40.115,5.6850000000000005,process_tree,2.01,process_tree,650.78
320000,887.144,59.444,41.353,4.970000000000001,process_tree,2.01,process_tree,651.36
330000,915.67,77.857,36.81,5.015,process_tree,2.01,process_tree,650.17
340000,940.681,56.579,44.046,5.735,process_tree,2.01,process_tree,651.27
350000,967.863,83.685,27.576,6.39,process_tree,2.01,process_tree,650.28
360000,994.758,77.292,31.05,4.3,process_tree,2.01,process_tree,650.43
370000,1022.138,62.882,36.37,4.970000000000001,process_tree,2.01,process_tree,651.47
380000,1049.481,73.331,37.624,6.45,process_tree,2.01,process_tree,651.32
390000,1075.885,80.709,33.647,5.015,process_tree,2.01,process_tree,650.93
400000,1102.308,64.89,39.121,5.68,process_tree,2.01,process_tree,651.45
410000,1130.701,67.664,35.054,4.975,process_tree,2.01,process_tree,651.69
