step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,76.4,system,
10000,17.41,1.102,0.689,7.465000000000001,process_tree,1.99,process_tree,644.71
20000,29.796,1.286,0.719,12.87,process_tree,2.0,process_tree,647.62
30000,42.352,1.425,0.827,7.1450000000000005,process_tree,2.0,process_tree,647.43
40000,52.594,1.617,0.923,9.275,process_tree,2.0,process_tree,648.2
50000,64.247,1.949,1.217,10.705000000000002,process_tree,2.0,process_tree,647.67
60000,75.627,2.381,1.572,5.720000000000001,process_tree,2.0,process_tree,648.32
70000,85.422,2.821,1.981,7.15,process_tree,2.0,process_tree,648.36
80000,96.85,3.611,2.829,28.654999999999994,process_tree,2.0,process_tree,648.11
90000,108.545,4.411,4.023,25.08,process_tree,2.0,process_tree,648.13
100000,117.877,5.124,4.778,5.82,process_tree,2.0,process_tree,648.51
110000,129.106,6.426,6.374,17.18,process_tree,2.0,process_tree,649.0
120000,139.806,8.647,8.746,9.3,process_tree,2.01,process_tree,650.23
130000,149.228,12.989,11.964,5.015,process_tree,2.01,process_tree,652.01
140000,160.189,12.397,12.372,12.175,process_tree,2.0,process_tree,649.36
150000,171.595,13.607,13.423,5.015,process_tree,2.01,process_tree,650.11
160000,180.674,23.993,24.119,5.015,process_tree,2.02,process_tree,653.0
170000,191.569,69.8,35.402,5.720000000000001,process_tree,2.01,process_tree,649.89
180000,201.839,33.228,27.953,22.919999999999998,process_tree,2.01,process_tree,650.1
190000,212.787,41.45,32.748,13.5,process_tree,2.02,process_tree,653.23
200000,221.204,43.583,32.468,13.885,process_tree,2.01,process_tree,650.93
210000,232.176,43.567,33.094,14.61,process_tree,2.01,process_tree,651.39
220000,243.078,44.706,36.166,6.4,process_tree,2.02,process_tree,653.27
230000,252.121,65.711,39.368,6.45,process_tree,2.01,process_tree,651.66
240000,262.256,36.991,30.059,14.285000000000002,process_tree,2.01,process_tree,650.77
250000,272.995,50.404,35.987,20.66,process_tree,2.01,process_tree,650.77
260000,281.892,28.232,27.348,15.015,process_tree,2.01,process_tree,651.13
270000,292.477,41.823,31.127,11.440000000000001,process_tree,2.01,process_tree,651.49
280000,302.865,23.317,11.871,13.355,process_tree,2.03,process_tree,656.7
290000,311.862,18.894,9.49,17.195,process_tree,2.01,process_tree,652.16
300000,322.147,17.582,9.712,7.875,process_tree,2.02,process_tree,653.0
310000,333.114,15.824,5.495,21.35,process_tree,2.03,process_tree,656.19
320000,342.049,13.565,5.4,15.819999999999999,process_tree,2.01,process_tree,652.47
330000,352.668,15.462,5.574,7.1450000000000005,process_tree,2.01,process_tree,652.64
340000,362.923,17.346,7.388,18.404999999999998,process_tree,2.03,process_tree,656.18
350000,371.983,20.202,9.584,31.675,process_tree,2.02,process_tree,653.01
360000,382.629,17.362,7.676,20.65,process_tree,2.01,process_tree,652.44
370000,393.031,20.198,9.231,5.58,process_tree,2.02,process_tree,652.91
380000,401.367,23.937,9.998,13.010000000000002,process_tree,2.02,process_tree,653.01
390000,412.249,27.1,17.288,11.42,process_tree,2.02,process_tree,653.52
400000,422.288,28.818,23.472,7.12,process_tree,2.02,process_tree,655.33
410000,431.069,53.15,34.283,4.3,process_tree,2.02,process_tree,655.43
420000,441.712,22.395,15.008,20.025,process_tree,2.02,process_tree,653.06
430000,451.878,17.027,12.935,14.975,process_tree,2.02,process_tree,652.85
