step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,71.5,system,
10000,43.144,1.303,0.819,4.26,process_tree,1.96,process_tree,635.8
20000,59.463,1.885,1.19,5.015,process_tree,1.97,process_tree,637.6
30000,77.743,3.175,2.345,5.015,process_tree,1.97,process_tree,638.03
40000,94.03,4.542,3.485,12.184999999999999,process_tree,1.97,process_tree,638.79
50000,109.588,6.98,5.757,4.970000000000001,process_tree,1.97,process_tree,639.11
60000,125.435,14.122,15.034,4.26,process_tree,1.98,process_tree,640.7
70000,140.868,31.65,33.772,5.7299999999999995,process_tree,1.98,process_tree,640.42
80000,157.409,69.207,41.18,5.015,process_tree,1.98,process_tree,640.44
90000,174.286,54.242,41.123,5.015,process_tree,1.98,process_tree,640.35
100000,189.171,84.777,35.702,17.225,process_tree,1.98,process_tree,640.28
110000,204.957,92.4,26.327,5.015,process_tree,1.98,process_tree,640.35
120000,220.858,100.0,0.0,12.180000000000001,process_tree,1.98,process_tree,640.35
130000,236.773,100.0,0.0,6.44,process_tree,1.98,process_tree,640.35
140000,252.398,100.0,0.0,7.130000000000001,process_tree,1.98,process_tree,640.16
150000,268.696,100.0,0.0,4.3,process_tree,1.98,process_tree,640.29
160000,284.537,100.0,0.0,5.015,process_tree,1.98,process_tree,640.51
170000,302.407,100.0,0.0,7.875,process_tree,1.98,process_tree,640.62
180000,317.783,94.527,17.306,4.375,process_tree,1.98,process_tree,640.77
190000,334.564,92.05,26.367,4.985,process_tree,1.98,process_tree,640.81
200000,350.425,100.0,0.0,5.015,process_tree,1.98,process_tree,640.84
210000,365.98,100.0,0.0,7.88,process_tree,1.98,process_tree,640.79
220000,382.244,100.0,0.0,12.184999999999999,process_tree,1.98,process_tree,640.69
230000,399.226,100.0,0.0,4.26,process_tree,1.98,process_tree,640.69
240000,414.764,100.0,0.0,24.915,process_tree,1.98,process_tree,640.62
