step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,80.6,system,
10000,14.227,1.207,0.703,7.869999999999999,process_tree,2.02,process_tree,654.12
20000,22.832,1.222,0.727,15.725,process_tree,2.09,process_tree,677.19
30000,32.065,1.254,0.769,11.405,process_tree,2.16,process_tree,700.96
40000,40.769,1.202,0.725,17.110000000000003,process_tree,2.23,process_tree,721.74
50000,49.369,1.209,0.735,14.319999999999999,process_tree,2.3,process_tree,743.86
60000,58.473,1.214,0.731,6.404999999999999,process_tree,2.37,process_tree,768.57
70000,67.812,1.199,0.745,11.86,process_tree,2.44,process_tree,789.18
80000,76.369,1.177,0.761,27.0,process_tree,2.5,process_tree,810.32
90000,85.035,1.192,0.7,13.569999999999999,process_tree,2.57,process_tree,832.5
100000,93.655,1.233,0.766,32.205,process_tree,2.64,process_tree,855.55
110000,102.226,1.201,0.726,9.309999999999999,process_tree,2.71,process_tree,879.25
120000,111.123,1.173,0.663,7.834999999999999,process_tree,2.77,process_tree,895.69
130000,120.214,1.148,0.687,6.43,process_tree,2.83,process_tree,917.32
140000,129.399,1.17,0.702,17.82,process_tree,2.9,process_tree,938.33
150000,138.891,1.189,0.776,10.025,process_tree,2.96,process_tree,959.35
160000,148.05,1.177,0.69,13.575,process_tree,3.03,process_tree,981.72
170000,156.484,1.126,0.708,9.620000000000001,process_tree,3.1,process_tree,1002.8
180000,164.549,1.204,0.681,11.445,process_tree,3.16,process_tree,1024.89
190000,171.737,1.212,0.709,18.605,process_tree,3.23,process_tree,1046.43
200000,180.014,1.186,0.772,12.15,process_tree,3.3,process_tree,1068.79
210000,188.771,1.191,0.691,7.15,process_tree,3.36,process_tree,1089.97
220000,306.434,1.397,0.85,7.860000000000001,process_tree,2.48,process_tree,804.42
230000,313.499,1.414,0.881,5.6850000000000005,process_tree,2.44,process_tree,789.91
240000,320.598,1.573,0.89,15.030000000000001,process_tree,2.46,process_tree,796.52
250000,327.524,1.489,0.898,7.1450000000000005,process_tree,2.46,process_tree,797.16
260000,334.876,1.542,1.037,11.36,process_tree,2.5,process_tree,809.33
270000,341.723,1.584,0.984,12.295,process_tree,2.52,process_tree,815.07
280000,349.018,1.561,0.991,26.49,process_tree,2.54,process_tree,822.41
290000,355.912,1.474,0.871,10.709999999999999,process_tree,2.56,process_tree,829.77
300000,363.434,1.433,0.857,14.314999999999998,process_tree,2.61,process_tree,845.13
310000,371.098,1.598,1.062,7.8549999999999995,process_tree,2.68,process_tree,867.41
320000,378.528,1.465,0.955,8.330000000000002,process_tree,2.76,process_tree,894.07
330000,386.62,1.493,0.957,14.930000000000001,process_tree,2.81,process_tree,910.91
340000,393.789,1.487,0.906,6.410000000000001,process_tree,2.81,process_tree,911.55
350000,401.348,1.521,0.9,20.764999999999997,process_tree,2.88,process_tree,933.67
360000,408.664,1.546,0.939,19.314999999999998,process_tree,2.95,process_tree,954.86
370000,415.817,1.59,1.039,7.87,process_tree,3.02,process_tree,976.94
380000,422.929,1.503,1.038,11.425,process_tree,3.08,process_tree,997.98
390000,429.918,1.65,1.096,10.005,process_tree,3.15,process_tree,1020.17
400000,437.515,1.502,1.054,10.709999999999999,process_tree,3.22,process_tree,1041.44
410000,445.156,1.525,0.907,19.705000000000002,process_tree,3.28,process_tree,1063.62
420000,452.601,1.542,0.853,12.985,process_tree,3.35,process_tree,1085.21
430000,569.38,1.749,1.237,10.584999999999999,process_tree,2.56,process_tree,828.67
440000,576.966,2.835,2.086,7.159999999999999,process_tree,2.48,process_tree,804.88
450000,584.125,2.731,2.038,23.645,process_tree,2.48,process_tree,804.46
460000,591.255,2.898,2.167,17.89,process_tree,2.5,process_tree,810.39
470000,598.301,2.772,2.228,7.1450000000000005,process_tree,2.53,process_tree,819.25
480000,605.304,2.644,1.945,13.15,process_tree,2.55,process_tree,827.48
490000,612.458,2.65,1.76,10.805,process_tree,2.57,process_tree,833.58
500000,619.68,2.796,2.202,7.1450000000000005,process_tree,2.63,process_tree,852.71
510000,628.139,2.731,1.958,16.380000000000003,process_tree,2.67,process_tree,865.36
520000,635.893,2.75,2.312,14.27,process_tree,2.7,process_tree,874.8
530000,642.546,2.592,2.008,24.455000000000002,process_tree,2.78,process_tree,899.44
540000,649.674,2.798,2.288,17.195,process_tree,2.83,process_tree,916.07
550000,657.455,2.808,2.01,12.145,process_tree,2.89,process_tree,937.6
560000,665.604,2.555,2.06,14.919999999999998,process_tree,2.89,process_tree,935.24
570000,673.173,2.926,2.295,14.334999999999999,process_tree,2.95,process_tree,956.68
580000,679.658,2.876,2.168,12.684999999999999,process_tree,3.02,process_tree,978.73
590000,686.363,2.848,2.072,9.309999999999999,process_tree,3.09,process_tree,999.39
600000,693.166,2.562,1.909,13.580000000000002,process_tree,3.15,process_tree,1021.79
610000,700.751,2.689,2.071,4.985,process_tree,3.22,process_tree,1042.63
620000,707.676,2.594,1.954,22.359999999999996,process_tree,3.29,process_tree,1064.71
630000,714.314,2.644,2.003,20.925,process_tree,3.35,process_tree,1086.19
640000,721.482,2.865,2.357,19.905,process_tree,3.42,process_tree,1107.66
650000,838.227,5.512,5.739,22.915,process_tree,2.74,process_tree,886.69
660000,846.067,7.792,7.773,5.96,process_tree,2.71,process_tree,877.14
670000,853.474,6.48,5.93,4.995,process_tree,2.73,process_tree,882.71
680000,860.211,6.234,5.9,15.725,process_tree,2.73,process_tree,885.51
690000,866.478,7.652,9.29,5.68,process_tree,2.75,process_tree,890.13
700000,873.255,6.138,5.593,15.039999999999997,process_tree,2.77,process_tree,896.35
710000,879.983,7.182,6.987,8.555,process_tree,2.79,process_tree,903.84
720000,886.751,6.208,5.77,7.1450000000000005,process_tree,2.82,process_tree,913.04
730000,894.044,8.171,7.963,14.289999999999997,process_tree,2.85,process_tree,924.59
740000,900.82,7.086,6.302,12.129999999999999,process_tree,2.89,process_tree,934.96
750000,908.208,7.608,6.867,23.61,process_tree,2.91,process_tree,941.9
760000,914.557,6.603,5.586,15.665000000000001,process_tree,2.83,process_tree,917.62
770000,921.007,6.184,5.664,14.975,process_tree,2.87,process_tree,929.02
780000,928.782,7.765,6.813,14.98,process_tree,2.94,process_tree,951.12
790000,935.448,5.915,5.634,14.959999999999999,process_tree,3.0,process_tree,972.8
800000,942.939,7.128,6.698,24.205000000000002,process_tree,3.07,process_tree,993.62
810000,950.825,6.928,6.114,12.125,process_tree,3.14,process_tree,1016.1
820000,958.107,7.206,6.96,7.834999999999999,process_tree,3.2,process_tree,1037.54
830000,964.939,6.993,5.722,17.1,process_tree,3.26,process_tree,1056.15
840000,972.004,6.695,7.02,16.215,process_tree,3.33,process_tree,1077.4
850000,979.301,6.199,7.205,10.735,process_tree,3.39,process_tree,1098.53
860000,1095.735,8.84,10.435,6.404999999999999,process_tree,2.74,process_tree,889.08
870000,1103.204,44.756,33.011,20.74,process_tree,2.72,process_tree,880.12
880000,1110.208,28.047,28.108,14.680000000000001,process_tree,2.72,process_tree,881.9
890000,1117.337,33.404,35.721,9.985,process_tree,2.75,process_tree,890.84
900000,1123.885,36.263,31.41,7.8549999999999995,process_tree,2.77,process_tree,896.06
910000,1130.378,37.438,33.096,4.3,process_tree,2.8,process_tree,905.83
920000,1137.06,45.265,33.632,7.865,process_tree,2.82,process_tree,913.79
930000,1144.158,35.888,29.096,7.135000000000001,process_tree,2.85,process_tree,921.73
940000,1150.946,31.782,31.256,5.015,process_tree,2.88,process_tree,934.19
950000,1157.314,34.991,29.056,22.89,process_tree,2.92,process_tree,945.25
960000,1164.628,33.908,24.858,11.15,process_tree,2.96,process_tree,957.66
970000,1171.957,35.693,30.934,24.11,process_tree,2.97,process_tree,961.34
980000,1179.147,39.846,31.906,8.475,process_tree,2.85,process_tree,924.01
990000,1186.464,25.02,26.616,16.395,process_tree,2.9,process_tree,939.38
1000000,1193.482,38.721,27.318,15.039999999999997,process_tree,2.97,process_tree,962.27
1010000,1201.225,36.996,33.075,7.159999999999999,process_tree,3.03,process_tree,982.18
1020000,1208.354,32.869,31.544,15.11,process_tree,3.1,process_tree,1004.99
1030000,1215.29,33.1,32.459,15.735,process_tree,3.16,process_tree,1024.85
1040000,1221.992,49.847,33.503,13.6,process_tree,3.23,process_tree,1047.38
1050000,1228.6,33.455,30.136,17.86,process_tree,3.3,process_tree,1067.86
1060000,1236.072,31.585,30.107,10.315000000000001,process_tree,3.37,process_tree,1090.12
1070000,1351.994,41.696,32.846,21.575,process_tree,2.8,process_tree,908.41
1080000,1358.911,75.983,34.909,5.01,process_tree,2.77,process_tree,898.11
1090000,1366.718,78.511,40.214,12.885,process_tree,2.79,process_tree,903.2
1100000,1373.357,84.269,29.056,18.634999999999998,process_tree,2.83,process_tree,916.56
1110000,1379.87,74.725,37.578,9.235,process_tree,2.84,process_tree,918.43
1120000,1386.587,97.691,5.015,19.305,process_tree,2.86,process_tree,924.85
1130000,1393.684,88.74,28.105,14.969999999999999,process_tree,2.88,process_tree,934.04
1140000,1400.99,84.45,31.217,17.78,process_tree,2.94,process_tree,951.81
1150000,1408.362,91.085,21.869,10.735,process_tree,2.97,process_tree,961.42
1160000,1414.752,90.463,16.923,9.3,process_tree,3.0,process_tree,972.13
1170000,1422.207,73.818,37.932,21.464999999999996,process_tree,3.01,process_tree,973.77
1180000,1430.305,65.264,42.561,16.47,process_tree,3.02,process_tree,978.68
1190000,1437.15,90.164,26.95,7.87,process_tree,3.04,process_tree,984.16
1200000,1444.144,80.958,28.867,22.794999999999998,process_tree,2.91,process_tree,944.17
1210000,1450.112,81.2,35.541,5.58,process_tree,2.94,process_tree,953.43
1220000,1457.049,90.555,17.176,24.11,process_tree,3.01,process_tree,974.95
1230000,1464.245,86.727,26.408,19.9,process_tree,3.07,process_tree,995.65
1240000,1471.173,73.867,38.654,10.02,process_tree,3.14,process_tree,1017.83
1250000,1477.715,82.457,28.368,21.589999999999996,process_tree,3.21,process_tree,1038.49
1260000,1484.256,84.39,31.345,14.209999999999999,process_tree,3.27,process_tree,1060.35
1270000,1491.211,99.41,1.77,21.464999999999996,process_tree,3.34,process_tree,1081.62
1280000,1498.21,73.244,36.968,5.845,process_tree,3.41,process_tree,1103.66
1290000,1614.285,84.01,33.095,17.875,process_tree,2.79,process_tree,903.1
1300000,1622.403,100.0,0.0,25.755000000000003,process_tree,2.8,process_tree,905.78
1310000,1628.72,94.336,17.91,15.719999999999999,process_tree,2.82,process_tree,913.12
1320000,1635.382,98.333,4.714,8.6,process_tree,2.84,process_tree,918.5
1330000,1643.048,100.0,0.0,8.6,process_tree,2.85,process_tree,924.41
1340000,1650.456,100.0,0.0,5.7299999999999995,process_tree,2.88,process_tree,933.82
1350000,1656.89,100.0,0.0,13.495,process_tree,2.91,process_tree,943.29
1360000,1663.538,100.0,0.0,15.005,process_tree,2.94,process_tree,951.57
