step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,85.4,system,
50000,1706.441,7.84,24.108,2.84,process_tree,2.35,process_tree,759.88
100000,3440.494,98.053,13.768,3.585,process_tree,1.6,process_tree,517.57
150000,5313.524,98.057,13.74,5.015,process_tree,1.75,process_tree,565.38
200000,7609.409,100.0,0.0,6.445,process_tree,1.88,process_tree,607.5
250000,9003.441,100.0,0.0,4.3,process_tree,2.17,process_tree,701.58
300000,9566.737,96.044,15.918,4.970000000000001,process_tree,2.47,process_tree,800.41
350000,10133.229,100.0,0.0,4.970000000000001,process_tree,2.76,process_tree,894.21
400000,10703.789,100.0,0.0,4.970000000000001,process_tree,3.07,process_tree,996.03
450000,11276.601,98.484,10.718,4.3,process_tree,3.37,process_tree,1093.11
500000,11842.763,97.139,13.521,5.88,process_tree,3.71,process_tree,1203.23
550000,12411.74,100.0,0.0,4.970000000000001,process_tree,4.03,process_tree,1304.93
600000,12993.155,97.127,11.659,5.015,process_tree,4.33,process_tree,1402.23
650000,13567.357,100.0,0.0,4.970000000000001,process_tree,4.64,process_tree,1501.76
700000,14144.607,97.735,10.389,4.26,process_tree,4.95,process_tree,1602.1
750000,14793.09,100.0,0.0,5.6850000000000005,process_tree,5.25,process_tree,1699.54
800000,15439.882,100.0,0.0,4.970000000000001,process_tree,5.32,process_tree,1724.79
850000,16108.067,97.033,11.066,5.015,process_tree,5.41,process_tree,1753.8
900000,16748.278,93.434,18.616,4.3,process_tree,5.46,process_tree,1769.43
950000,17386.675,91.465,20.926,6.65,process_tree,5.54,process_tree,1795.42
1000000,18039.868,100.0,0.0,4.970000000000001,process_tree,5.39,process_tree,1745.46
1050000,18692.606,92.639,24.067,5.015,process_tree,5.44,process_tree,1761.8
1100000,19341.782,96.017,13.2,5.015,process_tree,5.53,process_tree,1791.44
1150000,19984.273,100.0,0.0,5.88,process_tree,5.42,process_tree,1757.03
1200000,20600.537,98.602,8.537,6.4399999999999995,process_tree,5.43,process_tree,1757.34
1250000,21201.948,96.121,15.844,4.3,process_tree,5.48,process_tree,1774.45
1300000,21825.434,93.981,20.001,8.4,process_tree,5.41,process_tree,1753.77
1350000,22435.628,81.045,33.132,5.015,process_tree,5.44,process_tree,1761.48
1400000,23044.43,98.259,8.395,5.015,process_tree,5.49,process_tree,1779.64
1450000,23643.418,93.319,21.873,7.4799999999999995,process_tree,5.4,process_tree,1749.59
1500000,24249.484,96.119,13.954,5.01,process_tree,5.43,process_tree,1759.52
1550000,24857.523,92.824,18.623,5.015,process_tree,5.48,process_tree,1776.33
1600000,25474.575,100.0,0.0,5.015,process_tree,5.43,process_tree,1760.06
1650000,26081.879,100.0,0.0,4.970000000000001,process_tree,5.47,process_tree,1772.36
1700000,26681.61,94.881,17.944,4.26,process_tree,5.5,process_tree,1781.5
1750000,27298.926,99.724,1.955,5.015,process_tree,5.43,process_tree,1758.36
1800000,27897.589,96.418,12.17,4.970000000000001,process_tree,5.47,process_tree,1770.68
1850000,28516.979,93.135,19.948,5.015,process_tree,5.5,process_tree,1781.16
1900000,29122.911,100.0,0.0,4.970000000000001,process_tree,5.54,process_tree,1796.14
1950000,29731.684,100.0,0.0,5.015,process_tree,5.48,process_tree,1776.16
2000000,30339.053,93.743,22.126,4.3,process_tree,5.5,process_tree,1780.66
2050000,30948.462,84.48,29.517,5.68,process_tree,5.53,process_tree,1792.42
2100000,31563.222,87.639,27.694,4.3,process_tree,5.47,process_tree,1771.0
2150000,32170.403,100.0,0.0,4.3,process_tree,5.5,process_tree,1782.91
2200000,32783.955,100.0,0.0,4.970000000000001,process_tree,5.53,process_tree,1791.06
2250000,33395.209,100.0,0.0,4.970000000000001,process_tree,5.48,process_tree,1773.7
2300000,34002.27,100.0,0.0,5.015,process_tree,5.51,process_tree,1786.25
2350000,34610.213,100.0,0.0,4.970000000000001,process_tree,5.54,process_tree,1795.21
