step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,57.6,system,
50000,254.565,1.262,1.072,4.3,process_tree,2.36,process_tree,763.73
100000,500.304,30.874,41.62,5.735,process_tree,2.66,process_tree,860.98
150000,749.0,96.798,16.258,9.14,process_tree,2.96,process_tree,958.59
200000,996.86,95.269,14.763,9.355,process_tree,3.26,process_tree,1057.35
250000,1245.814,93.006,22.171,5.7299999999999995,process_tree,3.57,process_tree,1154.98
300000,1496.154,79.224,27.247,5.015,process_tree,3.87,process_tree,1253.36
350000,1749.365,36.581,33.537,6.39,process_tree,3.94,process_tree,1277.56
400000,2001.241,62.03,36.799,9.945,process_tree,3.93,process_tree,1274.23
450000,2250.755,54.915,38.127,6.45,process_tree,3.94,process_tree,1274.75
500000,2497.581,54.712,35.217,0.0,process_tree,4.01,process_tree,1297.57
550000,2751.73,42.217,34.236,5.015,process_tree,4.01,process_tree,1300.08
600000,3001.6,50.453,33.676,4.3,process_tree,3.97,process_tree,1286.41
650000,3256.136,65.658,34.676,7.885,process_tree,4.02,process_tree,1300.66
700000,3504.37,68.416,36.611,7.81,process_tree,4.02,process_tree,1302.24
750000,3754.299,65.044,36.866,7.815,process_tree,4.02,process_tree,1302.26
800000,4003.659,60.463,35.109,5.015,process_tree,4.02,process_tree,1301.96
850000,4253.884,53.528,35.674,8.6,process_tree,4.02,process_tree,1303.09
900000,4503.657,66.385,37.133,7.165000000000001,process_tree,4.03,process_tree,1304.07
950000,4754.11,47.021,38.114,7.885,process_tree,4.03,process_tree,1305.89
1000000,5008.472,52.054,35.565,5.015,process_tree,4.03,process_tree,1305.98
1050000,5264.286,69.233,30.708,7.834999999999999,process_tree,4.03,process_tree,1305.73
1100000,5517.291,65.966,36.546,5.68,process_tree,4.03,process_tree,1306.41
1150000,5767.754,61.067,35.866,5.735,process_tree,4.03,process_tree,1306.29
1200000,6017.131,73.904,33.726,4.970000000000001,process_tree,4.03,process_tree,1306.88
1250000,6269.507,47.33,34.011,7.165000000000001,process_tree,4.04,process_tree,1307.11
1300000,6520.443,56.549,31.991,8.6,process_tree,4.03,process_tree,1306.81
1350000,6775.203,91.213,19.978,5.68,process_tree,4.04,process_tree,1307.54
1400000,7027.152,73.32,32.35,7.885,process_tree,4.04,process_tree,1308.27
1450000,7277.423,71.308,36.363,9.235,process_tree,4.04,process_tree,1307.7
1500000,7528.247,47.94,35.633,8.525,process_tree,4.04,process_tree,1308.35
1550000,7778.433,57.293,34.593,6.45,process_tree,4.04,process_tree,1308.57
1600000,8033.975,48.792,32.013,5.015,process_tree,4.04,process_tree,1308.78
1650000,8286.487,68.165,35.099,5.735,process_tree,4.04,process_tree,1309.6
1700000,8536.118,53.884,30.387,5.015,process_tree,4.05,process_tree,1310.5
1750000,8787.268,58.683,31.797,4.3,process_tree,4.04,process_tree,1309.61
1800000,9038.661,50.854,35.72,6.39,process_tree,4.04,process_tree,1308.88
