step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,84.8,system,
50000,107.897,1.027,0.615,5.6850000000000005,process_tree,2.29,process_tree,741.13
100000,210.122,2.301,2.339,4.970000000000001,process_tree,2.6,process_tree,843.63
150000,301.699,37.785,41.584,19.464999999999996,process_tree,2.92,process_tree,944.8
200000,387.165,98.081,13.706,5.015,process_tree,2.95,process_tree,954.75
250000,475.945,100.0,0.0,5.68,process_tree,2.93,process_tree,948.37
300000,563.319,64.764,41.303,4.375,process_tree,2.93,process_tree,949.37
350000,648.932,93.917,21.532,6.65,process_tree,2.94,process_tree,953.7
400000,735.37,96.422,7.55,6.39,process_tree,2.96,process_tree,957.52
450000,831.662,62.825,43.419,4.3,process_tree,2.96,process_tree,957.62
500000,918.818,81.376,35.85,4.26,process_tree,2.97,process_tree,962.36
550000,1008.869,97.038,9.183,4.970000000000001,process_tree,2.99,process_tree,970.0
600000,1096.353,100.0,0.0,7.4799999999999995,process_tree,2.99,process_tree,969.9
650000,1185.355,82.706,34.027,6.39,process_tree,3.0,process_tree,970.69
700000,1275.623,37.273,44.666,6.39,process_tree,2.99,process_tree,969.86
750000,1369.957,94.073,16.671,4.970000000000001,process_tree,3.0,process_tree,971.07
800000,1459.04,83.317,34.083,5.01,process_tree,3.0,process_tree,971.55
850000,1547.379,65.253,41.327,5.015,process_tree,3.0,process_tree,970.9
900000,1632.567,68.525,36.882,7.1,process_tree,3.0,process_tree,971.16
950000,1724.602,90.111,28.778,5.735,process_tree,3.0,process_tree,971.64
1000000,1812.382,57.939,36.362,4.970000000000001,process_tree,3.0,process_tree,970.93
1050000,1903.926,71.329,36.381,4.3,process_tree,3.0,process_tree,971.18
1100000,1996.66,63.764,37.199,4.375,process_tree,3.0,process_tree,971.06
1150000,2083.755,85.065,28.002,5.015,process_tree,3.0,process_tree,971.97
1200000,2173.81,95.076,20.079,6.45,process_tree,3.0,process_tree,972.03
1250000,2259.181,97.328,13.22,2.8649999999999998,process_tree,3.0,process_tree,971.97
1300000,2350.027,100.0,0.0,5.725,process_tree,3.0,process_tree,972.67
1350000,2437.674,90.142,20.659,5.735,process_tree,3.0,process_tree,972.62
1400000,2528.744,29.904,36.618,4.970000000000001,process_tree,3.0,process_tree,972.57
1450000,2619.843,63.015,40.184,5.015,process_tree,3.0,process_tree,972.59
1500000,2706.488,94.694,15.099,5.01,process_tree,3.0,process_tree,972.07
1550000,2794.997,65.934,41.678,4.26,process_tree,3.0,process_tree,972.8
1600000,2881.774,92.81,14.775,4.970000000000001,process_tree,3.0,process_tree,972.09
1650000,2973.735,80.515,31.717,5.015,process_tree,3.0,process_tree,972.1
1700000,3065.362,100.0,0.0,5.015,process_tree,3.0,process_tree,972.16
1750000,3153.207,94.49,22.048,4.970000000000001,process_tree,3.0,process_tree,972.17
1800000,3239.472,93.765,21.673,2.8649999999999998,process_tree,3.0,process_tree,972.29
1850000,3330.134,81.724,34.609,5.015,process_tree,3.0,process_tree,972.76
1900000,3421.133,100.0,0.0,6.45,process_tree,3.0,process_tree,972.19
1950000,3509.362,93.24,23.245,5.015,process_tree,3.0,process_tree,972.79
2000000,3605.591,97.404,13.869,6.45,process_tree,3.0,process_tree,973.01
2050000,3695.593,74.172,32.655,5.015,process_tree,3.0,process_tree,972.43
2100000,3787.276,97.669,12.621,11.365,process_tree,3.0,process_tree,972.86
2150000,3875.694,70.913,42.476,5.68,process_tree,3.0,process_tree,972.34
2200000,3964.197,75.173,39.997,6.45,process_tree,3.0,process_tree,972.41
2250000,4055.673,85.349,32.821,5.015,process_tree,3.0,process_tree,972.88
2300000,4157.03,39.992,41.116,6.39,process_tree,3.0,process_tree,973.13
2350000,4253.331,93.519,17.479,5.015,process_tree,3.0,process_tree,972.29
2400000,4344.501,22.832,22.528,5.015,process_tree,3.0,process_tree,972.31
