step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,81.1,system,
50000,148.764,0.92,0.57,5.7299999999999995,process_tree,2.28,process_tree,739.04
100000,289.282,0.994,0.63,5.015,process_tree,2.59,process_tree,837.76
150000,430.741,1.124,0.692,7.815,process_tree,2.89,process_tree,937.73
200000,572.886,1.404,0.881,8.6,process_tree,3.2,process_tree,1037.39
250000,715.312,1.97,1.335,5.7299999999999995,process_tree,3.51,process_tree,1136.95
300000,855.239,3.397,2.949,4.970000000000001,process_tree,3.82,process_tree,1236.63
350000,992.776,10.391,14.484,3.585,process_tree,4.14,process_tree,1341.07
400000,1129.132,90.229,26.286,7.165000000000001,process_tree,4.44,process_tree,1437.25
450000,1265.242,100.0,0.0,4.970000000000001,process_tree,4.74,process_tree,1534.6
500000,1400.336,96.202,18.991,6.39,process_tree,5.07,process_tree,1643.33
550000,1536.516,100.0,0.0,4.3,process_tree,5.37,process_tree,1739.76
600000,1673.417,100.0,0.0,6.404999999999999,process_tree,5.67,process_tree,1837.83
650000,1811.249,100.0,0.0,5.735,process_tree,5.98,process_tree,1936.5
700000,1949.145,100.0,0.0,5.015,process_tree,6.28,process_tree,2032.78
750000,2085.191,100.0,0.0,5.015,process_tree,6.58,process_tree,2130.39
