step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,83.2,system,
50000,221.075,0.954,0.571,5.695,process_tree,2.28,process_tree,738.3
100000,432.496,1.128,0.668,4.175,process_tree,2.59,process_tree,839.85
150000,681.877,1.803,1.302,6.445,process_tree,2.88,process_tree,934.43
200000,920.451,5.539,7.244,4.3,process_tree,2.91,process_tree,942.23
250000,1111.884,80.621,32.554,5.595000000000001,process_tree,2.9,process_tree,940.58
300000,1273.876,90.927,28.691,3.585,process_tree,2.92,process_tree,946.43
350000,1519.695,67.242,46.806,5.015,process_tree,2.94,process_tree,951.67
400000,1739.362,65.97,47.192,3.585,process_tree,2.85,process_tree,924.11
450000,1962.382,63.897,47.761,4.3,process_tree,2.85,process_tree,923.57
500000,2189.773,71.753,44.67,5.015,process_tree,2.19,process_tree,709.2
550000,2430.404,63.851,47.823,5.015,process_tree,2.14,process_tree,693.5
600000,2652.335,82.071,38.227,4.26,process_tree,2.14,process_tree,691.89
650000,2893.337,66.977,46.704,4.26,process_tree,2.14,process_tree,693.12
700000,3130.145,68.285,46.293,8.309999999999999,process_tree,2.11,process_tree,684.52
750000,3359.345,82.071,38.226,4.3,process_tree,2.1,process_tree,679.92
800000,3536.838,84.819,34.008,5.0,process_tree,2.08,process_tree,672.54
850000,3705.385,79.533,40.14,2.8649999999999998,process_tree,2.08,process_tree,672.82
900000,3957.271,80.797,39.201,3.55,process_tree,2.05,process_tree,663.19
950000,4126.25,79.132,40.515,5.015,process_tree,2.05,process_tree,662.8
1000000,4361.635,74.751,43.303,3.585,process_tree,2.04,process_tree,659.45
1050000,4584.702,75.858,42.679,5.82,process_tree,2.02,process_tree,654.26
1100000,4789.009,73.279,44.088,5.015,process_tree,2.02,process_tree,654.02
1150000,5036.955,73.669,43.886,1.42,process_tree,2.02,process_tree,654.18
1200000,5293.093,80.71,39.376,4.3,process_tree,2.02,process_tree,654.01
1250000,5511.323,80.753,39.288,5.015,process_tree,2.02,process_tree,653.5
1300000,5732.479,80.954,38.609,5.015,process_tree,2.01,process_tree,652.37
1350000,5986.4,82.393,37.595,2.84,process_tree,2.01,process_tree,652.35
1400000,6232.275,73.654,43.91,5.82,process_tree,2.01,process_tree,652.38
1450000,6446.725,84.793,35.843,4.970000000000001,process_tree,1.99,process_tree,645.96
1500000,6682.833,89.131,31.061,1.435,process_tree,2.0,process_tree,646.29
1550000,6933.798,79.468,40.266,2.8649999999999998,process_tree,2.0,process_tree,646.43
1600000,7142.424,90.938,28.656,4.3,process_tree,1.99,process_tree,645.72
1650000,7357.602,74.727,43.343,4.985,process_tree,1.99,process_tree,646.11
1700000,7607.834,89.313,30.852,4.26,process_tree,1.99,process_tree,646.02
1750000,7836.994,82.085,38.195,4.154999999999999,process_tree,1.99,process_tree,646.23
1800000,8037.259,75.438,42.476,5.015,process_tree,2.0,process_tree,646.39
1850000,8290.73,83.402,37.115,2.15,process_tree,2.0,process_tree,646.48
1900000,8531.929,81.797,38.421,5.015,process_tree,2.0,process_tree,646.52
1950000,8729.176,79.487,40.23,5.015,process_tree,2.0,process_tree,646.62
2000000,8966.651,76.997,41.998,5.015,process_tree,2.0,process_tree,647.57
2050000,9217.402,87.777,32.667,4.26,process_tree,2.0,process_tree,646.95
2100000,9432.078,89.348,30.75,4.985,process_tree,2.0,process_tree,646.96
2150000,9657.992,74.348,43.55,4.970000000000001,process_tree,2.0,process_tree,647.6
2200000,9901.975,79.464,40.276,3.55,process_tree,2.0,process_tree,646.94
2250000,10148.553,96.179,19.106,4.3,process_tree,2.0,process_tree,648.18
2300000,10395.123,71.653,44.824,3.585,process_tree,2.0,process_tree,648.21
