step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,39.5,system,
3000000,66.365,0.467,0.262,2.27,process_tree,2.03,process_tree,657.83
3050000,273.814,1.865,8.325,10.02,process_tree,2.3,process_tree,745.9
3100000,431.586,1.053,0.656,7.88,process_tree,2.61,process_tree,846.93
3150000,493.863,1.063,0.645,6.404999999999999,process_tree,2.92,process_tree,944.91
3200000,555.227,1.217,0.777,7.845000000000001,process_tree,3.22,process_tree,1043.15
3250000,616.223,1.534,0.994,8.565000000000001,process_tree,3.52,process_tree,1141.54
3300000,678.95,2.694,2.292,7.165000000000001,process_tree,3.83,process_tree,1241.2
3350000,740.168,8.148,9.215,5.015,process_tree,4.15,process_tree,1345.04
3400000,800.341,54.302,40.373,5.015,process_tree,4.21,process_tree,1363.78
3450000,861.932,97.963,13.837,4.3,process_tree,4.17,process_tree,1350.07
3500000,920.36,100.0,0.0,4.970000000000001,process_tree,4.21,process_tree,1364.64
3550000,978.616,100.0,0.0,3.55,process_tree,4.17,process_tree,1350.53
3600000,1037.913,98.041,13.851,6.45,process_tree,4.16,process_tree,1346.12
3650000,1097.699,100.0,0.0,4.3,process_tree,4.2,process_tree,1361.09
3700000,1162.072,98.045,13.823,5.6850000000000005,process_tree,4.2,process_tree,1359.23
3750000,1222.838,100.0,0.0,5.015,process_tree,4.18,process_tree,1355.2
3800000,1282.063,100.0,0.0,3.55,process_tree,4.23,process_tree,1370.62
3850000,1341.622,100.0,0.0,6.45,process_tree,4.21,process_tree,1362.74
3900000,1404.708,85.405,31.76,5.015,process_tree,4.19,process_tree,1357.05
3950000,1464.225,87.468,31.606,5.015,process_tree,4.19,process_tree,1357.2
4000000,1521.939,100.0,0.0,3.55,process_tree,4.22,process_tree,1367.91
4050000,1580.879,98.065,13.685,6.45,process_tree,4.2,process_tree,1360.89
4100000,1640.134,82.873,34.21,5.015,process_tree,4.25,process_tree,1376.03
4150000,1698.738,96.187,19.067,4.970000000000001,process_tree,4.25,process_tree,1377.18
4200000,1757.277,94.368,22.993,4.26,process_tree,4.21,process_tree,1362.91
4250000,1816.57,48.764,48.547,4.970000000000001,process_tree,4.24,process_tree,1374.64
4300000,1876.103,44.332,44.533,4.970000000000001,process_tree,4.25,process_tree,1376.16
4350000,1936.644,83.62,36.629,4.970000000000001,process_tree,4.25,process_tree,1376.71
4400000,1996.568,65.82,46.926,4.970000000000001,process_tree,4.25,process_tree,1376.84
4450000,2057.251,89.413,30.565,5.015,process_tree,4.25,process_tree,1377.22
4500000,2124.95,100.0,0.0,4.26,process_tree,4.25,process_tree,1377.73
4550000,2188.325,100.0,0.0,5.735,process_tree,4.26,process_tree,1378.52
4600000,2249.623,100.0,0.0,5.015,process_tree,4.26,process_tree,1379.03
4650000,2311.238,100.0,0.0,5.82,process_tree,4.25,process_tree,1378.26
4700000,2376.968,100.0,0.0,5.015,process_tree,4.26,process_tree,1378.48
4750000,2439.828,100.0,0.0,6.45,process_tree,4.26,process_tree,1379.88
4800000,2505.417,91.674,25.041,5.7299999999999995,process_tree,4.25,process_tree,1378.17
4850000,2577.314,98.045,13.823,4.970000000000001,process_tree,4.26,process_tree,1378.57
4900000,3819.872,2.585,11.403,6.404999999999999,process_tree,2.16,process_tree,700.0
4950000,3865.451,1.06,0.708,8.6,process_tree,2.05,process_tree,662.99
