step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,91.8,system,
50000,138.359,0.989,0.603,4.26,process_tree,2.33,process_tree,753.66
100000,259.802,1.802,1.52,13.615,process_tree,2.64,process_tree,854.04
150000,366.349,20.537,31.849,7.165000000000001,process_tree,2.98,process_tree,965.94
200000,465.642,98.043,13.837,7.885,process_tree,3.28,process_tree,1063.35
250000,560.538,100.0,0.0,6.39,process_tree,3.58,process_tree,1159.3
300000,657.822,100.0,0.0,5.015,process_tree,3.87,process_tree,1255.11
350000,758.014,100.0,0.0,5.085,process_tree,3.94,process_tree,1276.51
400000,852.126,94.687,17.662,7.165000000000001,process_tree,3.92,process_tree,1269.94
2550000,978.6999999999999,2.974,9.792,4.3,process_tree,2.37,process_tree,766.72
2600000,1085.442,24.707,31.107,7.165000000000001,process_tree,2.7,process_tree,874.71
2650000,1183.877,97.878,8.618,5.015,process_tree,3.0,process_tree,970.4
2700000,1285.228,100.0,0.0,5.735,process_tree,3.3,process_tree,1069.58
2750000,1386.255,100.0,0.0,5.015,process_tree,3.62,process_tree,1171.92
2800000,1484.1419999999998,96.146,16.082,6.45,process_tree,3.92,process_tree,1269.11
2850000,1581.693,96.421,12.81,3.585,process_tree,3.96,process_tree,1282.17
2900000,1682.566,77.789,34.393,4.3,process_tree,3.95,process_tree,1279.07
2950000,1778.806,100.0,0.0,7.885,process_tree,3.96,process_tree,1281.7
3000000,1875.775,96.626,16.057,5.725,process_tree,4.0,process_tree,1294.79
3050000,1976.187,99.551,3.175,5.015,process_tree,3.98,process_tree,1288.94
3100000,2076.05,100.0,0.0,6.65,process_tree,3.99,process_tree,1290.94
3150000,2173.242,96.786,16.049,8.525,process_tree,4.0,process_tree,1295.54
3200000,2271.004,97.571,12.689,7.1,process_tree,4.01,process_tree,1298.43
3250000,2369.179,100.0,0.0,5.015,process_tree,4.01,process_tree,1299.68
3300000,2465.011,100.0,0.0,7.1,process_tree,3.98,process_tree,1290.71
3350000,2565.639,100.0,0.0,7.165000000000001,process_tree,4.0,process_tree,1296.3
3400000,2669.803,100.0,0.0,6.45,process_tree,4.01,process_tree,1298.52
3450000,2768.051,100.0,0.0,5.735,process_tree,4.01,process_tree,1300.48
