step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,92.8,system,
50000,447.887,2.047,7.384,5.6850000000000005,process_tree,2.37,process_tree,766.67
100000,910.64,100.0,0.0,5.735,process_tree,2.68,process_tree,867.66
150000,1385.181,100.0,0.0,7.885,process_tree,2.97,process_tree,961.86
200000,1850.735,96.219,18.904,5.015,process_tree,3.28,process_tree,1061.76
250000,2315.275,95.581,18.789,5.015,process_tree,3.57,process_tree,1156.72
300000,2785.208,87.195,29.433,5.68,process_tree,3.88,process_tree,1255.96
350000,3246.055,93.147,19.741,8.525,process_tree,4.17,process_tree,1351.98
400000,3711.537,75.65,35.165,7.165000000000001,process_tree,4.48,process_tree,1451.51
450000,4174.617,73.581,35.901,5.015,process_tree,4.79,process_tree,1550.89
500000,4644.755,92.913,20.991,0.71,process_tree,4.96,process_tree,1605.91
550000,5112.203,83.328,26.477,4.26,process_tree,4.99,process_tree,1617.89
600000,5581.092,87.563,26.896,4.26,process_tree,4.99,process_tree,1614.8
650000,6049.369,66.441,34.309,7.165000000000001,process_tree,5.02,process_tree,1625.96
700000,6518.177,67.636,38.536,6.39,process_tree,4.97,process_tree,1609.9
750000,6989.205,53.735,36.871,7.815,process_tree,5.01,process_tree,1622.22
800000,7458.768,84.095,29.247,6.45,process_tree,4.97,process_tree,1611.14
850000,7927.219,80.142,30.721,5.735,process_tree,5.01,process_tree,1621.48
900000,8396.041,74.865,29.713,5.68,process_tree,4.97,process_tree,1610.64
950000,8871.288,70.441,38.307,7.165000000000001,process_tree,5.02,process_tree,1624.64
1000000,9345.08,72.106,35.739,7.1,process_tree,4.99,process_tree,1617.12
1050000,9814.156,93.753,19.783,5.735,process_tree,5.03,process_tree,1629.38
1100000,10288.12,94.677,20.101,7.81,process_tree,5.0,process_tree,1621.09
1150000,10760.024,98.129,6.587,5.015,process_tree,5.04,process_tree,1631.07
1200000,11227.863,95.9,17.231,9.32,process_tree,5.0,process_tree,1618.82
1250000,11705.672,94.491,18.645,7.885,process_tree,5.04,process_tree,1631.46
1300000,12173.82,98.154,9.917,6.445,process_tree,5.0,process_tree,1620.78
1350000,12641.2,90.736,23.187,5.82,process_tree,5.04,process_tree,1632.71
1400000,13126.927,84.017,28.624,7.885,process_tree,5.02,process_tree,1624.93
1450000,13601.281,74.351,32.467,7.885,process_tree,5.05,process_tree,1636.38
1500000,14067.985,91.452,24.391,5.015,process_tree,5.02,process_tree,1626.54
1550000,14544.336,78.609,31.177,4.26,process_tree,5.05,process_tree,1635.73
1600000,15016.651,58.182,37.865,5.735,process_tree,5.02,process_tree,1625.01
1650000,15603.183,42.848,31.695,5.735,process_tree,5.05,process_tree,1636.69
1700000,16160.342,73.691,36.728,5.015,process_tree,5.02,process_tree,1624.73
1750000,16720.48,78.868,33.564,7.165000000000001,process_tree,5.05,process_tree,1636.52
1800000,17298.555,81.762,33.215,5.735,process_tree,5.02,process_tree,1625.56
1850000,17821.087,87.516,27.18,4.970000000000001,process_tree,5.06,process_tree,1638.31
1900000,18353.948,89.279,26.131,6.39,process_tree,5.02,process_tree,1625.33
1950000,18975.604,100.0,0.0,5.735,process_tree,5.06,process_tree,1638.47
2000000,19541.928,84.954,30.037,7.815,process_tree,5.03,process_tree,1628.82
2050000,20097.291,94.298,23.044,4.3,process_tree,4.94,process_tree,1600.67
2100000,20667.512,90.193,24.294,7.885,process_tree,4.92,process_tree,1593.61
2150000,21233.751,85.037,29.246,6.39,process_tree,4.92,process_tree,1595.32
2200000,21792.167,83.386,29.934,6.39,process_tree,4.93,process_tree,1596.87
2250000,22364.828,78.322,32.937,7.1,process_tree,4.92,process_tree,1592.76
2300000,22927.633,89.671,22.785,5.015,process_tree,4.69,process_tree,1520.54
2350000,23424.52,83.172,30.473,8.6,process_tree,4.32,process_tree,1400.09
2400000,23912.695,94.223,18.788,8.6,process_tree,4.01,process_tree,1298.46
