step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,62.4,system,
10000,12.619,1.142,0.65,5.015,process_tree,2.02,process_tree,652.89
20000,22.125,1.247,0.764,5.015,process_tree,2.03,process_tree,657.86
30000,31.731,1.416,0.913,6.404999999999999,process_tree,2.03,process_tree,658.53
40000,41.284,1.719,1.095,6.404999999999999,process_tree,2.03,process_tree,658.35
50000,50.66,1.987,1.283,12.855,process_tree,2.03,process_tree,658.74
60000,59.996,2.477,1.76,29.585,process_tree,2.03,process_tree,658.27
70000,69.136,3.066,2.185,19.919999999999998,process_tree,2.03,process_tree,659.16
80000,78.252,3.794,2.915,27.22,process_tree,2.03,process_tree,659.1
90000,87.446,4.502,3.783,30.775,process_tree,2.03,process_tree,658.99
100000,97.064,6.113,4.948,7.88,process_tree,1.64,process_tree,531.84
