step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,66.0,system,
10000,20.061,1.695,1.178,63.912499999999994,process_tree,3.73,process_tree,600.68
20000,33.826,3.348,2.548,50.175,process_tree,3.77,process_tree,605.86
30000,55.759,3.808,3.248,50.175,process_tree,3.78,process_tree,608.69
40000,70.679,8.191,8.905,62.2125,process_tree,3.78,process_tree,608.3
50000,83.741,9.293,9.789,50.175,process_tree,3.78,process_tree,608.99
60000,99.711,14.975,14.738,45.5375,process_tree,3.79,process_tree,609.21
70000,115.414,10.248,10.034,50.175,process_tree,3.79,process_tree,609.44
80000,129.328,9.871,7.76,50.175,process_tree,3.79,process_tree,609.5
90000,144.458,11.944,8.091,50.175,process_tree,3.79,process_tree,609.21
100000,161.513,18.753,18.672,46.5875,process_tree,3.79,process_tree,609.58
110000,184.351,31.411,32.871,39.375,process_tree,3.79,process_tree,609.14
120000,199.311,15.609,22.552,50.175,process_tree,3.79,process_tree,609.98
130000,217.54,12.447,15.836,43.75,process_tree,3.8,process_tree,610.73
140000,233.196,52.477,41.36,50.175,process_tree,3.79,process_tree,610.1
150000,247.313,14.613,16.075,53.262499999999996,process_tree,3.79,process_tree,610.36
160000,261.318,11.343,12.962,50.175,process_tree,3.79,process_tree,610.61
170000,275.823,13.064,11.797,50.175,process_tree,3.8,process_tree,610.88
180000,290.561,22.317,30.847,51.9625,process_tree,3.8,process_tree,610.98
190000,304.418,27.474,38.11,50.175,process_tree,3.8,process_tree,610.74
200000,318.526,19.551,26.884,47.9375,process_tree,3.8,process_tree,610.71
210000,333.151,14.932,14.714,46.1625,process_tree,3.8,process_tree,611.56
220000,347.174,48.677,39.506,47.9375,process_tree,3.8,process_tree,611.09
230000,361.388,46.888,41.208,51.7375,process_tree,3.8,process_tree,611.14
240000,375.334,27.103,24.331,50.175,process_tree,3.8,process_tree,611.41
250000,390.223,26.616,26.253,46.1625,process_tree,3.8,process_tree,610.8
260000,404.535,48.848,38.378,49.7125,process_tree,3.79,process_tree,610.6
270000,419.614,20.483,23.991,50.175,process_tree,3.8,process_tree,610.74
280000,435.115,22.122,15.383,56.825,process_tree,3.8,process_tree,611.14
290000,450.425,20.515,23.442,50.175,process_tree,3.8,process_tree,611.35
300000,466.011,9.97,11.247,50.175,process_tree,3.8,process_tree,611.05
310000,481.286,11.134,10.157,50.175,process_tree,3.8,process_tree,610.85
320000,499.307,13.174,14.766,49.7125,process_tree,3.8,process_tree,611.21
330000,517.031,22.797,20.011,46.1625,process_tree,3.8,process_tree,611.5
340000,532.265,18.391,25.199,58.6875,process_tree,3.79,process_tree,609.49
350000,547.671,57.424,45.561,49.7125,process_tree,3.8,process_tree,611.12
360000,563.384,47.659,39.117,50.175,process_tree,3.8,process_tree,611.11
370000,579.869,34.01,38.851,50.175,process_tree,3.79,process_tree,610.57
380000,595.433,41.687,38.837,49.7125,process_tree,3.8,process_tree,611.77
390000,611.876,55.016,40.638,50.175,process_tree,3.8,process_tree,611.55
400000,627.154,45.94,40.793,50.125,process_tree,3.8,process_tree,611.45
410000,643.111,41.865,40.201,50.175,process_tree,3.8,process_tree,611.65
420000,658.213,34.039,37.126,50.175,process_tree,3.8,process_tree,611.09
430000,673.892,16.168,18.469,46.1625,process_tree,3.8,process_tree,611.23
440000,689.639,19.939,16.125,43.75,process_tree,3.8,process_tree,611.36
450000,704.371,25.285,20.419,48.375,process_tree,3.8,process_tree,611.76
460000,721.407,31.766,26.453,46.1625,process_tree,3.79,process_tree,610.58
470000,742.616,20.969,20.858,50.175,process_tree,3.8,process_tree,610.89
480000,765.745,44.217,31.562,50.175,process_tree,3.8,process_tree,611.71
490000,787.631,30.065,28.764,50.175,process_tree,3.79,process_tree,609.88
500000,806.461,73.425,33.865,48.375,process_tree,3.86,process_tree,621.58
510000,825.021,46.086,27.811,49.7125,process_tree,3.86,process_tree,620.67
520000,846.043,61.233,31.264,48.375,process_tree,3.87,process_tree,621.92
530000,864.476,41.597,35.214,53.3,process_tree,3.86,process_tree,621.68
540000,878.121,44.127,31.788,44.762499999999996,process_tree,3.86,process_tree,621.6
550000,891.89,50.82,39.914,58.175,process_tree,3.86,process_tree,621.48
560000,905.94,26.403,28.156,49.7125,process_tree,3.86,process_tree,621.84
570000,919.874,63.912,27.234,50.175,process_tree,3.86,process_tree,621.89
580000,934.313,36.983,24.36,49.7125,process_tree,3.87,process_tree,622.07
590000,947.7,64.69,32.99,50.175,process_tree,3.86,process_tree,621.89
600000,962.249,34.974,36.54,50.175,process_tree,3.87,process_tree,621.94
610000,978.758,21.756,20.901,55.55,process_tree,3.86,process_tree,621.43
620000,997.503,59.772,32.543,50.175,process_tree,3.86,process_tree,621.66
630000,1015.423,51.257,32.943,46.1625,process_tree,3.77,process_tree,607.4
640000,1034.253,27.65,22.901,48.375,process_tree,3.78,process_tree,607.62
650000,1049.359,57.191,35.783,48.375,process_tree,3.78,process_tree,608.43
660000,1063.806,56.081,41.848,49.7125,process_tree,3.78,process_tree,608.04
670000,1078.883,66.833,39.51,43.75,process_tree,3.78,process_tree,608.24
680000,1093.073,53.021,40.272,50.175,process_tree,3.78,process_tree,608.49
690000,1108.286,45.573,34.294,50.175,process_tree,3.78,process_tree,608.37
