step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,85.3,system,
10000,21.156,1.242,0.774,49.7125,process_tree,3.72,process_tree,598.2
20000,35.379,1.825,1.07,50.175,process_tree,3.73,process_tree,600.23
30000,48.748,2.641,1.897,42.9875,process_tree,3.74,process_tree,601.39
40000,62.002,4.264,3.059,54.275,process_tree,3.74,process_tree,601.2
50000,74.686,6.023,5.61,49.8,process_tree,3.74,process_tree,601.67
60000,87.484,12.682,13.794,65.7375,process_tree,3.74,process_tree,602.48
70000,100.714,13.246,10.184,66.65,process_tree,3.75,process_tree,602.88
80000,111.713,27.314,26.66,48.375,process_tree,3.75,process_tree,603.78
90000,124.244,37.7,31.83,50.125,process_tree,3.75,process_tree,603.08
100000,136.774,49.845,36.151,64.4875,process_tree,3.75,process_tree,603.46
110000,149.616,27.912,21.067,68.0125,process_tree,3.76,process_tree,604.5
120000,162.55,77.589,23.47,60.787499999999994,process_tree,3.75,process_tree,603.91
130000,173.856,77.329,37.839,46.55,process_tree,3.75,process_tree,603.33
140000,186.552,46.496,36.501,44.8,process_tree,3.75,process_tree,603.82
150000,199.011,66.329,34.197,55.512499999999996,process_tree,3.75,process_tree,603.24
160000,211.248,49.127,40.828,62.5375,process_tree,3.75,process_tree,603.83
170000,222.821,78.344,33.112,50.175,process_tree,3.75,process_tree,603.98
180000,235.268,42.61,43.962,46.2625,process_tree,3.75,process_tree,603.36
190000,247.984,61.226,44.597,60.925,process_tree,3.75,process_tree,604.12
200000,261.066,23.958,22.352,56.875,process_tree,3.76,process_tree,604.58
210000,272.342,64.164,29.884,49.7125,process_tree,3.75,process_tree,603.36
220000,284.952,84.411,32.14,71.5625,process_tree,3.75,process_tree,603.94
230000,297.346,100.0,0.0,51.4875,process_tree,3.76,process_tree,604.45
240000,309.213,94.364,17.824,42.6125,process_tree,3.75,process_tree,604.05
250000,321.172,78.608,35.82,60.824999999999996,process_tree,3.75,process_tree,603.82
260000,333.486,97.664,5.248,60.887499999999996,process_tree,3.76,process_tree,604.73
270000,345.952,79.977,29.462,74.825,process_tree,3.76,process_tree,604.4
280000,357.154,100.0,0.0,46.1625,process_tree,3.76,process_tree,605.0
290000,369.888,70.439,39.068,69.7625,process_tree,3.76,process_tree,604.23
300000,381.776,21.548,22.272,55.0875,process_tree,3.76,process_tree,605.11
310000,393.237,100.0,0.0,50.175,process_tree,3.76,process_tree,604.73
320000,406.382,85.45,32.535,43.0,process_tree,3.75,process_tree,603.82
330000,419.022,81.183,28.535,64.05,process_tree,3.75,process_tree,603.59
340000,430.585,83.225,33.814,50.175,process_tree,3.75,process_tree,604.17
350000,443.025,100.0,0.0,39.0625,process_tree,3.76,process_tree,604.78
360000,455.265,90.175,23.997,55.5375,process_tree,3.76,process_tree,604.73
370000,467.503,94.17,17.49,51.9625,process_tree,3.75,process_tree,603.77
380000,479.267,100.0,0.0,49.7125,process_tree,3.76,process_tree,604.32
390000,492.275,100.0,0.0,47.95,process_tree,3.67,process_tree,591.06
400000,504.474,91.817,27.141,49.762499999999996,process_tree,3.68,process_tree,591.64
410000,516.495,100.0,0.0,62.675,process_tree,3.67,process_tree,590.85
420000,527.827,100.0,0.0,39.425,process_tree,3.67,process_tree,590.89
430000,540.32,84.7,34.356,67.6375,process_tree,3.68,process_tree,591.35
440000,553.05,93.475,17.264,54.824999999999996,process_tree,3.67,process_tree,590.23
450000,564.248,100.0,0.0,43.0,process_tree,3.67,process_tree,590.44
460000,575.999,98.3,5.638,50.175,process_tree,3.67,process_tree,591.2
470000,588.298,100.0,0.0,73.3625,process_tree,3.67,process_tree,590.91
480000,599.829,76.738,29.985,53.75,process_tree,3.67,process_tree,590.95
490000,612.477,76.991,23.429,51.525,process_tree,3.67,process_tree,590.46
500000,625.061,100.0,0.0,49.775,process_tree,3.73,process_tree,600.09
510000,639.656,85.958,31.403,42.9625,process_tree,3.74,process_tree,601.98
520000,652.267,83.542,30.396,37.324999999999996,process_tree,3.74,process_tree,602.07
530000,666.907,77.767,30.144,53.724999999999994,process_tree,3.74,process_tree,602.3
540000,681.078,88.027,25.433,60.925,process_tree,3.75,process_tree,602.89
550000,693.916,81.936,30.606,44.8,process_tree,3.75,process_tree,603.45
560000,706.054,78.725,23.998,64.2375,process_tree,3.74,process_tree,602.57
570000,717.839,100.0,0.0,57.25,process_tree,3.75,process_tree,603.5
580000,729.425,100.0,0.0,51.925,process_tree,3.75,process_tree,603.27
590000,739.452,79.114,39.994,47.9375,process_tree,3.75,process_tree,603.86
600000,752.835,100.0,0.0,73.375,process_tree,3.75,process_tree,603.73
610000,766.764,100.0,0.0,64.05,process_tree,3.75,process_tree,603.57
620000,779.945,100.0,0.0,49.7125,process_tree,3.75,process_tree,603.18
630000,793.63,100.0,0.0,44.8,process_tree,3.75,process_tree,603.6
640000,806.837,75.3,39.967,64.4625,process_tree,3.75,process_tree,603.88
650000,819.794,99.173,2.616,58.3125,process_tree,3.75,process_tree,603.64
660000,831.717,63.756,45.01,48.375,process_tree,3.75,process_tree,603.26
670000,847.073,47.5,47.006,50.1125,process_tree,3.75,process_tree,602.97
680000,860.82,91.842,27.058,55.0875,process_tree,3.75,process_tree,603.27
690000,872.539,84.792,35.665,50.175,process_tree,3.75,process_tree,603.62
700000,886.535,92.462,26.114,48.349999999999994,process_tree,3.75,process_tree,602.99
710000,899.591,77.323,41.403,64.45,process_tree,3.75,process_tree,603.73
720000,911.529,100.0,0.0,50.175,process_tree,3.75,process_tree,603.32
730000,923.829,83.633,36.597,60.887499999999996,process_tree,3.75,process_tree,603.09
740000,935.798,100.0,0.0,57.212500000000006,process_tree,3.75,process_tree,603.05
750000,947.387,100.0,0.0,50.175,process_tree,3.75,process_tree,603.64
760000,960.104,100.0,0.0,55.0375,process_tree,3.76,process_tree,604.3
770000,972.741,100.0,0.0,64.4875,process_tree,3.75,process_tree,603.8
780000,984.229,82.309,37.537,49.7125,process_tree,3.76,process_tree,604.29
790000,996.367,100.0,0.0,57.324999999999996,process_tree,3.75,process_tree,603.25
800000,1009.426,78.786,40.623,69.7375,process_tree,3.76,process_tree,604.71
810000,1022.587,100.0,0.0,50.175,process_tree,3.75,process_tree,603.75
820000,1035.02,100.0,0.0,53.3625,process_tree,3.75,process_tree,604.0
830000,1047.797,100.0,0.0,85.35,process_tree,3.75,process_tree,603.99
840000,1059.697,100.0,0.0,49.7125,process_tree,3.75,process_tree,603.92
850000,1072.333,100.0,0.0,71.675,process_tree,3.76,process_tree,604.27
