step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,83.0,system,
10000,26.118,0.883,0.576,12.425,process_tree,3.8,process_tree,611.71
20000,43.513,0.903,0.61,12.5375,process_tree,3.84,process_tree,618.18
30000,64.611,0.972,0.608,37.550000000000004,process_tree,3.84,process_tree,617.95
40000,81.399,1.072,0.684,19.6875,process_tree,3.84,process_tree,618.54
50000,97.701,1.198,0.807,32.1125,process_tree,3.84,process_tree,618.52
60000,114.685,1.323,0.868,14.3,process_tree,3.85,process_tree,618.89
70000,131.199,1.539,0.939,28.5125,process_tree,3.85,process_tree,619.02
80000,147.17,1.755,1.168,28.475,process_tree,3.85,process_tree,619.08
90000,162.606,2.104,1.292,28.65,process_tree,3.85,process_tree,619.2
100000,178.734,2.376,1.546,51.550000000000004,process_tree,3.85,process_tree,619.6
110000,194.682,2.79,1.975,16.087500000000002,process_tree,3.85,process_tree,619.56
120000,205.854,3.422,2.313,44.3875,process_tree,3.86,process_tree,620.87
130000,220.921,4.74,3.632,39.0625,process_tree,3.86,process_tree,620.96
140000,235.856,5.263,4.46,50.175,process_tree,3.87,process_tree,622.1
150000,249.326,7.234,6.189,44.8,process_tree,3.87,process_tree,622.83
160000,263.729,10.188,9.902,50.175,process_tree,3.88,process_tree,624.91
170000,277.063,19.593,15.909,50.175,process_tree,3.87,process_tree,623.41
180000,291.419,33.063,24.538,39.0625,process_tree,3.88,process_tree,623.59
190000,305.387,48.376,37.016,50.175,process_tree,3.88,process_tree,625.09
200000,318.901,93.423,15.76,64.4125,process_tree,3.88,process_tree,624.46
210000,333.366,100.0,0.0,45.5375,process_tree,3.9,process_tree,626.82
220000,347.401,100.0,0.0,64.3875,process_tree,3.89,process_tree,625.17
230000,361.523,100.0,0.0,51.8625,process_tree,3.88,process_tree,624.98
240000,375.38,100.0,0.0,47.9375,process_tree,3.89,process_tree,625.21
250000,389.658,100.0,0.0,46.5875,process_tree,3.87,process_tree,623.39
