step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,66.5,system,
10000,11.123,0.874,0.545,17.9,process_tree,3.8,process_tree,610.98
20000,16.654,0.795,0.507,23.275,process_tree,3.88,process_tree,623.59
30000,22.728,0.88,0.539,12.4375,process_tree,4.0,process_tree,643.61
40000,28.789,0.819,0.503,28.625,process_tree,4.14,process_tree,665.57
50000,34.916,0.827,0.525,19.662499999999998,process_tree,4.27,process_tree,687.37
60000,40.973,0.815,0.495,19.6,process_tree,4.42,process_tree,711.08
70000,46.993,0.853,0.55,37.4375,process_tree,4.55,process_tree,731.79
80000,53.009,0.8,0.496,19.7125,process_tree,4.68,process_tree,753.4
90000,58.88,0.828,0.518,25.025,process_tree,4.83,process_tree,776.65
100000,64.894,0.884,0.554,16.0125,process_tree,4.96,process_tree,798.29
110000,71.641,0.832,0.557,28.5625,process_tree,5.1,process_tree,820.58
120000,77.659,0.835,0.525,33.975,process_tree,5.23,process_tree,840.78
130000,84.232,0.816,0.545,28.625,process_tree,5.35,process_tree,860.75
140000,90.182,0.83,0.521,16.0125,process_tree,5.49,process_tree,883.35
150000,96.235,0.854,0.532,16.0875,process_tree,5.62,process_tree,904.93
160000,102.354,0.82,0.556,28.55,process_tree,5.76,process_tree,926.73
170000,108.265,0.796,0.504,28.55,process_tree,5.89,process_tree,948.49
180000,114.265,0.873,0.594,16.025,process_tree,6.03,process_tree,970.21
190000,120.114,0.817,0.491,28.5875,process_tree,6.17,process_tree,992.22
200000,126.179,0.795,0.508,16.0875,process_tree,6.31,process_tree,1014.59
210000,132.484,0.906,0.585,14.3125,process_tree,6.43,process_tree,1035.42
220000,138.369,0.799,0.499,14.3125,process_tree,6.58,process_tree,1058.39
230000,144.397,0.814,0.499,33.95,process_tree,6.71,process_tree,1079.91
240000,150.25,0.806,0.535,17.9,process_tree,6.84,process_tree,1101.3
250000,156.345,0.854,0.573,44.675,process_tree,6.98,process_tree,1123.3
260000,162.688,0.803,0.515,26.825000000000003,process_tree,7.12,process_tree,1145.14
270000,168.543,0.844,0.509,19.525,process_tree,7.25,process_tree,1167.29
280000,174.519,0.838,0.536,19.587500000000002,process_tree,7.39,process_tree,1188.46
290000,180.579,0.826,0.543,21.424999999999997,process_tree,7.52,process_tree,1210.04
300000,186.553,0.833,0.529,30.225,process_tree,7.65,process_tree,1231.07
310000,192.67,0.785,0.482,14.2375,process_tree,7.8,process_tree,1254.28
320000,199.109,0.811,0.501,17.875,process_tree,7.93,process_tree,1276.0
330000,205.052,0.868,0.547,15.9875,process_tree,8.06,process_tree,1297.27
340000,210.952,0.858,0.527,17.9125,process_tree,8.2,process_tree,1318.7
350000,366.973,0.87,0.512,16.025000000000002,process_tree,4.92,process_tree,791.44
360000,373.196,1.027,0.632,44.7375,process_tree,4.65,process_tree,747.73
370000,379.358,1.036,0.64,25.0625,process_tree,4.64,process_tree,746.79
380000,385.26,0.982,0.662,19.6,process_tree,4.69,process_tree,754.78
390000,391.104,0.994,0.627,17.8,process_tree,4.74,process_tree,762.74
400000,397.203,0.944,0.619,35.75,process_tree,4.8,process_tree,773.16
410000,402.919,1.019,0.666,23.0,process_tree,4.87,process_tree,784.09
420000,408.864,1.007,0.69,10.75,process_tree,4.94,process_tree,794.51
430000,414.952,0.994,0.639,23.2125,process_tree,5.01,process_tree,806.02
440000,420.745,0.957,0.621,20.275,process_tree,5.18,process_tree,832.92
450000,426.938,0.933,0.66,30.4,process_tree,5.41,process_tree,869.89
460000,432.894,0.959,0.55,17.8,process_tree,5.51,process_tree,886.37
470000,438.766,0.957,0.646,31.4375,process_tree,5.73,process_tree,921.44
480000,445.343,0.956,0.586,24.9625,process_tree,5.42,process_tree,872.22
490000,451.179,1.011,0.631,14.2125,process_tree,5.55,process_tree,893.43
500000,457.268,1.018,0.697,23.225,process_tree,5.76,process_tree,926.43
510000,463.449,0.969,0.59,30.325,process_tree,5.9,process_tree,948.68
520000,469.241,0.986,0.643,32.2,process_tree,6.03,process_tree,970.48
530000,475.396,1.004,0.657,28.549999999999997,process_tree,6.16,process_tree,991.75
540000,481.245,0.982,0.654,21.4625,process_tree,6.3,process_tree,1013.5
550000,487.236,0.911,0.573,17.875,process_tree,6.43,process_tree,1034.63
560000,493.592,0.989,0.674,41.125,process_tree,6.57,process_tree,1057.09
570000,499.431,0.973,0.646,23.112499999999997,process_tree,6.7,process_tree,1078.3
580000,505.351,0.962,0.611,33.9875,process_tree,6.84,process_tree,1100.39
590000,511.136,0.983,0.558,30.3625,process_tree,6.97,process_tree,1121.57
600000,517.174,0.956,0.659,32.0,process_tree,7.11,process_tree,1143.27
610000,523.548,0.982,0.576,21.3125,process_tree,7.24,process_tree,1165.54
620000,529.356,0.935,0.6,19.6,process_tree,7.38,process_tree,1187.04
630000,535.28,0.937,0.64,26.85,process_tree,7.51,process_tree,1208.77
640000,541.083,0.995,0.657,17.9125,process_tree,7.65,process_tree,1230.71
650000,547.102,0.938,0.626,34.025,process_tree,7.78,process_tree,1252.24
660000,553.05,1.005,0.633,37.337500000000006,process_tree,7.91,process_tree,1273.18
670000,558.98,1.016,0.677,17.8,process_tree,8.05,process_tree,1294.68
