step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,69.5,system,
10000,13.493,1.189,0.66,62.6625,process_tree,3.8,process_tree,610.98
20000,20.929,1.187,0.736,58.275,process_tree,3.95,process_tree,635.68
30000,28.639,1.245,0.766,69.475,process_tree,4.08,process_tree,656.91
40000,36.32,1.185,0.695,55.075,process_tree,4.23,process_tree,681.26
50000,43.924,1.209,0.728,51.525,process_tree,4.35,process_tree,700.72
60000,51.134,1.236,0.72,63.925,process_tree,4.5,process_tree,724.09
70000,58.432,1.231,0.715,60.39999999999999,process_tree,4.63,process_tree,744.9
80000,65.703,1.196,0.692,69.8375,process_tree,4.76,process_tree,766.44
90000,73.197,1.149,0.684,69.85,process_tree,4.9,process_tree,788.43
100000,80.344,1.194,0.689,51.5625,process_tree,5.04,process_tree,810.64
110000,87.596,1.248,0.749,57.0375,process_tree,5.17,process_tree,832.56
120000,95.146,1.208,0.724,58.6875,process_tree,5.33,process_tree,857.12
130000,102.255,1.192,0.711,59.075,process_tree,5.44,process_tree,875.96
140000,109.501,1.152,0.664,75.0625,process_tree,5.57,process_tree,895.65
150000,117.073,1.221,0.714,64.3875,process_tree,5.7,process_tree,917.5
160000,124.426,1.233,0.726,62.7,process_tree,5.83,process_tree,938.66
170000,131.605,1.168,0.728,47.9875,process_tree,5.97,process_tree,960.92
180000,234.099,1.368,0.8,62.25,process_tree,4.58,process_tree,736.51
190000,241.15,1.399,0.806,60.4625,process_tree,4.51,process_tree,725.5
200000,248.396,1.461,0.82,60.5125,process_tree,4.55,process_tree,731.45
210000,255.44,1.451,0.892,51.525,process_tree,4.61,process_tree,741.0
220000,262.553,1.442,0.851,47.9875,process_tree,4.66,process_tree,749.48
230000,269.917,1.491,0.863,40.8375,process_tree,4.73,process_tree,761.14
240000,277.049,1.54,0.853,44.425,process_tree,4.77,process_tree,767.45
250000,284.022,1.466,0.913,65.83749999999999,process_tree,4.84,process_tree,779.43
260000,291.276,1.488,0.963,57.3375,process_tree,4.99,process_tree,802.2
270000,298.291,1.467,0.904,64.0125,process_tree,5.13,process_tree,826.23
280000,306.196,1.469,0.896,71.5625,process_tree,5.26,process_tree,846.57
290000,313.231,1.415,0.765,50.137499999999996,process_tree,5.29,process_tree,850.88
300000,320.161,1.528,0.897,41.1875,process_tree,5.42,process_tree,872.02
310000,327.19,1.477,0.882,76.9625,process_tree,5.56,process_tree,893.86
320000,334.764,1.462,0.931,62.599999999999994,process_tree,5.69,process_tree,916.13
330000,341.699,1.536,0.973,69.8375,process_tree,5.83,process_tree,937.41
340000,349.252,1.43,0.851,51.849999999999994,process_tree,5.96,process_tree,959.26
350000,451.876,1.793,1.309,60.8625,process_tree,4.73,process_tree,760.73
