step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,70.6,system,
10000,17.157,1.179,0.696,59.0625,process_tree,3.8,process_tree,611.79
20000,26.892,1.187,0.709,55.0875,process_tree,3.96,process_tree,637.15
30000,34.641,1.19,0.778,40.85,process_tree,4.09,process_tree,658.05
40000,42.243,1.176,0.643,45.675,process_tree,4.24,process_tree,681.6
50000,49.353,1.181,0.733,60.4,process_tree,4.38,process_tree,704.05
60000,55.475,1.268,0.827,51.525,process_tree,4.5,process_tree,724.36
70000,61.511,1.196,0.699,46.5375,process_tree,4.63,process_tree,744.73
80000,67.831,1.223,0.691,62.6375,process_tree,4.8,process_tree,772.34
90000,73.969,1.185,0.716,53.325,process_tree,4.94,process_tree,794.12
100000,80.423,1.182,0.74,62.587500000000006,process_tree,5.04,process_tree,810.52
110000,87.602,1.203,0.704,55.5,process_tree,5.17,process_tree,832.64
120000,95.492,1.247,0.759,55.449999999999996,process_tree,5.32,process_tree,856.0
130000,103.015,1.156,0.663,42.6625,process_tree,5.46,process_tree,878.38
140000,110.338,1.189,0.739,56.875,process_tree,5.57,process_tree,896.63
150000,118.367,1.253,0.807,70.3875,process_tree,5.71,process_tree,918.55
160000,125.809,1.206,0.688,51.5375,process_tree,5.84,process_tree,939.22
170000,133.667,1.192,0.692,66.2,process_tree,5.98,process_tree,961.54
180000,141.072,1.188,0.671,55.512499999999996,process_tree,6.11,process_tree,982.46
190000,149.426,1.211,0.752,67.925,process_tree,6.25,process_tree,1005.15
200000,157.165,1.164,0.704,46.3625,process_tree,6.38,process_tree,1026.25
210000,286.654,1.408,0.831,66.2875,process_tree,4.75,process_tree,764.97
220000,294.019,1.466,0.913,47.962500000000006,process_tree,4.75,process_tree,764.38
230000,302.017,1.366,0.841,85.55,process_tree,4.78,process_tree,768.77
240000,310.528,1.46,0.884,64.4875,process_tree,4.73,process_tree,760.29
250000,317.783,1.379,0.836,53.724999999999994,process_tree,4.76,process_tree,766.43
260000,325.726,1.432,0.888,73.3875,process_tree,4.8,process_tree,772.71
270000,333.175,1.314,0.733,55.475,process_tree,4.84,process_tree,779.36
280000,340.546,1.459,0.859,53.5875,process_tree,4.91,process_tree,789.34
290000,347.566,1.439,0.897,58.225,process_tree,4.98,process_tree,801.21
300000,355.819,1.396,0.859,50.15,process_tree,5.09,process_tree,818.34
310000,363.055,1.397,0.782,60.475,process_tree,5.24,process_tree,842.7
320000,370.487,1.361,0.827,73.3125,process_tree,5.39,process_tree,866.69
330000,377.801,1.353,0.836,87.525,process_tree,5.38,process_tree,866.05
340000,385.123,1.364,0.883,68.0375,process_tree,5.51,process_tree,886.89
350000,392.468,1.387,0.781,65.0875,process_tree,5.65,process_tree,909.17
360000,399.741,1.404,0.863,42.9625,process_tree,5.78,process_tree,929.59
370000,407.129,1.399,0.82,69.5375,process_tree,5.92,process_tree,952.36
380000,414.69,1.407,0.918,62.300000000000004,process_tree,6.05,process_tree,972.79
390000,421.921,1.372,0.863,50.112500000000004,process_tree,6.18,process_tree,994.91
400000,429.194,1.41,0.858,64.0625,process_tree,6.31,process_tree,1015.79
410000,542.246,2.136,1.548,53.7,process_tree,4.81,process_tree,774.5
420000,548.631,2.119,1.495,85.6625,process_tree,4.8,process_tree,773.09
430000,554.771,2.219,1.643,58.775,process_tree,4.85,process_tree,779.63
440000,560.697,2.208,1.685,56.9375,process_tree,4.9,process_tree,788.23
450000,566.919,2.186,1.498,44.762499999999996,process_tree,4.95,process_tree,795.97
460000,573.258,2.137,1.508,83.9,process_tree,4.98,process_tree,802.12
470000,579.332,2.203,1.574,74.25,process_tree,5.08,process_tree,816.98
480000,585.477,2.153,1.7,41.15,process_tree,5.14,process_tree,826.56
490000,591.618,2.115,1.548,80.39999999999999,process_tree,5.18,process_tree,833.98
500000,597.556,2.326,1.746,73.225,process_tree,5.26,process_tree,845.93
510000,604.076,2.049,1.208,68.0375,process_tree,5.3,process_tree,852.81
520000,610.536,2.107,1.54,51.925,process_tree,5.45,process_tree,876.82
530000,616.73,2.198,1.697,50.175,process_tree,5.44,process_tree,875.56
540000,622.816,2.076,1.583,48.875,process_tree,5.57,process_tree,895.62
550000,629.002,2.174,1.515,84.57499999999999,process_tree,5.71,process_tree,918.67
560000,634.999,2.156,1.553,40.9625,process_tree,5.84,process_tree,940.08
570000,641.435,2.092,1.579,46.175000000000004,process_tree,5.98,process_tree,961.63
580000,647.848,2.141,1.547,58.6375,process_tree,6.11,process_tree,983.16
590000,654.561,2.032,1.397,51.5125,process_tree,6.24,process_tree,1004.49
600000,660.988,2.112,1.509,64.45,process_tree,6.38,process_tree,1025.89
610000,774.467,4.286,3.681,49.7125,process_tree,5.0,process_tree,805.31
620000,780.061,5.039,4.202,55.0875,process_tree,4.99,process_tree,802.73
630000,785.819,4.345,3.738,67.6375,process_tree,5.0,process_tree,804.27
640000,791.828,4.777,3.986,68.0,process_tree,5.06,process_tree,814.1
650000,797.45,4.55,4.199,71.63749999999999,process_tree,5.11,process_tree,822.17
660000,803.59,4.757,4.973,33.75,process_tree,5.17,process_tree,831.34
670000,809.407,4.665,3.717,60.887499999999996,process_tree,5.2,process_tree,836.35
680000,815.322,4.566,4.347,57.275,process_tree,5.25,process_tree,844.46
690000,821.029,4.913,4.325,73.15,process_tree,5.32,process_tree,856.17
700000,826.896,4.892,4.151,55.1,process_tree,5.37,process_tree,864.24
710000,832.901,5.043,4.582,80.225,process_tree,5.41,process_tree,870.62
720000,838.848,4.632,3.968,47.987500000000004,process_tree,5.3,process_tree,852.84
730000,844.395,4.935,4.095,46.55,process_tree,5.43,process_tree,873.39
740000,850.352,4.645,4.215,74.375,process_tree,5.56,process_tree,895.27
750000,856.289,4.872,4.211,50.2875,process_tree,5.69,process_tree,915.86
760000,862.09,4.861,3.862,55.475,process_tree,5.83,process_tree,938.36
770000,867.759,4.571,3.881,81.9,process_tree,5.96,process_tree,959.49
780000,873.541,5.138,4.154,39.387499999999996,process_tree,6.1,process_tree,981.1
790000,879.932,4.465,3.778,51.5,process_tree,6.23,process_tree,1002.22
800000,885.681,4.563,4.303,73.275,process_tree,6.37,process_tree,1024.63
810000,1000.663,9.39,9.994,50.0875,process_tree,5.07,process_tree,816.34
820000,1006.344,15.676,15.615,63.962500000000006,process_tree,5.1,process_tree,820.55
830000,1012.552,14.861,16.423,55.225,process_tree,5.11,process_tree,821.75
840000,1018.359,13.64,11.52,57.3,process_tree,5.2,process_tree,835.92
850000,1024.218,22.263,24.235,71.0625,process_tree,5.26,process_tree,847.01
860000,1030.28,19.62,19.765,73.3875,process_tree,5.31,process_tree,854.31
870000,1036.239,16.889,20.494,60.05,process_tree,5.4,process_tree,868.68
880000,1042.227,18.122,15.787,69.825,process_tree,5.44,process_tree,875.27
890000,1047.977,15.535,18.854,46.574999999999996,process_tree,5.5,process_tree,884.77
900000,1053.947,22.343,23.679,51.949999999999996,process_tree,5.57,process_tree,896.45
910000,1059.911,13.712,16.064,62.699999999999996,process_tree,5.61,process_tree,902.67
920000,1065.921,20.578,19.768,71.52499999999999,process_tree,5.62,process_tree,903.73
930000,1071.75,23.025,21.714,37.5,process_tree,5.42,process_tree,872.68
940000,1077.689,18.324,22.415,71.2875,process_tree,5.56,process_tree,894.22
950000,1083.512,25.255,21.221,64.1125,process_tree,5.69,process_tree,914.88
960000,1089.583,18.106,17.126,53.275,process_tree,5.83,process_tree,937.46
970000,1095.391,15.635,16.21,46.2125,process_tree,5.96,process_tree,958.62
980000,1101.361,28.287,24.15,59.0875,process_tree,6.09,process_tree,979.94
990000,1107.205,17.984,19.066,64.475,process_tree,6.22,process_tree,1001.39
1000000,1113.026,21.204,20.336,70.575,process_tree,6.36,process_tree,1023.65
1010000,1236.475,31.794,33.535,71.0375,process_tree,5.07,process_tree,815.39
1020000,1241.891,56.367,38.88,62.25,process_tree,5.1,process_tree,819.96
1030000,1247.981,55.611,43.356,68.025,process_tree,5.15,process_tree,828.01
1040000,1254.072,83.608,32.444,87.3375,process_tree,5.23,process_tree,841.66
1050000,1260.074,78.0,25.673,44.787499999999994,process_tree,5.3,process_tree,853.25
1060000,1265.957,79.885,27.634,39.075,process_tree,5.35,process_tree,860.89
1070000,1272.169,60.955,33.522,69.65,process_tree,5.44,process_tree,875.68
1080000,1277.542,76.769,35.79,44.7875,process_tree,5.51,process_tree,886.71
1090000,1282.962,65.667,36.319,55.1,process_tree,5.59,process_tree,898.95
1100000,1288.116,52.06,34.656,68.3125,process_tree,5.63,process_tree,906.33
1110000,1293.533,68.806,36.94,64.475,process_tree,5.65,process_tree,909.7
1120000,1298.783,86.718,20.749,65.6375,process_tree,5.66,process_tree,911.07
1130000,1304.036,64.236,43.771,68.0625,process_tree,5.44,process_tree,874.87
1140000,1309.541,73.14,34.534,51.9625,process_tree,5.57,process_tree,895.96
1150000,1314.846,70.982,29.177,63.925,process_tree,5.7,process_tree,917.14
1160000,1320.105,77.373,32.493,80.5875,process_tree,5.84,process_tree,939.32
1170000,1325.64,67.8,36.219,64.3875,process_tree,5.96,process_tree,959.7
1180000,1331.025,69.5,37.071,82.39999999999999,process_tree,6.1,process_tree,981.5
1190000,1336.461,69.871,39.983,69.2875,process_tree,6.23,process_tree,1002.48
1200000,1341.795,81.92,31.619,94.6,process_tree,6.37,process_tree,1024.54
1210000,1455.936,74.942,38.912,53.762499999999996,process_tree,5.03,process_tree,810.05
1220000,1461.227,100.0,0.0,83.7625,process_tree,5.06,process_tree,814.56
1230000,1466.501,96.218,11.959,46.25,process_tree,5.11,process_tree,823.04
1240000,1471.863,95.1,16.974,57.3375,process_tree,5.18,process_tree,833.43
1250000,1477.316,95.075,13.03,64.475,process_tree,5.29,process_tree,850.72
1260000,1482.808,100.0,0.0,51.5,process_tree,5.36,process_tree,861.77
1270000,1488.217,94.43,16.71,47.95,process_tree,5.4,process_tree,868.49
1280000,1493.758,95.98,12.06,66.1875,process_tree,5.45,process_tree,876.59
1290000,1499.221,100.0,0.0,69.2625,process_tree,5.5,process_tree,884.67
1300000,1505.211,100.0,0.0,64.4625,process_tree,5.55,process_tree,893.04
1310000,1510.748,100.0,0.0,53.6,process_tree,5.62,process_tree,904.85
1320000,1516.154,100.0,0.0,60.9,process_tree,5.65,process_tree,909.88
1330000,1521.777,100.0,0.0,78.8125,process_tree,5.73,process_tree,922.05
