step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,73.9,system,
10000,10.966,1.08,0.686,23.25,process_tree,3.81,process_tree,612.92
20000,16.325,1.037,0.632,17.9,process_tree,3.96,process_tree,637.31
30000,22.339,1.114,0.713,21.462500000000002,process_tree,4.11,process_tree,660.72
40000,28.282,1.064,0.619,35.7625,process_tree,4.24,process_tree,681.76
50000,34.408,1.043,0.66,10.65,process_tree,4.37,process_tree,703.76
60000,41.938,1.06,0.738,35.7625,process_tree,4.51,process_tree,724.89
70000,47.899,1.102,0.651,23.4875,process_tree,4.66,process_tree,749.5
80000,53.797,1.118,0.684,19.612499999999997,process_tree,4.79,process_tree,771.09
90000,59.838,1.042,0.641,32.212500000000006,process_tree,4.93,process_tree,792.87
100000,66.363,1.038,0.654,32.1375,process_tree,5.07,process_tree,815.62
110000,72.168,1.079,0.728,17.8,process_tree,5.22,process_tree,839.82
120000,78.236,1.077,0.712,39.2125,process_tree,5.32,process_tree,855.68
130000,84.35,1.053,0.655,24.9875,process_tree,5.45,process_tree,877.63
140000,90.383,1.098,0.669,17.8625,process_tree,5.58,process_tree,897.87
150000,96.734,1.072,0.663,16.025,process_tree,5.71,process_tree,919.25
160000,102.606,1.106,0.682,17.8,process_tree,5.85,process_tree,941.15
170000,108.318,1.19,0.815,31.987499999999997,process_tree,5.98,process_tree,962.71
180000,114.173,1.126,0.704,17.8625,process_tree,6.12,process_tree,984.86
190000,119.955,1.117,0.689,26.825000000000003,process_tree,6.26,process_tree,1006.59
200000,126.609,1.132,0.637,21.474999999999998,process_tree,6.39,process_tree,1027.59
210000,132.353,1.092,0.675,21.462500000000002,process_tree,6.52,process_tree,1049.55
220000,138.089,1.124,0.757,19.675,process_tree,6.66,process_tree,1070.92
230000,143.973,1.071,0.712,19.675,process_tree,6.8,process_tree,1093.37
240000,149.679,1.118,0.702,32.175,process_tree,6.93,process_tree,1114.75
250000,156.037,1.07,0.613,14.225,process_tree,7.06,process_tree,1135.58
260000,273.724,1.082,0.7,23.225,process_tree,4.75,process_tree,764.19
270000,279.626,1.14,0.718,24.9625,process_tree,4.64,process_tree,747.02
280000,285.744,1.09,0.663,17.875,process_tree,4.63,process_tree,745.57
290000,291.623,1.076,0.677,23.175,process_tree,4.66,process_tree,749.4
300000,297.426,1.114,0.659,19.7,process_tree,4.7,process_tree,756.87
310000,303.26,1.137,0.691,28.625,process_tree,4.76,process_tree,765.74
320000,309.454,1.111,0.709,24.4875,process_tree,4.81,process_tree,773.69
330000,315.397,1.149,0.716,28.5625,process_tree,4.84,process_tree,778.25
340000,321.441,1.172,0.748,32.0,process_tree,5.03,process_tree,809.93
350000,327.661,1.179,0.699,40.6125,process_tree,5.14,process_tree,826.82
360000,333.452,1.065,0.655,28.7375,process_tree,5.29,process_tree,851.08
370000,339.502,1.175,0.76,25.0625,process_tree,5.45,process_tree,876.18
380000,345.489,1.149,0.747,19.587500000000002,process_tree,5.39,process_tree,866.9
390000,351.362,1.136,0.693,32.1375,process_tree,5.52,process_tree,887.8
400000,357.189,1.139,0.726,14.3125,process_tree,5.66,process_tree,910.13
410000,363.628,1.138,0.682,17.8625,process_tree,5.7,process_tree,917.75
420000,369.973,1.146,0.759,25.012500000000003,process_tree,5.84,process_tree,939.34
430000,375.678,1.117,0.722,19.650000000000002,process_tree,5.97,process_tree,961.11
440000,381.666,1.088,0.695,14.2125,process_tree,6.11,process_tree,983.31
450000,387.423,1.134,0.699,34.0,process_tree,6.24,process_tree,1004.69
460000,393.788,1.116,0.705,32.15,process_tree,6.38,process_tree,1026.63
470000,399.667,1.189,0.75,17.8625,process_tree,6.51,process_tree,1046.82
480000,405.491,1.182,0.692,21.4,process_tree,6.65,process_tree,1069.93
490000,411.477,1.112,0.739,30.5625,process_tree,6.78,process_tree,1091.42
500000,417.223,1.132,0.696,27.0625,process_tree,6.98,process_tree,1123.15
510000,423.471,1.121,0.705,19.6375,process_tree,7.12,process_tree,1145.11
520000,542.493,1.407,0.871,19.587500000000002,process_tree,5.32,process_tree,855.35
530000,548.491,1.439,0.943,26.762500000000003,process_tree,5.37,process_tree,863.86
540000,554.048,1.561,1.0,33.975,process_tree,5.4,process_tree,869.7
550000,559.624,1.404,0.874,25.049999999999997,process_tree,5.46,process_tree,878.65
560000,565.4,1.425,0.909,19.6875,process_tree,5.51,process_tree,887.14
570000,571.182,1.474,0.995,16.0875,process_tree,5.59,process_tree,899.63
580000,577.331,1.501,0.917,18.3125,process_tree,5.64,process_tree,907.39
590000,583.47,1.466,0.919,24.5375,process_tree,5.7,process_tree,916.9
600000,589.041,1.464,0.993,26.75,process_tree,5.79,process_tree,932.34
610000,595.01,1.457,0.936,39.25,process_tree,5.89,process_tree,947.47
620000,600.597,1.447,0.896,17.9,process_tree,5.92,process_tree,952.81
630000,606.486,1.485,1.013,17.8,process_tree,5.68,process_tree,914.05
640000,612.382,1.47,0.964,28.0875,process_tree,5.72,process_tree,920.07
650000,618.148,1.457,0.923,21.462500000000002,process_tree,5.76,process_tree,926.89
660000,623.815,1.475,0.873,21.425,process_tree,5.8,process_tree,932.74
670000,629.486,1.492,1.012,28.55,process_tree,5.84,process_tree,940.48
680000,636.259,1.486,1.015,15.625,process_tree,5.98,process_tree,962.56
690000,642.283,1.521,0.915,28.575000000000003,process_tree,6.12,process_tree,984.23
700000,647.845,1.547,0.996,19.7,process_tree,6.25,process_tree,1005.74
710000,653.685,1.439,0.861,32.225,process_tree,6.39,process_tree,1027.5
720000,659.819,1.443,0.923,17.8125,process_tree,6.52,process_tree,1048.38
730000,665.668,1.454,0.934,28.612499999999997,process_tree,6.64,process_tree,1067.88
740000,671.436,1.44,0.928,30.2125,process_tree,6.77,process_tree,1089.0
750000,676.964,1.535,1.027,28.5375,process_tree,6.9,process_tree,1110.32
760000,682.835,1.521,1.014,23.25,process_tree,7.04,process_tree,1132.35
770000,800.939,1.525,1.082,14.2375,process_tree,5.52,process_tree,888.04
780000,806.308,2.368,1.652,19.525,process_tree,5.46,process_tree,878.74
790000,811.717,2.236,1.599,23.2125,process_tree,5.48,process_tree,881.24
800000,817.215,2.281,1.619,17.875,process_tree,5.52,process_tree,888.2
810000,822.624,2.2,1.458,21.3875,process_tree,5.57,process_tree,895.47
820000,828.05,2.305,1.826,21.4625,process_tree,5.61,process_tree,901.94
830000,833.669,2.303,1.582,14.3125,process_tree,5.64,process_tree,908.07
840000,839.009,2.371,1.559,17.875,process_tree,5.73,process_tree,921.3
850000,844.719,2.296,1.639,24.975,process_tree,5.8,process_tree,933.93
860000,850.538,2.106,1.5,14.2125,process_tree,5.92,process_tree,952.74
870000,855.941,2.301,1.393,12.425,process_tree,5.99,process_tree,964.25
880000,861.618,2.219,1.509,33.925,process_tree,6.0,process_tree,966.14
890000,867.017,2.454,1.798,26.799999999999997,process_tree,6.03,process_tree,971.02
900000,872.936,2.167,1.529,33.762499999999996,process_tree,5.76,process_tree,926.41
910000,878.456,2.253,1.476,25.025,process_tree,5.8,process_tree,932.97
920000,883.927,2.28,1.629,17.8875,process_tree,5.83,process_tree,938.78
930000,889.302,2.209,1.625,17.8625,process_tree,5.88,process_tree,945.45
940000,895.085,2.406,1.761,30.4375,process_tree,6.01,process_tree,967.79
950000,900.491,2.271,1.556,28.55,process_tree,6.14,process_tree,987.76
960000,906.109,2.11,1.589,19.6,process_tree,6.28,process_tree,1010.7
970000,911.631,2.313,1.541,12.5375,process_tree,6.41,process_tree,1031.82
980000,917.4,2.263,1.541,30.35,process_tree,6.55,process_tree,1054.09
990000,923.077,2.242,1.697,28.6,process_tree,6.69,process_tree,1075.7
1000000,928.508,2.158,1.581,16.075,process_tree,6.81,process_tree,1096.43
1010000,934.032,2.372,1.682,39.300000000000004,process_tree,6.95,process_tree,1118.91
1020000,940.107,2.429,1.82,37.4375,process_tree,7.08,process_tree,1140.0
1030000,1056.619,3.087,2.541,21.4375,process_tree,5.52,process_tree,888.18
1040000,1061.844,4.744,3.524,25.0625,process_tree,5.5,process_tree,884.46
1050000,1067.105,4.718,4.403,23.200000000000003,process_tree,5.55,process_tree,892.43
