step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,75.5,system,
10000,10.801,1.086,0.649,23.175,process_tree,3.8,process_tree,611.71
20000,16.599,1.123,0.653,23.225,process_tree,3.95,process_tree,635.63
30000,22.546,1.089,0.689,23.4125,process_tree,4.1,process_tree,659.01
40000,28.611,1.096,0.736,36.05,process_tree,4.23,process_tree,680.19
50000,34.55,1.143,0.656,23.2375,process_tree,4.36,process_tree,701.65
60000,40.504,1.097,0.644,17.875,process_tree,4.51,process_tree,725.94
70000,46.438,1.175,0.764,19.5875,process_tree,4.64,process_tree,746.23
80000,52.601,1.13,0.671,14.3125,process_tree,4.77,process_tree,767.23
90000,58.58,1.121,0.669,30.424999999999997,process_tree,4.91,process_tree,789.89
100000,64.351,1.123,0.694,17.875,process_tree,5.05,process_tree,813.0
110000,70.457,1.136,0.663,30.4,process_tree,5.2,process_tree,836.73
120000,76.518,1.099,0.627,22.9375,process_tree,5.3,process_tree,852.72
130000,82.977,1.187,0.736,42.7625,process_tree,5.43,process_tree,874.18
140000,88.774,1.128,0.717,19.75,process_tree,5.57,process_tree,896.3
150000,94.494,1.107,0.697,17.8,process_tree,5.7,process_tree,917.27
160000,166.61,1.213,0.801,32.1625,process_tree,4.61,process_tree,741.16
170000,172.646,1.212,0.732,19.612499999999997,process_tree,4.52,process_tree,727.71
180000,178.381,1.217,0.733,32.2,process_tree,4.57,process_tree,735.29
190000,184.039,1.177,0.672,27.4375,process_tree,4.61,process_tree,741.59
200000,190.123,1.144,0.75,22.2625,process_tree,4.65,process_tree,747.84
210000,196.078,1.182,0.722,17.8625,process_tree,4.71,process_tree,758.59
220000,202.059,1.218,0.725,21.4,process_tree,4.76,process_tree,766.47
230000,207.952,1.274,0.838,12.925,process_tree,4.84,process_tree,778.6
240000,213.81,1.295,0.776,30.35,process_tree,4.97,process_tree,800.22
250000,219.631,1.184,0.756,17.8625,process_tree,5.1,process_tree,821.42
260000,225.521,1.248,0.79,16.0125,process_tree,5.25,process_tree,844.81
270000,231.671,1.207,0.769,28.5625,process_tree,5.38,process_tree,865.09
280000,237.392,1.228,0.762,19.5875,process_tree,5.48,process_tree,881.48
290000,243.454,1.226,0.873,32.1875,process_tree,5.55,process_tree,892.26
300000,249.326,1.183,0.742,39.3875,process_tree,5.68,process_tree,913.91
310000,321.698,1.407,0.949,21.3875,process_tree,4.58,process_tree,736.62
320000,327.363,1.48,0.949,14.25,process_tree,4.53,process_tree,728.95
330000,333.009,1.543,0.989,21.387500000000003,process_tree,4.57,process_tree,734.89
340000,338.862,1.395,0.89,17.8625,process_tree,4.59,process_tree,739.22
350000,344.429,1.402,0.921,19.7,process_tree,4.65,process_tree,748.48
