step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,71.3,system,
10000,17.891,1.398,0.852,58.625,process_tree,3.7,process_tree,595.86
20000,32.137,2.023,1.324,55.537499999999994,process_tree,3.72,process_tree,599.05
30000,45.119,3.982,3.234,49.7125,process_tree,3.73,process_tree,600.42
40000,59.018,6.281,6.123,57.3375,process_tree,3.75,process_tree,602.8
50000,72.54,12.107,12.803,60.862500000000004,process_tree,3.75,process_tree,603.5
60000,85.313,34.837,37.132,51.550000000000004,process_tree,3.75,process_tree,602.95
70000,98.426,84.415,28.906,48.375,process_tree,3.75,process_tree,604.05
80000,111.239,77.413,33.969,53.35,process_tree,3.75,process_tree,604.07
90000,123.74,60.075,43.526,59.0625,process_tree,3.76,process_tree,604.32
100000,137.677,71.4,39.133,35.8375,process_tree,3.76,process_tree,604.59
110000,150.224,90.1,29.7,53.7375,process_tree,3.75,process_tree,604.08
120000,163.344,79.714,34.59,69.8625,process_tree,3.75,process_tree,604.03
130000,175.91,100.0,0.0,32.25,process_tree,3.75,process_tree,604.19
140000,188.468,98.3,5.1,39.525,process_tree,3.75,process_tree,604.06
150000,201.657,97.03,8.91,49.7125,process_tree,3.75,process_tree,604.07
160000,214.979,100.0,0.0,49.7125,process_tree,3.75,process_tree,603.94
170000,228.085,90.36,28.92,40.8375,process_tree,3.76,process_tree,604.62
180000,240.749,100.0,0.0,41.2125,process_tree,3.75,process_tree,604.11
190000,253.569,99.21,2.37,42.6125,process_tree,3.76,process_tree,604.59
200000,266.356,100.0,0.0,55.4375,process_tree,3.75,process_tree,604.05
210000,279.214,100.0,0.0,42.9875,process_tree,3.75,process_tree,604.18
220000,292.13,100.0,0.0,47.9375,process_tree,3.75,process_tree,604.16
