step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,72.4,system,
10000,13.751,1.088,0.735,39.425,process_tree,3.76,process_tree,605.03
20000,26.205,1.307,0.753,39.0625,process_tree,3.78,process_tree,608.01
30000,38.371,1.449,0.799,44.3875,process_tree,3.78,process_tree,608.57
40000,50.458,1.658,0.964,47.9375,process_tree,3.78,process_tree,608.58
50000,62.457,1.811,0.977,49.7125,process_tree,3.78,process_tree,608.47
60000,74.863,2.048,1.05,47.9375,process_tree,3.78,process_tree,608.61
70000,87.276,2.472,1.488,50.175,process_tree,3.79,process_tree,609.1
80000,98.882,2.759,1.829,44.8,process_tree,3.79,process_tree,609.34
90000,110.557,3.114,2.416,50.175,process_tree,3.79,process_tree,609.39
100000,121.925,3.608,2.952,48.375,process_tree,3.79,process_tree,609.59
110000,133.74,3.827,3.111,49.7125,process_tree,3.79,process_tree,610.21
120000,145.141,3.751,3.067,48.375,process_tree,3.8,process_tree,610.66
130000,156.677,3.837,3.209,62.675,process_tree,3.79,process_tree,610.43
140000,168.282,4.455,4.158,55.6375,process_tree,3.79,process_tree,610.34
150000,179.897,4.341,3.966,46.5875,process_tree,3.79,process_tree,610.38
160000,191.716,5.697,5.73,52.8375,process_tree,3.79,process_tree,610.59
170000,203.571,5.734,5.213,57.275,process_tree,3.8,process_tree,610.85
180000,215.61,5.859,5.516,63.95,process_tree,3.8,process_tree,611.01
190000,226.956,5.407,5.128,54.7375,process_tree,3.8,process_tree,610.96
200000,238.24,6.064,5.67,60.39999999999999,process_tree,3.79,process_tree,610.63
210000,249.753,6.883,7.121,57.3375,process_tree,3.8,process_tree,610.98
220000,261.367,5.912,4.953,58.675,process_tree,3.8,process_tree,611.11
230000,272.524,7.516,5.735,53.7375,process_tree,3.8,process_tree,611.02
240000,283.836,7.67,5.534,53.3625,process_tree,3.8,process_tree,611.12
250000,295.09,9.032,7.72,58.6875,process_tree,3.8,process_tree,611.43
260000,306.321,11.582,8.856,74.9875,process_tree,3.8,process_tree,611.95
270000,317.318,16.977,10.894,53.762499999999996,process_tree,3.8,process_tree,611.7
280000,328.318,13.729,9.219,67.975,process_tree,3.8,process_tree,611.52
290000,339.336,10.006,7.065,58.7375,process_tree,3.8,process_tree,611.88
300000,350.579,11.12,7.822,48.125,process_tree,3.8,process_tree,611.93
310000,361.486,15.837,16.343,53.275,process_tree,3.8,process_tree,611.7
320000,372.598,22.668,21.208,59.0875,process_tree,3.8,process_tree,611.62
330000,383.7,18.994,21.861,41.2125,process_tree,3.81,process_tree,612.27
340000,394.498,43.755,36.172,51.5,process_tree,3.81,process_tree,612.53
350000,405.483,28.973,24.351,50.112500000000004,process_tree,3.81,process_tree,612.41
360000,416.541,20.62,15.07,55.15,process_tree,3.8,process_tree,612.12
370000,427.632,21.704,15.339,59.0875,process_tree,3.8,process_tree,612.08
380000,438.588,18.287,11.494,48.0625,process_tree,3.8,process_tree,612.05
390000,449.49,26.652,18.278,48.3625,process_tree,3.81,process_tree,612.5
400000,461.505,21.336,15.117,70.2375,process_tree,3.81,process_tree,612.34
410000,474.851,16.352,8.678,64.775,process_tree,3.8,process_tree,612.18
420000,488.183,14.296,8.528,71.6125,process_tree,3.8,process_tree,612.12
430000,499.456,14.927,9.103,53.3125,process_tree,3.8,process_tree,612.16
440000,511.294,13.422,7.983,69.47500000000001,process_tree,3.81,process_tree,612.36
450000,522.444,20.737,15.179,64.4125,process_tree,3.81,process_tree,612.34
460000,533.388,13.363,7.986,57.2875,process_tree,3.81,process_tree,612.57
470000,544.38,15.308,8.529,75.2,process_tree,3.8,process_tree,612.2
480000,555.918,18.954,8.282,51.6,process_tree,3.81,process_tree,612.36
490000,567.057,15.236,8.099,85.925,process_tree,3.81,process_tree,612.53
500000,578.048,16.035,6.958,48.0,process_tree,3.85,process_tree,619.31
510000,589.158,15.618,11.148,55.4625,process_tree,3.87,process_tree,622.62
520000,600.548,14.218,6.193,62.6625,process_tree,3.87,process_tree,623.26
530000,611.583,20.944,10.37,55.15,process_tree,3.88,process_tree,623.53
540000,622.978,17.792,11.077,60.85,process_tree,3.88,process_tree,624.09
550000,634.014,24.202,15.365,59.0625,process_tree,3.88,process_tree,624.52
560000,645.008,19.192,12.89,77.4125,process_tree,3.88,process_tree,624.29
570000,656.142,18.068,13.063,48.349999999999994,process_tree,3.88,process_tree,624.74
580000,667.298,25.034,20.303,69.45,process_tree,3.88,process_tree,624.75
590000,678.326,50.94,26.602,62.5625,process_tree,3.88,process_tree,624.71
600000,689.334,30.815,24.276,53.65,process_tree,3.88,process_tree,624.29
610000,700.505,22.878,14.469,62.575,process_tree,3.88,process_tree,624.62
620000,708.979,40.856,38.578,39.425,process_tree,3.89,process_tree,625.21
630000,719.971,65.035,42.822,49.7125,process_tree,3.88,process_tree,624.98
640000,731.154,74.8,37.58,50.175,process_tree,3.88,process_tree,625.0
650000,742.224,100.0,0.0,51.9125,process_tree,3.88,process_tree,624.42
660000,753.388,62.683,44.341,50.175,process_tree,3.88,process_tree,624.5
670000,764.309,86.825,29.882,62.675,process_tree,3.88,process_tree,624.38
680000,775.328,89.136,26.698,69.5,process_tree,3.89,process_tree,625.46
690000,786.377,78.764,33.85,68.05,process_tree,3.89,process_tree,625.3
700000,797.417,84.722,29.384,58.675,process_tree,3.89,process_tree,625.42
710000,808.455,60.841,41.594,30.375,process_tree,3.89,process_tree,625.23
720000,819.948,62.075,43.785,64.7875,process_tree,3.89,process_tree,625.54
730000,830.789,91.869,19.532,64.0375,process_tree,3.89,process_tree,625.22
740000,841.586,92.822,20.302,76.5875,process_tree,3.89,process_tree,625.28
750000,852.917,87.94,29.923,73.01249999999999,process_tree,3.89,process_tree,625.38
760000,864.456,88.983,24.799,46.5375,process_tree,3.89,process_tree,625.15
770000,875.352,93.491,20.584,53.35,process_tree,3.89,process_tree,625.39
780000,886.375,100.0,0.0,65.725,process_tree,3.89,process_tree,625.32
790000,897.364,85.523,34.022,58.65,process_tree,3.89,process_tree,625.35
800000,908.284,63.742,41.102,56.9,process_tree,3.89,process_tree,625.53
810000,919.309,56.735,43.736,48.3625,process_tree,3.89,process_tree,625.73
820000,930.185,39.346,39.811,60.862500000000004,process_tree,3.89,process_tree,625.71
830000,941.979,60.0,41.045,60.85,process_tree,3.89,process_tree,625.91
840000,953.759,77.854,36.859,55.5375,process_tree,3.89,process_tree,625.99
850000,964.713,63.444,31.606,60.475,process_tree,3.89,process_tree,625.55
860000,975.879,68.047,40.977,60.875,process_tree,3.89,process_tree,626.06
870000,986.857,63.329,37.343,50.175,process_tree,3.89,process_tree,626.27
880000,997.842,59.608,42.048,56.8625,process_tree,3.89,process_tree,626.15
890000,1008.54,50.031,35.015,74.8,process_tree,3.89,process_tree,626.03
900000,1019.756,34.738,16.805,75.225,process_tree,3.89,process_tree,626.16
910000,1030.865,69.017,30.144,64.475,process_tree,3.89,process_tree,626.26
920000,1041.835,64.588,29.467,64.375,process_tree,3.89,process_tree,626.34
930000,1052.818,49.593,27.111,50.0875,process_tree,3.89,process_tree,626.19
940000,1064.01,55.669,24.799,59.1125,process_tree,3.89,process_tree,626.01
950000,1074.922,29.807,27.516,53.762499999999996,process_tree,3.89,process_tree,626.43
960000,1086.155,14.306,7.776,67.6375,process_tree,3.89,process_tree,626.38
970000,1097.893,14.364,12.202,69.6875,process_tree,3.89,process_tree,626.21
980000,1109.263,17.053,18.949,44.7875,process_tree,3.89,process_tree,626.41
990000,1120.816,9.666,5.615,73.3,process_tree,3.89,process_tree,626.34
1000000,1131.701,12.544,8.231,64.1125,process_tree,3.89,process_tree,626.05
1010000,1143.162,15.305,6.976,58.7375,process_tree,3.89,process_tree,626.31
1020000,1155.052,15.057,7.282,62.6875,process_tree,3.89,process_tree,626.07
1030000,1166.559,14.363,11.163,89.5375,process_tree,3.89,process_tree,626.11
1040000,1175.008,27.362,23.242,44.8,process_tree,3.89,process_tree,626.34
1050000,1186.069,12.074,11.075,44.8,process_tree,3.89,process_tree,626.61
1060000,1197.396,9.059,4.547,50.175,process_tree,3.9,process_tree,626.78
1070000,1208.776,14.497,7.88,50.175,process_tree,3.89,process_tree,626.29
1080000,1219.741,13.519,14.418,49.7125,process_tree,3.9,process_tree,626.79
1090000,1230.792,12.416,8.167,52.0625,process_tree,3.89,process_tree,626.57
1100000,1241.736,14.711,15.217,56.85,process_tree,3.89,process_tree,626.67
1110000,1252.953,16.703,9.54,51.9125,process_tree,3.89,process_tree,626.5
1120000,1263.962,45.178,40.726,55.5375,process_tree,3.89,process_tree,626.44
1130000,1275.002,37.003,27.284,47.95,process_tree,3.89,process_tree,626.53
1140000,1286.053,22.443,19.783,60.85,process_tree,3.89,process_tree,626.5
1150000,1297.044,28.679,32.736,51.525,process_tree,3.89,process_tree,626.39
1160000,1307.874,34.803,29.237,51.925,process_tree,3.89,process_tree,626.48
1170000,1319.016,17.247,15.301,41.2125,process_tree,3.89,process_tree,626.71
1180000,1329.896,28.625,25.821,46.5625,process_tree,3.89,process_tree,626.49
1190000,1340.803,20.213,14.427,75.225,process_tree,3.9,process_tree,626.88
1200000,1351.936,17.559,9.123,59.05,process_tree,3.89,process_tree,626.71
1210000,1363.171,21.324,10.773,58.7375,process_tree,3.89,process_tree,626.64
1220000,1373.852,18.275,10.521,62.6625,process_tree,3.9,process_tree,626.83
1230000,1384.841,16.36,8.922,69.5,process_tree,3.89,process_tree,626.19
1240000,1395.979,29.542,20.145,55.5375,process_tree,3.9,process_tree,626.78
1250000,1406.997,46.392,21.584,74.6125,process_tree,3.89,process_tree,626.28
1260000,1418.779,75.6,26.207,46.5625,process_tree,3.89,process_tree,626.2
1270000,1429.373,49.111,34.629,65.8125,process_tree,3.89,process_tree,626.59
1280000,1440.481,29.38,19.916,32.25,process_tree,3.89,process_tree,626.34
1290000,1451.542,17.843,9.943,76.5875,process_tree,3.89,process_tree,626.63
1300000,1462.99,19.704,11.321,81.725,process_tree,3.89,process_tree,626.6
1310000,1474.128,20.805,9.116,74.2,process_tree,3.89,process_tree,626.11
1320000,1484.928,27.423,12.081,60.925,process_tree,3.89,process_tree,626.08
1330000,1496.282,22.446,9.64,59.0375,process_tree,3.89,process_tree,626.33
1340000,1507.242,21.26,10.259,43.7375,process_tree,3.89,process_tree,626.32
1350000,1518.445,17.133,5.616,57.2875,process_tree,3.89,process_tree,626.22
1360000,1529.669,18.423,8.889,50.137499999999996,process_tree,3.89,process_tree,626.41
1370000,1540.663,14.462,5.036,56.925000000000004,process_tree,3.89,process_tree,626.54
1380000,1551.522,11.773,4.464,57.2,process_tree,3.89,process_tree,625.89
1390000,1562.631,11.303,4.272,48.325,process_tree,3.89,process_tree,626.26
1400000,1574.12,12.875,5.45,63.9625,process_tree,3.89,process_tree,626.33
1410000,1584.866,15.446,5.539,51.5375,process_tree,3.89,process_tree,626.53
1420000,1596.061,14.266,5.761,46.5875,process_tree,3.89,process_tree,626.0
1430000,1607.082,15.523,4.909,77.275,process_tree,3.89,process_tree,626.32
1440000,1618.102,18.146,6.989,59.099999999999994,process_tree,3.89,process_tree,626.42
1450000,1629.337,16.404,6.4,44.4,process_tree,3.89,process_tree,626.44
1460000,1640.385,16.579,3.903,69.85,process_tree,3.89,process_tree,625.88
1470000,1651.777,13.693,5.249,73.26249999999999,process_tree,3.89,process_tree,625.96
1480000,1663.23,16.463,6.567,61.324999999999996,process_tree,3.89,process_tree,626.12
1490000,1674.521,21.683,9.816,59.05,process_tree,3.89,process_tree,625.8
1500000,1685.776,28.481,14.557,48.387499999999996,process_tree,3.89,process_tree,625.56
1510000,1694.675,27.342,17.395,51.9625,process_tree,3.89,process_tree,626.32
1520000,1705.852,21.273,13.727,48.375,process_tree,3.89,process_tree,626.03
1530000,1719.042,28.069,12.456,47.9375,process_tree,3.89,process_tree,626.06
1540000,1729.784,46.638,21.273,41.2125,process_tree,3.89,process_tree,625.89
1550000,1740.84,44.032,26.591,33.7375,process_tree,3.89,process_tree,625.84
1560000,1755.279,39.345,22.219,58.675,process_tree,3.89,process_tree,626.44
1570000,1768.885,50.206,39.742,62.65,process_tree,3.43,process_tree,551.55
1580000,1782.626,68.788,22.214,71.63749999999999,process_tree,3.43,process_tree,551.98
1590000,1795.892,28.563,16.98,62.675,process_tree,3.43,process_tree,551.97
1600000,1808.895,14.585,4.14,62.525,process_tree,3.43,process_tree,551.88
1610000,1822.212,12.466,2.729,49.775,process_tree,3.43,process_tree,551.93
1620000,1835.405,11.925,3.575,67.425,process_tree,3.43,process_tree,551.8
1630000,1847.402,12.738,3.438,37.6125,process_tree,3.43,process_tree,552.13
1640000,1858.546,13.313,3.307,53.35,process_tree,3.43,process_tree,551.98
1650000,1869.625,17.207,4.305,73.8375,process_tree,3.43,process_tree,552.02
1660000,1881.106,18.654,6.196,42.974999999999994,process_tree,3.43,process_tree,551.86
1670000,1892.138,21.091,9.472,50.15,process_tree,3.43,process_tree,552.21
1680000,1903.26,16.673,7.405,57.2625,process_tree,3.43,process_tree,552.22
1690000,1914.284,12.275,4.123,56.9375,process_tree,3.43,process_tree,552.24
1700000,1925.658,10.961,2.581,47.962500000000006,process_tree,3.43,process_tree,551.91
1710000,1937.075,11.905,2.143,55.412499999999994,process_tree,3.43,process_tree,551.68
1720000,1948.42,11.168,4.002,49.725,process_tree,3.43,process_tree,551.98
1730000,1959.618,13.107,1.884,51.525,process_tree,3.43,process_tree,551.9
1740000,1970.804,9.941,3.757,59.1125,process_tree,3.43,process_tree,551.77
1750000,1982.173,11.679,1.93,60.5,process_tree,3.43,process_tree,552.07
1760000,1993.958,13.001,2.371,62.275,process_tree,3.43,process_tree,551.9
1770000,2005.26,12.886,2.938,51.9625,process_tree,3.43,process_tree,552.11
1780000,2016.759,10.794,3.342,46.574999999999996,process_tree,3.43,process_tree,552.17
1790000,2027.956,11.07,2.921,73.0875,process_tree,3.43,process_tree,552.1
1800000,2039.158,11.29,2.464,64.3625,process_tree,3.43,process_tree,551.91
1810000,2050.553,11.305,2.175,66.2375,process_tree,3.43,process_tree,551.56
1820000,2062.085,10.614,3.45,64.10000000000001,process_tree,2.31,process_tree,371.62
1830000,2073.208,10.453,2.722,65.875,process_tree,2.31,process_tree,371.47
1840000,2084.237,9.834,2.503,51.925,process_tree,2.31,process_tree,371.36
1850000,2095.493,9.977,1.983,69.2625,process_tree,2.31,process_tree,371.59
1860000,2106.56,9.032,2.567,46.574999999999996,process_tree,2.31,process_tree,371.43
1870000,2117.861,9.876,1.638,60.425000000000004,process_tree,2.31,process_tree,371.45
1880000,2128.939,9.053,2.425,62.599999999999994,process_tree,2.31,process_tree,371.65
1890000,2140.058,9.7,2.447,62.25,process_tree,2.31,process_tree,371.28
1900000,2151.192,9.134,2.341,59.7625,process_tree,2.31,process_tree,371.46
1910000,2162.319,9.341,1.514,55.5,process_tree,2.31,process_tree,371.45
1920000,2173.923,9.189,1.712,66.275,process_tree,2.31,process_tree,371.63
1930000,2184.971,8.857,2.297,63.275,process_tree,2.31,process_tree,371.54
1940000,2196.087,9.766,2.877,49.725,process_tree,2.31,process_tree,371.5
1950000,2207.061,10.126,2.235,60.824999999999996,process_tree,2.31,process_tree,371.64
1960000,2218.224,10.498,1.805,73.44999999999999,process_tree,2.31,process_tree,371.48
1970000,2229.548,9.264,3.102,55.4875,process_tree,2.31,process_tree,371.17
1980000,2240.772,10.329,1.711,50.15,process_tree,2.31,process_tree,371.71
1990000,2251.774,9.876,1.433,49.1125,process_tree,2.31,process_tree,371.58
2000000,2260.878,10.251,2.592,51.9625,process_tree,2.31,process_tree,371.93
2010000,2271.903,10.241,2.917,39.425,process_tree,2.31,process_tree,371.75
2020000,2283.165,9.491,2.819,56.8125,process_tree,2.31,process_tree,371.8
2030000,2294.684,8.919,3.258,44.775,process_tree,2.31,process_tree,371.82
2040000,2305.875,9.766,1.593,44.4,process_tree,2.31,process_tree,371.84
2050000,2317.69,8.852,2.421,43.0,process_tree,2.31,process_tree,372.11
2060000,2328.668,8.736,2.809,67.65,process_tree,2.31,process_tree,371.98
2070000,2340.025,8.985,2.345,48.375,process_tree,2.31,process_tree,372.01
2080000,2351.209,8.218,2.746,44.3875,process_tree,2.31,process_tree,372.04
2090000,2362.574,8.596,2.381,60.8,process_tree,2.28,process_tree,367.41
2100000,2373.722,9.429,2.343,73.4625,process_tree,2.28,process_tree,367.46
2110000,2385.046,8.801,2.748,49.5,process_tree,2.28,process_tree,367.44
2120000,2396.097,9.7,1.888,64.4875,process_tree,2.28,process_tree,366.89
2130000,2407.263,9.968,2.306,57.275,process_tree,2.28,process_tree,367.04
2140000,2418.668,10.03,2.521,55.525,process_tree,2.28,process_tree,367.23
2150000,2429.764,9.611,1.99,51.949999999999996,process_tree,2.28,process_tree,367.16
2160000,2440.768,9.498,2.998,56.4,process_tree,2.28,process_tree,367.26
2170000,2451.849,10.606,1.388,53.2875,process_tree,2.28,process_tree,366.6
2180000,2463.01,10.027,2.657,68.0375,process_tree,2.28,process_tree,367.19
2190000,2474.322,10.26,1.851,67.875,process_tree,2.28,process_tree,367.22
2200000,2485.264,9.862,2.368,55.425,process_tree,2.28,process_tree,367.36
2210000,2496.351,10.219,2.426,57.2875,process_tree,2.28,process_tree,367.07
2220000,2507.414,10.531,2.329,58.6875,process_tree,2.28,process_tree,367.03
2230000,2518.633,10.977,2.865,59.025,process_tree,2.28,process_tree,366.97
2240000,2529.96,11.422,1.957,90.925,process_tree,2.28,process_tree,367.07
2250000,2541.282,10.87,2.241,44.4375,process_tree,2.28,process_tree,366.94
2260000,2552.436,10.541,3.231,68.0625,process_tree,2.28,process_tree,366.85
2270000,2563.765,12.007,2.281,53.7375,process_tree,2.28,process_tree,366.49
2280000,2574.846,12.893,3.297,46.5375,process_tree,2.28,process_tree,366.81
2290000,2585.995,14.863,2.446,63.4,process_tree,2.28,process_tree,367.07
2300000,2598.805,14.313,3.703,57.3125,process_tree,2.28,process_tree,366.77
2310000,2610.799,14.301,2.185,47.425000000000004,process_tree,2.28,process_tree,367.0
2320000,2622.105,13.714,3.384,44.775,process_tree,2.28,process_tree,366.8
2330000,2633.186,14.526,3.611,60.375,process_tree,2.28,process_tree,366.67
2340000,2644.254,14.156,2.611,58.4,process_tree,2.28,process_tree,366.75
2350000,2655.644,14.534,1.859,67.9375,process_tree,2.28,process_tree,366.53
2360000,2667.203,13.404,2.662,58.7375,process_tree,2.18,process_tree,351.39
2370000,2678.364,12.326,2.177,42.675000000000004,process_tree,2.18,process_tree,351.21
2380000,2689.401,12.387,2.934,51.9625,process_tree,2.18,process_tree,351.34
2390000,2700.487,12.214,2.742,51.5375,process_tree,2.18,process_tree,351.2
2400000,2711.743,12.697,3.081,46.175,process_tree,2.18,process_tree,351.18
2410000,2723.106,12.058,2.192,55.1,process_tree,2.18,process_tree,351.02
2420000,2734.187,12.158,2.273,48.325,process_tree,2.18,process_tree,351.17
2430000,2746.266,11.396,2.359,71.45,process_tree,2.18,process_tree,351.38
2440000,2757.346,11.074,2.554,64.4625,process_tree,2.18,process_tree,351.25
2450000,2768.6,11.14,3.52,69.5,process_tree,2.18,process_tree,350.83
2460000,2780.076,12.465,3.063,30.2375,process_tree,2.19,process_tree,351.69
2470000,2791.21,12.449,3.7,64.05,process_tree,2.18,process_tree,351.24
2480000,2802.26,13.665,4.023,75.2,process_tree,2.18,process_tree,351.39
2490000,2813.304,14.893,2.509,47.675,process_tree,2.18,process_tree,351.34
2500000,2821.785,15.581,4.158,48.375,process_tree,2.19,process_tree,351.8
2510000,2834.113,14.658,3.65,47.9375,process_tree,2.18,process_tree,351.18
2520000,2845.355,14.852,1.719,50.175,process_tree,2.19,process_tree,351.59
2530000,2856.21,13.366,3.267,62.25,process_tree,2.18,process_tree,351.41
2540000,2868.201,15.119,2.597,46.5875,process_tree,2.19,process_tree,351.82
2550000,2879.397,16.143,2.991,57.3375,process_tree,2.19,process_tree,351.73
2560000,2891.138,14.932,4.952,60.787499999999994,process_tree,2.19,process_tree,351.65
