step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,83.8,system,
10000,11.112,0.752,0.506,21.35,process_tree,3.79,process_tree,610.27
20000,17.452,0.766,0.506,17.9125,process_tree,3.95,process_tree,635.29
30000,23.974,0.749,0.486,33.925,process_tree,4.08,process_tree,656.73
40000,31.052,0.752,0.464,28.612499999999997,process_tree,4.23,process_tree,681.21
50000,37.358,0.751,0.462,53.7125,process_tree,4.37,process_tree,703.03
60000,44.087,0.774,0.511,21.474999999999998,process_tree,4.5,process_tree,723.67
70000,51.001,0.764,0.494,44.724999999999994,process_tree,4.63,process_tree,744.76
80000,57.193,0.738,0.479,33.9875,process_tree,4.8,process_tree,771.75
90000,63.475,0.722,0.494,14.2125,process_tree,4.93,process_tree,792.62
100000,70.952,0.742,0.487,23.2,process_tree,5.04,process_tree,810.54
110000,76.762,0.772,0.514,25.5875,process_tree,5.17,process_tree,832.42
120000,83.944,0.744,0.482,17.9,process_tree,5.32,process_tree,856.42
130000,90.3,0.736,0.477,26.7625,process_tree,5.44,process_tree,875.93
140000,96.762,0.752,0.47,26.825,process_tree,5.57,process_tree,895.86
150000,103.84,0.734,0.429,16.0,process_tree,5.7,process_tree,917.72
160000,111.207,0.758,0.461,14.225,process_tree,5.84,process_tree,939.39
170000,119.126,0.763,0.503,30.224999999999998,process_tree,5.98,process_tree,961.86
180000,125.402,0.739,0.491,37.45,process_tree,6.11,process_tree,982.88
190000,131.478,0.774,0.511,17.8125,process_tree,6.25,process_tree,1005.24
200000,224.988,0.811,0.549,16.0125,process_tree,4.67,process_tree,751.76
210000,231.186,0.843,0.579,14.275,process_tree,4.59,process_tree,737.98
220000,237.704,0.85,0.587,26.775,process_tree,4.59,process_tree,738.21
230000,243.844,0.841,0.596,17.8,process_tree,4.62,process_tree,743.46
240000,250.438,0.835,0.539,37.5875,process_tree,4.68,process_tree,752.42
250000,256.927,0.832,0.539,17.85,process_tree,4.73,process_tree,761.49
260000,265.963,0.834,0.56,28.5625,process_tree,4.79,process_tree,771.32
270000,272.06,0.858,0.586,16.075000000000003,process_tree,4.84,process_tree,778.47
280000,278.465,0.912,0.615,21.3875,process_tree,4.96,process_tree,798.6
