step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,73.2,system,
10000,12.56,1.068,0.667,17.9,process_tree,3.76,process_tree,604.54
20000,23.22,1.257,0.758,16.125,process_tree,3.78,process_tree,608.26
30000,33.76,1.155,0.693,14.2125,process_tree,3.78,process_tree,608.21
40000,42.033,1.219,0.772,21.4625,process_tree,3.78,process_tree,608.59
50000,52.327,1.275,0.782,19.650000000000002,process_tree,3.78,process_tree,608.45
60000,62.417,1.493,0.862,25.0625,process_tree,3.78,process_tree,608.11
70000,71.906,1.568,0.883,16.1,process_tree,3.78,process_tree,608.32
80000,82.011,1.669,0.933,16.1,process_tree,3.78,process_tree,608.39
90000,91.981,1.747,1.037,14.325,process_tree,3.78,process_tree,608.36
100000,100.067,1.956,1.0,14.2125,process_tree,3.78,process_tree,608.46
110000,109.887,1.974,1.119,21.474999999999998,process_tree,3.78,process_tree,608.67
120000,120.0,2.032,1.092,23.174999999999997,process_tree,3.78,process_tree,608.38
130000,130.393,2.083,1.142,23.075,process_tree,3.78,process_tree,608.75
140000,138.228,2.254,1.36,14.325,process_tree,3.79,process_tree,609.19
150000,148.128,2.41,1.408,19.6875,process_tree,3.79,process_tree,609.14
160000,158.327,2.518,1.366,33.925,process_tree,3.79,process_tree,609.09
170000,166.071,2.617,1.764,24.975,process_tree,3.79,process_tree,609.45
180000,175.986,2.778,1.684,10.65,process_tree,3.79,process_tree,609.26
190000,186.77,3.064,1.876,17.787499999999998,process_tree,3.79,process_tree,609.17
200000,194.823,3.18,1.924,37.5,process_tree,3.79,process_tree,609.65
210000,205.225,3.19,2.064,16.125,process_tree,3.79,process_tree,609.38
220000,214.801,3.054,1.941,14.325,process_tree,3.79,process_tree,609.15
230000,222.633,3.213,2.112,14.2125,process_tree,3.79,process_tree,609.43
240000,232.344,3.587,2.411,32.0875,process_tree,3.79,process_tree,609.43
250000,241.969,3.728,2.572,23.25,process_tree,3.79,process_tree,609.05
260000,252.187,4.035,2.925,19.5875,process_tree,3.79,process_tree,609.2
270000,260.303,3.567,2.721,19.675,process_tree,3.79,process_tree,609.44
280000,269.872,4.711,3.046,42.9375,process_tree,3.79,process_tree,609.39
290000,279.491,4.54,3.564,17.8625,process_tree,3.79,process_tree,609.45
300000,287.1,4.494,3.69,12.5375,process_tree,3.79,process_tree,609.54
310000,296.875,5.216,4.074,17.875,process_tree,3.79,process_tree,609.75
320000,306.911,4.974,4.501,41.162499999999994,process_tree,3.79,process_tree,610.38
330000,314.297,5.908,5.653,44.5625,process_tree,3.8,process_tree,610.69
340000,323.665,7.532,6.878,17.875,process_tree,3.8,process_tree,611.26
350000,333.143,7.37,6.039,19.650000000000002,process_tree,3.8,process_tree,611.33
360000,340.668,7.529,6.059,25.012500000000003,process_tree,3.8,process_tree,611.09
370000,350.49,8.033,7.826,44.6875,process_tree,3.8,process_tree,611.23
380000,360.119,9.614,8.442,16.025,process_tree,3.8,process_tree,611.24
390000,368.005,9.08,9.151,44.8,process_tree,3.8,process_tree,611.37
400000,377.821,9.77,10.328,58.675,process_tree,3.81,process_tree,612.61
410000,387.475,13.384,12.715,14.325,process_tree,3.81,process_tree,612.73
420000,394.846,10.244,9.558,50.175,process_tree,3.81,process_tree,613.18
430000,404.916,10.471,13.039,42.9625,process_tree,3.81,process_tree,613.0
440000,414.979,22.471,25.07,64.425,process_tree,3.81,process_tree,612.7
450000,423.029,19.573,20.621,12.425,process_tree,3.81,process_tree,612.86
460000,433.01,14.005,18.376,25.049999999999997,process_tree,3.81,process_tree,613.14
470000,442.8,20.77,22.608,30.325,process_tree,3.82,process_tree,614.08
480000,451.002,19.896,23.973,44.8,process_tree,3.82,process_tree,614.07
490000,461.229,17.302,21.753,55.525,process_tree,3.82,process_tree,613.91
500000,471.07,16.621,18.553,14.2375,process_tree,3.85,process_tree,619.83
510000,480.876,29.631,21.156,55.8125,process_tree,3.88,process_tree,624.15
520000,489.167,24.41,22.727,25.0625,process_tree,3.88,process_tree,624.98
530000,499.502,28.349,27.751,78.8,process_tree,3.89,process_tree,625.45
