step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,81.5,system,
10000,10.738,1.184,0.706,60.425000000000004,process_tree,3.79,process_tree,610.33
20000,17.665,1.16,0.746,58.6625,process_tree,3.95,process_tree,635.23
30000,25.181,1.142,0.707,46.55,process_tree,4.08,process_tree,656.94
40000,32.377,1.158,0.714,47.9875,process_tree,4.23,process_tree,680.41
50000,40.187,1.132,0.743,66.875,process_tree,4.35,process_tree,699.82
60000,47.513,1.194,0.743,55.55,process_tree,4.5,process_tree,724.21
70000,54.867,1.237,0.785,55.074999999999996,process_tree,4.63,process_tree,744.79
80000,61.818,1.191,0.698,69.8625,process_tree,4.76,process_tree,765.44
90000,69.148,1.211,0.732,48.349999999999994,process_tree,4.89,process_tree,787.2
100000,76.064,1.146,0.671,54.0375,process_tree,5.03,process_tree,809.07
110000,83.201,1.192,0.776,53.7375,process_tree,5.17,process_tree,831.54
120000,90.585,1.176,0.728,55.1,process_tree,5.32,process_tree,855.54
130000,97.65,1.168,0.707,55.525,process_tree,5.43,process_tree,874.31
140000,104.841,1.186,0.739,51.925,process_tree,5.56,process_tree,894.59
150000,112.412,1.256,0.796,66.1875,process_tree,5.7,process_tree,916.8
160000,119.552,1.176,0.696,46.225,process_tree,5.83,process_tree,937.99
170000,126.856,1.187,0.699,73.475,process_tree,5.97,process_tree,960.34
180000,133.76,1.261,0.728,62.1375,process_tree,6.1,process_tree,981.71
190000,140.882,1.199,0.712,49.7125,process_tree,6.24,process_tree,1003.66
200000,148.216,1.196,0.732,62.5625,process_tree,6.37,process_tree,1025.61
210000,155.186,1.124,0.671,43.2875,process_tree,6.51,process_tree,1047.1
220000,162.398,1.108,0.697,69.8375,process_tree,6.64,process_tree,1069.15
230000,169.513,1.25,0.791,51.949999999999996,process_tree,6.77,process_tree,1089.99
240000,176.779,1.217,0.777,47.9875,process_tree,6.91,process_tree,1111.31
250000,184.208,1.17,0.691,64.1125,process_tree,7.04,process_tree,1133.59
260000,191.325,1.246,0.831,48.349999999999994,process_tree,7.18,process_tree,1154.7
270000,198.227,1.144,0.727,55.512499999999996,process_tree,7.32,process_tree,1177.18
280000,205.525,1.221,0.802,60.887499999999996,process_tree,7.45,process_tree,1198.93
290000,212.531,1.105,0.673,62.5625,process_tree,7.58,process_tree,1220.35
300000,219.987,1.186,0.714,68.05,process_tree,7.72,process_tree,1241.99
310000,227.862,1.194,0.715,59.075,process_tree,7.86,process_tree,1264.21
320000,235.011,1.168,0.702,50.137499999999996,process_tree,7.99,process_tree,1285.86
330000,242.001,1.182,0.717,62.150000000000006,process_tree,8.12,process_tree,1306.98
340000,249.214,1.167,0.718,71.175,process_tree,8.26,process_tree,1329.14
350000,256.181,1.194,0.773,51.93749999999999,process_tree,8.4,process_tree,1350.93
360000,263.353,1.091,0.611,44.775,process_tree,8.53,process_tree,1372.27
370000,270.345,1.144,0.709,53.3625,process_tree,8.66,process_tree,1393.35
380000,278.781,1.197,0.714,74.71249999999999,process_tree,8.8,process_tree,1415.59
390000,286.019,1.234,0.688,59.099999999999994,process_tree,8.93,process_tree,1437.16
400000,293.706,1.195,0.701,55.2,process_tree,9.07,process_tree,1459.15
410000,300.721,1.201,0.728,76.625,process_tree,9.2,process_tree,1480.74
420000,308.708,1.199,0.784,62.275,process_tree,9.33,process_tree,1502.02
430000,315.997,1.173,0.725,51.537499999999994,process_tree,9.47,process_tree,1524.45
440000,611.952,1.165,0.74,81.625,process_tree,5.13,process_tree,825.35
450000,618.622,1.329,0.799,56.8625,process_tree,4.79,process_tree,770.34
460000,625.816,1.321,0.867,45.5375,process_tree,4.7,process_tree,755.92
470000,632.792,1.299,0.875,62.2625,process_tree,4.71,process_tree,757.4
480000,640.049,1.375,0.877,53.3,process_tree,4.73,process_tree,761.3
490000,647.251,1.386,0.868,53.3125,process_tree,4.8,process_tree,771.95
500000,654.284,1.347,0.859,32.25,process_tree,4.87,process_tree,783.26
510000,661.606,1.465,1.031,50.125,process_tree,5.0,process_tree,804.54
520000,668.805,1.389,0.901,55.1875,process_tree,5.11,process_tree,822.45
530000,675.87,1.386,0.971,76.4125,process_tree,5.29,process_tree,851.57
540000,682.952,1.384,0.938,60.787499999999994,process_tree,5.41,process_tree,871.21
550000,690.384,1.336,0.864,87.77499999999999,process_tree,5.52,process_tree,887.74
560000,697.648,1.322,0.837,48.3625,process_tree,5.66,process_tree,911.45
570000,704.587,1.441,0.97,71.2125,process_tree,5.52,process_tree,888.77
580000,711.969,1.371,0.818,50.3625,process_tree,5.65,process_tree,909.85
590000,718.918,1.345,0.847,55.425,process_tree,5.79,process_tree,932.37
600000,725.802,1.378,0.846,42.625,process_tree,5.92,process_tree,953.14
610000,733.008,1.417,0.945,50.162499999999994,process_tree,6.06,process_tree,975.65
620000,740.179,1.438,0.876,56.9625,process_tree,6.19,process_tree,996.74
630000,747.268,1.364,0.8,53.7375,process_tree,6.33,process_tree,1018.79
640000,754.131,1.3,0.831,55.050000000000004,process_tree,6.46,process_tree,1040.05
650000,761.201,1.434,0.991,64.3875,process_tree,6.6,process_tree,1061.29
660000,768.33,1.409,0.98,53.6375,process_tree,6.73,process_tree,1083.54
670000,775.78,1.318,0.825,67.625,process_tree,6.87,process_tree,1105.41
680000,782.631,1.37,0.964,64.475,process_tree,7.0,process_tree,1127.08
690000,789.656,1.347,0.905,71.52499999999999,process_tree,7.14,process_tree,1148.58
700000,796.508,1.255,0.821,55.5,process_tree,7.27,process_tree,1170.29
710000,803.865,1.32,0.907,55.1,process_tree,7.41,process_tree,1191.97
720000,810.666,1.427,1.019,55.1375,process_tree,7.54,process_tree,1213.95
730000,818.418,1.332,0.9,64.15,process_tree,7.68,process_tree,1235.29
740000,825.447,1.31,0.888,56.225,process_tree,7.81,process_tree,1256.7
750000,832.596,1.27,0.795,50.162499999999994,process_tree,7.95,process_tree,1278.44
760000,839.446,1.431,0.898,66.1625,process_tree,8.08,process_tree,1299.72
770000,846.485,1.374,0.878,54.575,process_tree,8.21,process_tree,1321.5
