step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,83.0,system,
10000,14.002,1.051,0.638,53.7375,process_tree,3.79,process_tree,610.04
20000,21.31,1.089,0.699,66.3,process_tree,3.94,process_tree,633.88
30000,29.107,1.081,0.721,73.2875,process_tree,4.08,process_tree,656.8
40000,36.554,1.049,0.655,59.1125,process_tree,4.21,process_tree,677.91
50000,44.151,1.038,0.708,53.6625,process_tree,4.35,process_tree,699.69
60000,51.371,1.102,0.705,75.0125,process_tree,4.5,process_tree,724.07
70000,58.905,1.079,0.694,53.3,process_tree,4.63,process_tree,745.02
80000,65.901,1.081,0.762,82.3625,process_tree,4.76,process_tree,765.45
90000,73.501,1.049,0.68,71.2375,process_tree,4.9,process_tree,787.82
100000,80.539,1.051,0.711,55.0875,process_tree,5.04,process_tree,810.88
110000,87.897,1.07,0.691,51.949999999999996,process_tree,5.19,process_tree,834.75
120000,95.211,1.054,0.629,71.225,process_tree,5.3,process_tree,852.06
130000,102.669,1.07,0.666,51.4875,process_tree,5.42,process_tree,872.55
140000,109.835,1.082,0.661,64.64999999999999,process_tree,5.56,process_tree,894.55
150000,117.382,1.055,0.697,53.662499999999994,process_tree,5.69,process_tree,915.91
160000,124.415,1.052,0.68,69.2875,process_tree,5.83,process_tree,938.41
170000,131.639,1.138,0.696,57.31249999999999,process_tree,5.96,process_tree,959.03
180000,138.659,1.041,0.657,47.9875,process_tree,6.1,process_tree,981.29
190000,145.828,1.084,0.737,62.637499999999996,process_tree,6.23,process_tree,1002.71
200000,153.441,1.059,0.669,66.225,process_tree,6.37,process_tree,1025.09
210000,160.961,1.076,0.712,65.8375,process_tree,6.5,process_tree,1046.61
220000,168.159,1.081,0.627,56.9,process_tree,6.64,process_tree,1068.16
230000,175.449,1.068,0.697,64.3625,process_tree,6.77,process_tree,1089.85
240000,182.666,1.059,0.65,65.725,process_tree,6.9,process_tree,1110.89
250000,190.229,1.024,0.649,75.2,process_tree,7.04,process_tree,1133.11
260000,197.228,1.12,0.711,71.5875,process_tree,7.18,process_tree,1154.96
270000,204.363,1.003,0.609,69.6875,process_tree,7.31,process_tree,1176.39
280000,211.61,1.064,0.682,84.19999999999999,process_tree,7.45,process_tree,1198.66
290000,218.871,1.052,0.687,53.762499999999996,process_tree,7.59,process_tree,1220.63
300000,226.168,1.046,0.613,53.275,process_tree,7.72,process_tree,1241.43
310000,233.87,1.047,0.595,50.162499999999994,process_tree,7.85,process_tree,1263.57
320000,241.45,1.067,0.647,47.4625,process_tree,7.98,process_tree,1284.71
330000,248.493,1.023,0.708,64.3875,process_tree,8.12,process_tree,1307.1
340000,255.652,1.059,0.66,60.4,process_tree,8.26,process_tree,1328.34
350000,262.631,1.108,0.665,51.6125,process_tree,8.39,process_tree,1350.8
360000,269.817,1.115,0.719,51.9625,process_tree,8.53,process_tree,1372.34
370000,276.896,1.04,0.66,50.175,process_tree,8.66,process_tree,1394.21
380000,284.271,1.119,0.746,69.85,process_tree,8.8,process_tree,1415.68
390000,292.963,1.072,0.733,56.887499999999996,process_tree,8.93,process_tree,1436.32
400000,300.739,1.047,0.608,50.15,process_tree,9.07,process_tree,1458.74
410000,307.838,1.11,0.696,60.4625,process_tree,9.2,process_tree,1480.78
420000,315.348,1.053,0.628,50.1625,process_tree,9.34,process_tree,1502.32
430000,322.339,1.05,0.657,49.8625,process_tree,9.47,process_tree,1523.93
440000,329.501,1.04,0.643,80.175,process_tree,9.61,process_tree,1545.72
450000,567.685,1.043,0.664,42.95,process_tree,5.17,process_tree,831.37
460000,574.509,1.264,0.776,65.8625,process_tree,4.89,process_tree,787.34
470000,581.748,1.228,0.739,51.5125,process_tree,4.8,process_tree,772.82
480000,589.13,1.233,0.812,65.8625,process_tree,4.76,process_tree,766.05
490000,596.411,1.197,0.809,68.05,process_tree,4.82,process_tree,775.12
500000,603.508,1.231,0.835,60.537499999999994,process_tree,4.91,process_tree,790.51
510000,610.94,1.325,0.836,48.3625,process_tree,4.98,process_tree,800.7
520000,617.97,1.232,0.741,39.375,process_tree,5.08,process_tree,817.33
530000,625.24,1.265,0.84,44.8,process_tree,5.18,process_tree,834.05
540000,632.324,1.197,0.715,63.8625,process_tree,5.29,process_tree,851.05
550000,639.615,1.239,0.786,55.512499999999996,process_tree,5.39,process_tree,867.32
560000,646.882,1.168,0.758,71.2125,process_tree,5.55,process_tree,893.64
570000,653.77,1.239,0.824,71.3375,process_tree,5.67,process_tree,912.6
580000,661.04,1.178,0.705,42.625,process_tree,5.53,process_tree,890.04
590000,668.267,1.285,0.833,55.512499999999996,process_tree,5.67,process_tree,911.58
600000,675.356,1.231,0.848,78.43749999999999,process_tree,5.8,process_tree,933.59
610000,682.308,1.198,0.8,73.4625,process_tree,5.93,process_tree,954.3
620000,689.804,1.204,0.859,68.025,process_tree,6.07,process_tree,976.79
630000,696.693,1.218,0.742,80.44999999999999,process_tree,6.2,process_tree,997.72
640000,704.245,1.23,0.818,81.175,process_tree,6.34,process_tree,1019.82
650000,711.313,1.211,0.791,62.68749999999999,process_tree,6.47,process_tree,1041.61
660000,718.531,1.251,0.842,51.9375,process_tree,6.61,process_tree,1063.8
670000,725.862,1.163,0.768,66.2,process_tree,6.74,process_tree,1085.03
680000,733.058,1.193,0.798,50.1625,process_tree,6.87,process_tree,1106.19
