step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,74.7,system,
10000,13.366,0.963,0.642,44.4375,process_tree,3.82,process_tree,614.1
20000,22.774,1.104,0.695,26.8625,process_tree,3.84,process_tree,617.59
30000,31.976,1.189,0.798,19.6875,process_tree,3.84,process_tree,617.98
40000,40.703,1.236,0.722,23.275,process_tree,3.84,process_tree,618.55
50000,49.2,1.463,0.915,30.337500000000002,process_tree,3.84,process_tree,618.48
60000,57.854,1.737,0.979,55.512499999999996,process_tree,3.84,process_tree,618.41
70000,66.687,1.975,1.188,17.85,process_tree,3.84,process_tree,618.22
80000,75.566,2.33,1.538,19.6875,process_tree,3.84,process_tree,618.57
90000,84.839,2.757,1.825,26.674999999999997,process_tree,3.84,process_tree,618.39
100000,93.712,3.19,2.247,47.9875,process_tree,3.84,process_tree,618.3
110000,102.825,4.007,3.262,42.9375,process_tree,3.84,process_tree,618.34
120000,109.432,4.712,3.993,44.7875,process_tree,3.85,process_tree,619.09
130000,118.184,7.919,7.313,39.425,process_tree,3.84,process_tree,618.61
140000,127.003,10.891,11.058,33.7375,process_tree,3.85,process_tree,619.12
150000,136.413,16.398,15.924,42.6125,process_tree,3.85,process_tree,618.95
160000,145.194,40.415,33.515,43.0,process_tree,3.85,process_tree,619.09
170000,153.555,31.8,27.684,48.375,process_tree,3.85,process_tree,619.33
180000,162.088,71.458,31.283,39.0625,process_tree,3.85,process_tree,619.59
190000,170.511,54.138,39.604,48.375,process_tree,3.85,process_tree,619.12
200000,179.017,72.071,38.223,50.175,process_tree,3.85,process_tree,619.21
210000,187.779,87.946,27.584,50.175,process_tree,3.85,process_tree,619.2
220000,196.183,100.0,0.0,48.375,process_tree,3.85,process_tree,619.09
230000,204.85,100.0,0.0,44.3875,process_tree,3.85,process_tree,619.28
240000,213.226,100.0,0.0,39.425,process_tree,3.85,process_tree,619.35
250000,221.922,100.0,0.0,42.6125,process_tree,3.85,process_tree,619.34
260000,230.311,100.0,0.0,37.625,process_tree,3.85,process_tree,619.2
