step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,71.4,system,
10000,14.055,1.138,0.667,55.525,process_tree,3.8,process_tree,612.03
20000,24.403,1.199,0.684,73.025,process_tree,3.82,process_tree,615.45
30000,34.387,1.274,0.779,30.4625,process_tree,3.83,process_tree,615.61
40000,46.518,1.35,0.798,55.1625,process_tree,3.82,process_tree,615.04
50000,56.337,1.442,0.866,64.1875,process_tree,3.82,process_tree,615.14
60000,66.278,1.613,0.924,31.975,process_tree,3.83,process_tree,616.14
70000,78.082,1.812,1.057,80.35,process_tree,3.82,process_tree,615.11
80000,87.684,2.086,1.354,48.325,process_tree,3.83,process_tree,616.01
90000,97.301,2.262,1.426,40.875,process_tree,3.83,process_tree,615.84
100000,106.587,2.446,1.601,49.7125,process_tree,3.83,process_tree,616.16
110000,117.906,2.746,1.883,64.475,process_tree,3.83,process_tree,615.72
120000,127.426,3.323,2.246,55.0875,process_tree,3.83,process_tree,616.71
130000,136.503,3.626,3.194,76.85,process_tree,3.84,process_tree,617.4
140000,147.819,3.633,3.083,59.099999999999994,process_tree,3.83,process_tree,616.59
150000,156.725,4.187,3.562,67.7625,process_tree,3.84,process_tree,618.05
160000,165.7,4.899,4.066,57.275,process_tree,3.84,process_tree,618.04
170000,176.384,6.978,6.384,69.6625,process_tree,3.84,process_tree,618.21
180000,185.759,7.868,7.29,60.8375,process_tree,3.85,process_tree,618.82
190000,194.41,10.546,10.248,50.050000000000004,process_tree,3.86,process_tree,620.51
200000,202.812,10.755,11.705,51.9625,process_tree,3.85,process_tree,619.55
210000,215.037,10.598,11.138,46.2,process_tree,3.85,process_tree,619.95
220000,224.486,12.434,12.041,67.25,process_tree,3.86,process_tree,620.43
230000,234.0,10.551,10.051,67.7375,process_tree,3.86,process_tree,620.85
240000,244.653,13.459,12.214,58.75,process_tree,3.87,process_tree,623.11
250000,253.862,17.358,16.762,44.775,process_tree,3.86,process_tree,620.72
260000,262.289,21.073,20.623,62.68749999999999,process_tree,3.86,process_tree,621.62
270000,270.74,18.0,14.898,46.5875,process_tree,3.86,process_tree,620.52
280000,281.131,17.089,16.843,67.2625,process_tree,3.86,process_tree,621.2
290000,293.253,10.293,7.723,62.575,process_tree,3.86,process_tree,621.21
300000,301.924,12.666,9.072,53.275000000000006,process_tree,3.87,process_tree,622.65
310000,312.975,15.375,10.428,73.0,process_tree,3.89,process_tree,625.33
320000,321.275,27.854,18.933,62.300000000000004,process_tree,3.86,process_tree,621.62
330000,329.454,34.646,30.57,59.099999999999994,process_tree,3.86,process_tree,621.79
340000,337.826,35.037,32.649,32.2625,process_tree,3.87,process_tree,622.3
350000,348.329,21.916,18.08,51.9625,process_tree,3.87,process_tree,622.29
360000,356.439,41.804,30.909,66.2875,process_tree,3.87,process_tree,622.2
370000,364.903,47.34,26.842,50.112500000000004,process_tree,3.86,process_tree,621.77
380000,375.119,49.762,31.886,42.9875,process_tree,3.87,process_tree,621.94
390000,383.391,58.194,32.668,58.8125,process_tree,3.87,process_tree,622.15
400000,391.568,32.75,22.109,77.05,process_tree,3.87,process_tree,622.65
410000,399.883,46.057,30.452,55.5,process_tree,3.87,process_tree,622.67
420000,410.03,49.456,33.005,60.875,process_tree,3.89,process_tree,625.24
430000,418.333,43.23,30.841,67.975,process_tree,3.87,process_tree,623.03
440000,426.574,27.448,25.203,66.875,process_tree,3.88,process_tree,623.64
450000,435.168,17.235,15.806,49.7125,process_tree,3.87,process_tree,622.98
460000,445.391,26.635,17.256,64.0375,process_tree,3.87,process_tree,622.89
470000,453.421,56.932,33.241,51.525,process_tree,3.88,process_tree,623.53
480000,461.906,52.095,29.964,44.7875,process_tree,3.88,process_tree,623.54
490000,473.277,55.712,25.533,44.4,process_tree,3.87,process_tree,622.87
500000,481.267,57.856,26.426,53.337500000000006,process_tree,3.91,process_tree,628.46
510000,491.208,68.25,29.987,67.1,process_tree,3.93,process_tree,632.2
520000,499.829,83.65,31.287,55.55,process_tree,3.93,process_tree,632.48
530000,510.425,74.568,30.77,62.15,process_tree,3.93,process_tree,632.26
540000,518.573,40.18,28.325,48.349999999999994,process_tree,3.93,process_tree,633.12
550000,527.119,44.067,31.341,78.82499999999999,process_tree,3.94,process_tree,633.37
560000,537.254,64.624,28.746,46.5375,process_tree,3.93,process_tree,632.51
570000,546.282,20.627,15.972,57.3,process_tree,3.94,process_tree,634.3
580000,554.442,15.968,9.377,64.5125,process_tree,3.94,process_tree,634.04
590000,562.726,16.276,10.456,44.4,process_tree,3.94,process_tree,634.11
600000,573.493,13.621,5.782,69.8375,process_tree,3.94,process_tree,633.41
610000,582.026,17.62,8.537,78.85,process_tree,3.94,process_tree,634.14
620000,590.934,14.844,7.826,55.512499999999996,process_tree,3.94,process_tree,633.79
630000,601.187,19.692,12.008,51.949999999999996,process_tree,3.96,process_tree,637.68
640000,609.85,17.242,8.867,76.5,process_tree,3.94,process_tree,634.02
650000,618.067,17.671,10.198,77.0,process_tree,3.94,process_tree,633.58
660000,626.481,15.774,6.723,51.949999999999996,process_tree,3.94,process_tree,634.0
670000,637.267,15.427,6.811,35.5875,process_tree,3.96,process_tree,636.54
680000,645.331,18.42,8.164,50.15,process_tree,3.94,process_tree,634.16
690000,653.45,14.791,8.893,66.16250000000001,process_tree,3.94,process_tree,634.18
700000,663.758,12.947,5.235,51.574999999999996,process_tree,3.96,process_tree,637.87
710000,672.289,10.157,4.07,41.199999999999996,process_tree,3.94,process_tree,633.82
720000,680.679,11.029,4.168,51.949999999999996,process_tree,3.94,process_tree,634.16
730000,688.998,15.619,5.851,64.475,process_tree,3.95,process_tree,634.91
740000,699.456,15.575,8.24,59.025,process_tree,3.94,process_tree,633.54
750000,707.553,21.1,11.133,51.4875,process_tree,3.94,process_tree,634.67
760000,715.976,22.455,17.533,51.5,process_tree,3.94,process_tree,634.66
770000,726.347,21.681,13.943,69.4125,process_tree,3.96,process_tree,636.7
780000,734.716,25.453,14.154,58.6875,process_tree,3.94,process_tree,634.52
790000,743.686,48.019,30.848,67.5125,process_tree,3.96,process_tree,636.53
800000,751.656,69.608,36.664,50.125,process_tree,3.94,process_tree,634.32
810000,761.729,73.12,35.342,49.9,process_tree,3.94,process_tree,634.27
820000,769.773,51.31,27.825,55.2125,process_tree,3.96,process_tree,637.2
830000,778.47,37.235,22.117,62.25,process_tree,3.95,process_tree,635.09
840000,788.724,33.497,16.087,47.9375,process_tree,3.94,process_tree,634.25
850000,796.65,21.864,14.901,62.324999999999996,process_tree,3.95,process_tree,635.7
860000,805.205,16.309,7.161,57.3,process_tree,3.95,process_tree,635.12
870000,813.288,16.288,6.794,56.637499999999996,process_tree,3.95,process_tree,635.63
880000,823.74,18.394,7.874,50.162499999999994,process_tree,3.95,process_tree,634.94
890000,832.625,18.496,6.726,47.3875,process_tree,3.95,process_tree,635.93
900000,840.882,22.538,8.632,57.21249999999999,process_tree,3.94,process_tree,634.71
910000,851.244,17.987,8.68,71.52499999999999,process_tree,3.96,process_tree,637.58
920000,859.531,20.94,8.119,48.3625,process_tree,3.94,process_tree,634.59
930000,868.159,18.054,6.79,66.26249999999999,process_tree,3.95,process_tree,635.3
940000,876.329,18.363,8.197,37.599999999999994,process_tree,3.95,process_tree,635.44
950000,886.785,18.998,6.092,71.6625,process_tree,3.94,process_tree,634.7
960000,895.389,18.206,6.832,56.9,process_tree,3.96,process_tree,637.75
970000,903.597,16.843,5.708,60.6,process_tree,3.94,process_tree,634.61
980000,913.78,19.302,8.226,45.300000000000004,process_tree,3.96,process_tree,637.68
990000,922.134,27.35,11.92,67.9375,process_tree,3.95,process_tree,635.35
1000000,930.688,19.092,6.833,48.1125,process_tree,3.95,process_tree,635.17
1010000,939.389,16.353,5.199,44.3875,process_tree,3.95,process_tree,635.54
1020000,949.531,15.013,4.732,57.3,process_tree,3.94,process_tree,634.61
1030000,958.104,15.895,5.838,55.125,process_tree,3.94,process_tree,634.63
1040000,966.463,16.0,4.81,55.0875,process_tree,3.94,process_tree,634.71
1050000,976.623,16.022,6.515,64.07499999999999,process_tree,3.94,process_tree,634.64
1060000,985.138,13.813,6.215,56.9125,process_tree,3.95,process_tree,635.22
1070000,993.22,13.119,5.266,62.324999999999996,process_tree,3.94,process_tree,634.59
1080000,1001.937,16.666,6.385,50.1625,process_tree,3.94,process_tree,634.69
1090000,1012.192,17.919,6.171,64.4375,process_tree,3.94,process_tree,634.68
1100000,1020.285,15.753,5.017,62.68749999999999,process_tree,3.95,process_tree,635.59
1110000,1028.848,14.275,4.879,55.1125,process_tree,3.95,process_tree,635.62
1120000,1039.119,14.921,4.923,55.512499999999996,process_tree,3.94,process_tree,634.73
1130000,1047.65,14.587,3.72,60.4875,process_tree,3.94,process_tree,634.72
1140000,1056.156,20.215,6.894,71.6,process_tree,3.95,process_tree,635.41
1150000,1064.26,25.144,9.58,57.2875,process_tree,3.95,process_tree,635.52
1160000,1074.829,20.084,6.934,66.1375,process_tree,3.95,process_tree,635.13
1170000,1082.681,19.85,6.292,55.1,process_tree,3.95,process_tree,635.36
1180000,1091.263,15.116,5.049,59.099999999999994,process_tree,3.95,process_tree,635.62
1190000,1102.572,15.077,4.645,48.3625,process_tree,3.94,process_tree,634.46
1200000,1110.602,19.006,6.049,80.6,process_tree,3.95,process_tree,635.92
1210000,1119.323,16.889,4.709,60.85,process_tree,3.95,process_tree,635.26
1220000,1127.227,17.785,4.743,42.6375,process_tree,3.95,process_tree,635.09
1230000,1138.52,15.466,5.245,51.550000000000004,process_tree,3.94,process_tree,634.56
1240000,1146.961,22.092,5.973,87.475,process_tree,3.95,process_tree,635.02
1250000,1155.006,75.2,21.898,50.0375,process_tree,3.95,process_tree,634.88
