step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,70.0,system,
10000,20.508,1.322,0.789,73.2375,process_tree,3.7,process_tree,596.12
20000,34.756,2.444,1.514,51.949999999999996,process_tree,3.72,process_tree,598.92
30000,47.637,3.905,3.055,50.175,process_tree,3.73,process_tree,599.85
40000,61.865,8.552,10.075,50.175,process_tree,3.73,process_tree,600.19
50000,75.452,27.217,25.031,59.0625,process_tree,3.73,process_tree,600.21
60000,88.082,44.19,38.79,50.175,process_tree,3.73,process_tree,600.16
70000,101.27,59.381,37.156,42.1875,process_tree,3.73,process_tree,600.19
80000,114.597,44.238,37.65,47.974999999999994,process_tree,3.73,process_tree,600.91
90000,127.177,15.907,15.331,50.175,process_tree,3.73,process_tree,600.68
100000,140.481,20.687,17.272,46.55,process_tree,3.74,process_tree,601.32
110000,153.954,20.975,21.704,62.675,process_tree,3.74,process_tree,601.46
120000,166.845,16.822,11.627,49.7125,process_tree,3.74,process_tree,601.42
130000,179.907,28.678,34.217,73.44999999999999,process_tree,3.74,process_tree,601.16
140000,193.33,83.8,31.768,68.0375,process_tree,3.74,process_tree,601.18
150000,205.911,69.447,35.561,51.949999999999996,process_tree,3.74,process_tree,601.3
160000,218.733,71.769,40.534,50.137499999999996,process_tree,3.74,process_tree,601.3
170000,231.712,42.931,44.257,56.400000000000006,process_tree,3.74,process_tree,601.36
180000,244.089,44.887,40.378,50.175,process_tree,3.74,process_tree,601.43
190000,257.18,34.746,34.708,43.0,process_tree,3.74,process_tree,601.32
200000,270.245,36.676,31.875,62.1875,process_tree,3.74,process_tree,601.51
210000,282.607,24.044,18.381,44.3875,process_tree,3.74,process_tree,601.59
220000,295.944,29.219,21.047,33.7375,process_tree,3.74,process_tree,601.4
230000,309.136,64.386,35.837,51.5125,process_tree,3.74,process_tree,601.91
240000,322.184,96.638,8.896,47.9875,process_tree,3.74,process_tree,601.96
250000,334.085,58.04,42.33,50.175,process_tree,3.74,process_tree,601.9
260000,347.708,84.436,32.804,37.625,process_tree,3.74,process_tree,602.12
270000,360.942,100.0,0.0,47.95,process_tree,3.74,process_tree,602.02
280000,373.063,100.0,0.0,47.9375,process_tree,3.74,process_tree,601.85
290000,386.269,74.835,39.767,47.9375,process_tree,3.74,process_tree,602.14
300000,399.294,56.207,46.211,46.5875,process_tree,3.74,process_tree,601.87
310000,412.924,31.577,34.329,51.9125,process_tree,3.74,process_tree,602.29
320000,426.191,18.743,16.281,47.975,process_tree,3.74,process_tree,601.95
330000,438.582,32.582,22.321,50.175,process_tree,3.74,process_tree,601.95
340000,452.109,76.725,33.609,50.175,process_tree,3.74,process_tree,601.83
350000,465.277,35.145,26.159,58.725,process_tree,3.74,process_tree,602.36
360000,477.827,24.188,18.41,50.175,process_tree,3.74,process_tree,602.29
370000,490.955,72.5,38.916,78.8,process_tree,3.74,process_tree,602.02
380000,504.292,56.148,38.56,66.21249999999999,process_tree,3.74,process_tree,602.25
390000,516.632,44.167,42.276,50.175,process_tree,3.74,process_tree,602.4
400000,529.543,85.2,33.11,51.5,process_tree,3.74,process_tree,602.44
410000,542.626,100.0,0.0,50.15,process_tree,3.74,process_tree,602.38
420000,555.669,100.0,0.0,55.512499999999996,process_tree,3.74,process_tree,602.41
430000,568.46,90.38,28.86,69.8,process_tree,3.74,process_tree,602.29
440000,581.612,100.0,0.0,78.82499999999999,process_tree,3.74,process_tree,602.3
450000,594.229,100.0,0.0,37.324999999999996,process_tree,3.75,process_tree,602.61
460000,608.33,96.34,8.608,65.525,process_tree,3.74,process_tree,602.46
470000,621.309,91.767,27.307,62.375,process_tree,3.74,process_tree,602.42
480000,634.08,100.0,0.0,53.375,process_tree,3.74,process_tree,602.58
490000,646.119,100.0,0.0,48.375,process_tree,3.74,process_tree,602.52
500000,659.586,78.957,40.298,47.9375,process_tree,3.8,process_tree,611.18
510000,672.848,85.246,34.602,47.9375,process_tree,3.8,process_tree,611.7
520000,686.245,100.0,0.0,44.8,process_tree,3.8,process_tree,611.7
530000,699.148,92.483,24.93,74.9,process_tree,3.8,process_tree,612.05
540000,712.402,100.0,0.0,49.7125,process_tree,3.8,process_tree,611.93
550000,725.255,100.0,0.0,48.375,process_tree,3.8,process_tree,612.05
560000,738.494,61.024,46.698,57.275,process_tree,3.8,process_tree,612.07
570000,751.479,53.921,48.621,44.775,process_tree,3.81,process_tree,612.52
580000,763.88,73.2,42.505,48.375,process_tree,3.81,process_tree,612.33
590000,777.256,55.1,45.245,49.7125,process_tree,3.81,process_tree,612.34
600000,790.454,56.022,44.648,55.512499999999996,process_tree,3.81,process_tree,612.48
610000,803.094,64.215,45.334,49.7125,process_tree,3.8,process_tree,612.12
620000,815.965,56.357,45.933,60.9,process_tree,3.81,process_tree,612.29
630000,829.034,39.704,43.017,61.6,process_tree,3.81,process_tree,612.63
640000,842.234,47.683,44.44,51.5,process_tree,3.81,process_tree,612.63
650000,855.306,38.967,43.337,67.9625,process_tree,3.81,process_tree,612.32
660000,867.636,71.9,40.765,46.574999999999996,process_tree,3.81,process_tree,612.53
670000,880.514,74.286,40.743,55.449999999999996,process_tree,3.81,process_tree,612.73
680000,893.646,63.1,45.306,56.9,process_tree,3.81,process_tree,612.62
690000,906.103,73.765,41.1,37.2875,process_tree,3.81,process_tree,612.57
700000,919.297,66.536,44.29,62.637499999999996,process_tree,3.81,process_tree,612.57
710000,932.42,92.617,24.488,60.85,process_tree,3.81,process_tree,612.76
720000,944.622,91.564,26.678,48.375,process_tree,3.81,process_tree,612.75
730000,958.478,85.758,31.856,47.9375,process_tree,3.81,process_tree,612.47
740000,971.772,92.691,23.113,50.1625,process_tree,3.81,process_tree,612.47
750000,984.779,92.758,24.018,64.0625,process_tree,3.81,process_tree,612.66
760000,996.902,91.178,24.953,49.7125,process_tree,3.81,process_tree,612.54
770000,1010.616,100.0,0.0,46.5875,process_tree,3.81,process_tree,612.48
780000,1024.439,100.0,0.0,47.9875,process_tree,3.81,process_tree,612.53
790000,1037.792,86.829,32.266,68.025,process_tree,3.81,process_tree,612.55
800000,1050.679,85.517,32.393,50.175,process_tree,3.81,process_tree,612.47
810000,1063.941,91.409,27.167,56.9,process_tree,3.81,process_tree,612.63
820000,1077.213,100.0,0.0,60.887499999999996,process_tree,3.81,process_tree,612.69
830000,1089.68,100.0,0.0,44.8,process_tree,3.81,process_tree,612.54
840000,1102.949,100.0,0.0,56.9,process_tree,3.81,process_tree,612.65
850000,1115.681,100.0,0.0,69.47500000000001,process_tree,3.81,process_tree,612.71
860000,1128.813,91.783,27.252,51.574999999999996,process_tree,3.81,process_tree,612.61
870000,1141.097,91.591,26.592,44.425,process_tree,3.81,process_tree,612.82
880000,1154.269,100.0,0.0,37.2875,process_tree,3.81,process_tree,612.49
890000,1167.541,90.63,28.11,50.175,process_tree,3.81,process_tree,612.49
900000,1179.701,62.711,43.601,50.175,process_tree,3.81,process_tree,612.64
910000,1192.765,85.354,34.351,42.65,process_tree,3.81,process_tree,612.74
920000,1207.722,100.0,0.0,48.025,process_tree,3.81,process_tree,612.6
930000,1224.223,100.0,0.0,47.975,process_tree,3.81,process_tree,612.53
940000,1238.125,100.0,0.0,50.175,process_tree,3.81,process_tree,612.65
950000,1251.69,75.153,41.218,33.775,process_tree,3.81,process_tree,612.33
960000,1265.005,76.219,41.191,57.3,process_tree,3.81,process_tree,612.47
970000,1277.461,92.317,25.483,44.8,process_tree,3.81,process_tree,612.58
980000,1290.83,100.0,0.0,43.0,process_tree,3.81,process_tree,612.55
990000,1304.209,100.0,0.0,55.512499999999996,process_tree,3.81,process_tree,612.71
1000000,1316.765,100.0,0.0,49.7125,process_tree,3.81,process_tree,612.53
1010000,1330.384,100.0,0.0,48.375,process_tree,3.81,process_tree,612.34
1020000,1342.655,100.0,0.0,48.375,process_tree,3.81,process_tree,612.47
