step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,71.0,system,
10000,18.9,0.873,0.577,41.0125,process_tree,3.79,process_tree,610.03
20000,28.299,0.942,0.563,33.425,process_tree,3.81,process_tree,613.59
30000,38.768,1.23,0.801,33.875,process_tree,3.82,process_tree,614.36
40000,51.588,1.474,0.846,21.475,process_tree,3.82,process_tree,613.98
50000,60.395,1.941,1.198,28.5375,process_tree,3.82,process_tree,614.52
60000,69.812,2.449,1.532,35.8,process_tree,3.82,process_tree,614.09
70000,78.774,3.093,2.14,17.9125,process_tree,3.82,process_tree,614.59
80000,90.465,3.516,2.703,16.0875,process_tree,3.82,process_tree,615.01
90000,99.469,4.931,4.317,17.8625,process_tree,3.82,process_tree,614.97
100000,107.884,6.583,5.802,19.674999999999997,process_tree,3.82,process_tree,615.26
110000,117.029,8.394,9.117,21.424999999999997,process_tree,3.82,process_tree,615.14
120000,129.503,21.156,27.182,34.025,process_tree,3.82,process_tree,614.74
130000,137.9,41.874,31.83,16.1125,process_tree,3.84,process_tree,617.53
140000,146.182,86.55,26.842,37.325,process_tree,3.83,process_tree,615.93
150000,154.412,100.0,0.0,19.599999999999998,process_tree,3.83,process_tree,616.66
160000,165.505,100.0,0.0,28.65,process_tree,3.83,process_tree,616.43
170000,173.768,100.0,0.0,26.825,process_tree,3.83,process_tree,616.82
180000,182.267,100.0,0.0,14.3125,process_tree,3.83,process_tree,616.86
190000,190.378,100.0,0.0,23.275,process_tree,3.84,process_tree,617.64
200000,201.539,100.0,0.0,35.7125,process_tree,3.83,process_tree,616.75
