step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,47.6,system,
10000,6.397,1.326,0.84,38.7,process_tree,7.87,process_tree,1201.73
20000,11.509,1.966,1.353,39.943749999999994,process_tree,7.87,process_tree,1201.89
30000,16.484,3.42,2.733,39.9375,process_tree,7.88,process_tree,1202.46
40000,21.362,6.147,5.914,39.95,process_tree,7.89,process_tree,1204.14
50000,26.348,8.506,7.315,24.34375,process_tree,7.89,process_tree,1204.45
60000,31.184,11.331,8.457,26.2125,process_tree,7.89,process_tree,1204.74
70000,36.049,22.65,18.383,39.93125,process_tree,7.9,process_tree,1205.24
80000,40.775,25.389,26.36,25.5875,process_tree,7.9,process_tree,1205.8
90000,45.622,13.329,11.08,34.324999999999996,process_tree,7.9,process_tree,1205.81
100000,50.289,7.522,4.051,39.95625,process_tree,7.9,process_tree,1205.81
110000,55.143,6.969,3.702,33.7,process_tree,7.9,process_tree,1205.81
120000,59.851,7.736,3.848,19.975,process_tree,7.9,process_tree,1205.81
130000,64.817,7.376,3.114,24.34375,process_tree,7.9,process_tree,1206.07
140000,69.532,15.53,7.66,24.34375,process_tree,7.9,process_tree,1206.08
150000,74.333,13.689,6.997,28.081249999999997,process_tree,7.9,process_tree,1206.08
160000,79.172,13.201,9.946,23.71875,process_tree,7.9,process_tree,1206.08
170000,83.952,11.646,4.184,22.46875,process_tree,7.9,process_tree,1206.08
180000,88.701,14.048,5.667,30.5875,process_tree,7.9,process_tree,1206.08
190000,93.661,18.698,9.797,24.34375,process_tree,7.9,process_tree,1206.08
200000,98.281,15.64,7.324,33.699999999999996,process_tree,7.9,process_tree,1206.08
210000,103.031,15.945,9.723,25.5875,process_tree,7.9,process_tree,1206.08
220000,107.922,13.633,7.421,41.1875,process_tree,7.9,process_tree,1206.08
230000,112.731,15.076,8.166,39.33125,process_tree,7.9,process_tree,1206.08
240000,117.52,15.422,7.799,41.1875,process_tree,7.9,process_tree,1206.08
250000,121.821,19.452,12.174,16.225,process_tree,7.9,process_tree,1206.08
260000,126.662,24.854,14.607,16.85,process_tree,7.9,process_tree,1206.08
270000,131.373,29.114,13.227,25.56875,process_tree,7.9,process_tree,1206.08
280000,136.184,25.122,17.739,24.9625,process_tree,7.9,process_tree,1206.09
290000,140.89,17.42,7.067,25.59375,process_tree,7.9,process_tree,1206.09
300000,145.855,21.052,13.603,25.59375,process_tree,7.9,process_tree,1206.09
310000,150.481,20.613,11.049,26.21875,process_tree,7.9,process_tree,1206.09
320000,155.431,18.753,9.7,35.575,process_tree,7.9,process_tree,1206.09
330000,160.317,25.641,7.747,30.5875,process_tree,7.9,process_tree,1206.21
340000,164.97,70.25,34.067,38.09375,process_tree,7.9,process_tree,1206.22
350000,169.82,53.472,36.114,38.693749999999994,process_tree,7.9,process_tree,1206.23
360000,174.596,27.741,32.292,39.325,process_tree,7.9,process_tree,1206.23
370000,179.25,41.875,30.55,38.075,process_tree,7.9,process_tree,1206.23
380000,184.123,56.053,32.533,39.31875,process_tree,7.9,process_tree,1206.23
390000,188.511,28.49,26.051,16.85,process_tree,7.9,process_tree,1206.43
400000,193.051,38.932,33.767,15.6,process_tree,7.9,process_tree,1206.55
410000,198.07,27.773,21.139,23.09375,process_tree,7.9,process_tree,1206.55
420000,202.674,25.925,17.59,33.712500000000006,process_tree,7.9,process_tree,1206.55
430000,207.627,21.719,13.031,24.9625,process_tree,7.91,process_tree,1206.8
440000,212.362,15.837,8.322,38.7,process_tree,7.91,process_tree,1206.81
450000,217.311,16.029,10.573,31.83125,process_tree,7.91,process_tree,1206.81
460000,222.085,19.076,10.404,38.08125,process_tree,7.91,process_tree,1206.81
470000,226.905,18.414,10.796,38.7,process_tree,7.91,process_tree,1206.81
480000,231.76,18.557,11.764,36.8125,process_tree,7.91,process_tree,1206.81
490000,236.044,18.158,9.602,15.6,process_tree,7.91,process_tree,1206.94
500000,240.781,17.995,12.108,20.59375,process_tree,7.94,process_tree,1212.41
510000,245.948,19.307,11.559,25.5875,process_tree,7.97,process_tree,1216.02
520000,250.851,23.593,18.867,31.206249999999997,process_tree,7.97,process_tree,1216.09
530000,255.991,15.043,9.109,24.325,process_tree,7.97,process_tree,1216.41
540000,260.8,22.188,12.077,26.8375,process_tree,7.97,process_tree,1216.53
550000,265.501,31.252,19.292,38.075,process_tree,7.97,process_tree,1216.58
560000,270.11,25.327,15.988,16.225,process_tree,7.97,process_tree,1216.89
570000,275.064,49.778,33.492,15.60625,process_tree,7.97,process_tree,1216.9
580000,279.845,68.993,39.237,16.225,process_tree,7.97,process_tree,1216.9
590000,284.695,50.408,31.179,16.85,process_tree,7.97,process_tree,1216.9
600000,289.612,20.431,6.943,23.1,process_tree,7.97,process_tree,1217.04
610000,294.513,17.341,8.857,31.225,process_tree,7.97,process_tree,1217.04
620000,299.428,18.771,10.869,21.21875,process_tree,7.97,process_tree,1217.04
630000,304.379,24.484,14.364,21.21875,process_tree,7.97,process_tree,1217.04
640000,309.31,20.065,11.65,19.96875,process_tree,7.97,process_tree,1217.04
650000,313.922,18.524,8.2,18.09375,process_tree,7.97,process_tree,1217.04
660000,318.987,16.451,8.813,29.949999999999996,process_tree,7.97,process_tree,1217.04
670000,323.984,17.765,12.645,34.325,process_tree,7.97,process_tree,1217.04
680000,329.031,27.2,17.257,30.5875,process_tree,7.97,process_tree,1217.04
690000,333.836,28.366,23.249,24.35,process_tree,7.97,process_tree,1217.04
700000,338.713,29.011,26.824,38.075,process_tree,7.97,process_tree,1217.04
710000,343.725,32.108,18.664,25.5875,process_tree,7.97,process_tree,1217.22
720000,348.596,51.125,39.148,28.7125,process_tree,7.97,process_tree,1217.24
730000,353.337,68.561,35.185,39.275,process_tree,7.98,process_tree,1217.81
740000,358.228,58.087,32.453,39.94375,process_tree,7.98,process_tree,1217.81
750000,363.013,61.869,36.851,28.706249999999997,process_tree,7.98,process_tree,1217.84
760000,367.904,78.329,34.904,16.225,process_tree,7.98,process_tree,1217.86
770000,372.722,100.0,0.0,15.6,process_tree,7.98,process_tree,1217.86
780000,377.691,90.2,29.4,16.8625,process_tree,7.98,process_tree,1217.86
790000,382.994,79.386,36.118,21.2125,process_tree,7.98,process_tree,1217.86
800000,387.97,100.0,0.0,18.1,process_tree,7.98,process_tree,1217.86
810000,392.65,100.0,0.0,19.35,process_tree,7.98,process_tree,1217.86
820000,397.561,91.109,28.116,19.96875,process_tree,7.98,process_tree,1217.86
830000,402.316,93.991,19.002,24.975,process_tree,7.98,process_tree,1217.95
840000,407.276,93.1,12.741,35.5875,process_tree,7.98,process_tree,1217.95
850000,412.282,77.171,37.564,23.09375,process_tree,7.98,process_tree,1217.95
860000,417.042,74.453,36.835,24.3375,process_tree,7.98,process_tree,1217.95
870000,421.662,50.668,38.842,38.06875,process_tree,7.98,process_tree,1217.95
880000,426.772,49.216,36.743,38.7,process_tree,7.98,process_tree,1217.97
890000,431.666,73.563,35.913,25.5875,process_tree,7.98,process_tree,1217.97
900000,436.622,38.163,31.854,39.943749999999994,process_tree,7.98,process_tree,1217.97
910000,441.584,28.806,25.399,39.93125,process_tree,7.98,process_tree,1217.97
920000,446.33,31.687,25.545,39.3,process_tree,7.98,process_tree,1217.97
930000,451.564,84.93,20.169,40.5625,process_tree,7.98,process_tree,1217.97
940000,456.524,93.09,13.842,28.0875,process_tree,7.98,process_tree,1217.97
950000,461.391,83.108,31.642,39.33125,process_tree,7.98,process_tree,1217.97
960000,465.822,63.236,39.695,16.85,process_tree,7.98,process_tree,1217.97
970000,470.769,84.129,33.67,16.85,process_tree,7.98,process_tree,1217.97
980000,475.875,81.082,32.68,16.85,process_tree,7.98,process_tree,1217.97
990000,480.638,67.45,38.875,24.98125,process_tree,7.98,process_tree,1218.07
1000000,485.512,97.917,6.91,37.44375,process_tree,7.98,process_tree,1218.07
1010000,490.564,75.011,39.48,23.09375,process_tree,7.98,process_tree,1218.07
1020000,495.195,90.945,28.633,31.83125,process_tree,7.98,process_tree,1218.07
1030000,500.253,100.0,0.0,38.7,process_tree,7.98,process_tree,1218.08
1040000,505.156,92.383,25.262,23.09375,process_tree,7.98,process_tree,1218.08
1050000,510.104,92.446,26.167,23.09375,process_tree,7.98,process_tree,1218.08
1060000,514.745,96.191,8.087,39.3125,process_tree,7.98,process_tree,1218.08
1070000,519.881,77.76,29.998,34.325,process_tree,7.98,process_tree,1218.08
1080000,524.542,72.025,42.314,41.19375,process_tree,7.98,process_tree,1218.08
1090000,529.634,85.454,28.393,26.84375,process_tree,7.98,process_tree,1218.27
1100000,534.674,85.673,29.172,24.96875,process_tree,7.98,process_tree,1218.27
1110000,539.038,88.75,23.526,16.225,process_tree,7.98,process_tree,1218.27
1120000,544.007,92.867,23.659,20.59375,process_tree,7.98,process_tree,1218.27
1130000,548.716,71.357,40.825,26.8375,process_tree,7.98,process_tree,1218.27
1140000,553.632,80.467,36.583,15.60625,process_tree,7.98,process_tree,1218.27
1150000,558.724,85.277,34.547,21.84375,process_tree,7.98,process_tree,1218.27
1160000,563.564,60.295,43.654,20.59375,process_tree,7.98,process_tree,1218.27
1170000,568.369,85.44,27.977,23.09375,process_tree,7.98,process_tree,1218.27
1180000,573.22,77.592,38.982,23.09375,process_tree,7.98,process_tree,1218.28
1190000,577.859,53.876,48.93,38.0625,process_tree,7.98,process_tree,1218.28
1200000,582.97,47.246,48.578,33.08125,process_tree,7.98,process_tree,1218.28
1210000,587.681,78.8,40.596,38.7,process_tree,7.98,process_tree,1218.28
1220000,592.672,82.155,37.857,40.55625,process_tree,7.98,process_tree,1218.28
1230000,597.555,90.25,29.25,39.9375,process_tree,7.98,process_tree,1218.36
1240000,602.477,62.528,46.498,38.075,process_tree,7.98,process_tree,1218.36
1250000,607.214,38.804,44.806,41.1875,process_tree,7.98,process_tree,1218.36
1260000,612.176,39.371,45.655,29.325,process_tree,7.98,process_tree,1218.36
1270000,616.847,18.1,31.116,16.85,process_tree,7.98,process_tree,1218.36
1280000,621.6,26.017,35.202,16.225,process_tree,7.98,process_tree,1218.36
1290000,626.532,41.07,47.614,16.225,process_tree,7.98,process_tree,1218.36
1300000,631.453,47.247,47.703,39.31875,process_tree,7.98,process_tree,1218.36
1310000,636.34,52.581,47.543,27.4625,process_tree,7.98,process_tree,1218.36
1320000,641.462,92.485,26.034,23.09375,process_tree,7.98,process_tree,1218.36
1330000,646.253,45.874,47.734,28.0875,process_tree,7.98,process_tree,1218.36
1340000,651.049,73.509,43.281,38.7,process_tree,7.98,process_tree,1218.36
1350000,656.074,51.255,45.612,38.693749999999994,process_tree,7.98,process_tree,1218.36
1360000,660.984,67.733,45.672,38.068749999999994,process_tree,7.98,process_tree,1218.36
1370000,665.861,58.853,39.213,40.56875,process_tree,7.98,process_tree,1218.36
1380000,670.311,60.933,47.852,16.225,process_tree,7.98,process_tree,1218.36
1390000,675.133,53.186,48.213,16.225,process_tree,7.98,process_tree,1218.36
1400000,679.958,62.292,47.701,19.975,process_tree,7.98,process_tree,1218.36
1410000,685.161,42.938,48.034,15.60625,process_tree,7.98,process_tree,1218.37
1420000,690.108,57.779,48.761,33.70625,process_tree,7.98,process_tree,1218.37
1430000,695.047,55.109,45.065,41.1875,process_tree,7.98,process_tree,1218.37
1440000,699.954,39.256,43.597,38.69375,process_tree,7.98,process_tree,1218.37
1450000,704.948,46.524,46.027,23.09375,process_tree,7.98,process_tree,1218.37
1460000,709.775,37.054,46.932,38.068749999999994,process_tree,7.98,process_tree,1218.37
1470000,714.919,52.06,46.764,31.825,process_tree,7.98,process_tree,1218.37
1480000,720.475,32.611,43.944,17.475,process_tree,7.98,process_tree,1218.37
1490000,725.938,53.637,48.893,18.71875,process_tree,7.98,process_tree,1218.37
1500000,731.124,90.02,29.94,22.4625,process_tree,7.98,process_tree,1218.37
1510000,736.551,65.437,45.669,35.5625,process_tree,7.98,process_tree,1218.37
1520000,742.347,65.8,46.047,23.7125,process_tree,7.98,process_tree,1218.37
1530000,747.97,54.494,48.263,34.95,process_tree,7.98,process_tree,1218.37
1540000,753.773,37.371,45.424,37.93125,process_tree,7.98,process_tree,1218.37
1550000,759.093,74.675,40.371,36.2,process_tree,7.98,process_tree,1218.37
1560000,764.13,54.447,45.642,40.575,process_tree,7.98,process_tree,1218.38
1570000,769.404,59.953,47.299,38.06875,process_tree,7.98,process_tree,1218.38
1580000,774.124,66.928,46.772,39.94375,process_tree,7.98,process_tree,1218.38
1590000,779.09,59.253,48.702,39.9625,process_tree,7.98,process_tree,1218.38
1600000,783.607,66.967,46.716,16.85,process_tree,7.98,process_tree,1218.38
1610000,788.481,40.388,48.674,16.23125,process_tree,7.98,process_tree,1218.38
1620000,793.324,53.009,49.137,24.96875,process_tree,7.98,process_tree,1218.38
1630000,798.209,57.814,48.719,24.34375,process_tree,7.98,process_tree,1218.38
1640000,803.172,65.2,47.123,24.3375,process_tree,7.98,process_tree,1218.38
1650000,807.854,70.16,45.581,34.3125,process_tree,7.98,process_tree,1218.38
1660000,812.973,38.555,46.66,33.08125,process_tree,7.98,process_tree,1218.38
1670000,817.828,55.872,49.338,39.94375,process_tree,7.98,process_tree,1218.38
1680000,822.646,63.479,47.818,39.94375,process_tree,7.98,process_tree,1218.38
1690000,827.626,70.947,45.011,38.09375,process_tree,7.98,process_tree,1218.38
1700000,832.406,63.106,47.644,39.33125,process_tree,7.98,process_tree,1218.38
1710000,836.754,31.161,45.538,16.225,process_tree,7.98,process_tree,1218.39
1720000,841.763,44.631,48.864,16.85,process_tree,7.98,process_tree,1218.39
1730000,846.49,45.919,48.471,16.85,process_tree,7.98,process_tree,1218.39
1740000,851.378,21.516,40.102,21.84375,process_tree,7.98,process_tree,1218.39
1750000,856.429,14.428,29.954,24.34375,process_tree,7.98,process_tree,1218.39
1760000,861.456,23.83,41.416,25.59375,process_tree,7.98,process_tree,1218.39
1770000,866.276,35.6,46.771,25.5875,process_tree,7.98,process_tree,1218.39
1780000,870.932,23.34,41.324,39.325,process_tree,7.98,process_tree,1218.39
1790000,876.122,18.873,37.751,38.075,process_tree,7.98,process_tree,1218.39
