step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,15.2,system,
10000,4.079,1.114,0.678,39.9625,process_tree,7.43,process_tree,1133.96
20000,7.629,1.164,0.801,39.943749999999994,process_tree,7.44,process_tree,1134.98
30000,11.14,1.211,0.713,39.325,process_tree,7.44,process_tree,1135.23
40000,14.26,1.194,0.772,39.318749999999994,process_tree,7.44,process_tree,1135.24
50000,17.802,1.273,0.774,41.8125,process_tree,7.44,process_tree,1135.43
60000,21.367,1.306,0.766,39.318749999999994,process_tree,7.44,process_tree,1135.68
70000,24.46,1.414,0.903,27.456249999999997,process_tree,7.44,process_tree,1135.81
80000,27.964,1.712,1.056,39.94375,process_tree,7.44,process_tree,1135.81
90000,31.472,1.71,1.051,39.325,process_tree,7.44,process_tree,1136.18
100000,34.463,1.89,1.005,23.0875,process_tree,7.44,process_tree,1136.18
110000,37.883,1.824,1.037,39.325,process_tree,7.44,process_tree,1136.19
120000,41.338,2.084,1.199,40.55625,process_tree,7.44,process_tree,1136.19
130000,44.762,2.414,1.494,40.568749999999994,process_tree,7.44,process_tree,1136.19
140000,47.708,2.536,1.558,40.5625,process_tree,7.44,process_tree,1136.19
150000,51.087,2.732,1.742,40.5625,process_tree,7.44,process_tree,1136.22
160000,54.469,3.078,1.95,41.193749999999994,process_tree,7.44,process_tree,1136.25
170000,57.378,3.131,2.097,41.19375,process_tree,7.45,process_tree,1136.74
180000,60.715,3.579,2.411,39.943749999999994,process_tree,7.45,process_tree,1136.74
190000,64.112,3.332,2.591,41.80625,process_tree,7.45,process_tree,1136.98
200000,66.972,3.394,2.59,30.574999999999996,process_tree,7.45,process_tree,1136.98
210000,70.34,4.285,3.27,42.4375,process_tree,7.45,process_tree,1136.98
220000,73.709,4.647,4.001,39.318749999999994,process_tree,7.45,process_tree,1136.98
230000,76.565,4.873,3.831,22.4625,process_tree,7.45,process_tree,1136.98
240000,79.931,4.49,3.535,41.8125,process_tree,7.45,process_tree,1136.98
250000,83.247,5.112,4.168,41.193749999999994,process_tree,7.45,process_tree,1137.04
260000,86.093,5.686,5.486,8.7375,process_tree,7.45,process_tree,1137.04
270000,89.389,5.941,5.444,41.80625,process_tree,7.45,process_tree,1137.04
280000,92.733,6.674,6.412,39.95,process_tree,7.45,process_tree,1137.34
290000,96.032,6.617,6.303,39.95,process_tree,7.45,process_tree,1137.34
300000,98.89,6.501,5.986,42.4375,process_tree,7.45,process_tree,1137.34
310000,102.168,6.34,5.036,37.45625,process_tree,7.45,process_tree,1137.34
320000,105.494,8.58,6.648,38.0625,process_tree,7.45,process_tree,1137.35
330000,108.387,10.161,11.477,37.443749999999994,process_tree,7.45,process_tree,1137.35
340000,111.661,9.117,10.134,41.2,process_tree,7.45,process_tree,1137.35
350000,114.963,7.518,7.572,41.8125,process_tree,7.45,process_tree,1137.35
360000,117.805,7.957,6.359,26.21875,process_tree,7.45,process_tree,1137.35
370000,121.053,9.897,7.668,41.81875,process_tree,7.45,process_tree,1137.35
380000,124.394,7.75,6.155,41.1875,process_tree,7.45,process_tree,1137.35
390000,127.165,9.465,8.144,20.59375,process_tree,7.45,process_tree,1137.35
