step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,15.2,system,
10000,5.495,1.162,0.798,36.825,process_tree,7.36,process_tree,1123.26
20000,9.835,2.069,1.491,32.449999999999996,process_tree,7.36,process_tree,1123.73
30000,14.201,5.436,5.916,26.21875,process_tree,7.38,process_tree,1125.99
40000,18.54,16.119,14.522,29.981250000000003,process_tree,7.38,process_tree,1126.91
50000,22.627,93.623,19.115,24.975,process_tree,7.39,process_tree,1127.72
60000,26.663,81.83,36.531,30.575,process_tree,7.39,process_tree,1128.62
70000,31.069,100.0,0.0,25.59375,process_tree,7.39,process_tree,1128.68
80000,35.148,94.673,16.846,24.35,process_tree,7.39,process_tree,1128.68
90000,39.173,100.0,0.0,29.9625,process_tree,7.4,process_tree,1129.23
100000,43.406,91.6,26.563,39.943749999999994,process_tree,7.4,process_tree,1129.23
110000,47.558,92.2,24.666,23.71875,process_tree,7.4,process_tree,1129.23
120000,51.634,78.9,37.1,24.34375,process_tree,7.4,process_tree,1129.23
130000,55.732,38.648,45.235,23.7375,process_tree,7.4,process_tree,1129.23
140000,59.873,91.018,28.403,23.71875,process_tree,7.4,process_tree,1129.23
150000,63.93,80.24,39.52,27.4625,process_tree,7.4,process_tree,1129.48
160000,68.187,92.369,26.434,26.84375,process_tree,7.4,process_tree,1129.48
170000,72.362,100.0,0.0,21.21875,process_tree,7.4,process_tree,1129.48
180000,76.341,84.762,35.737,34.318749999999994,process_tree,7.4,process_tree,1129.48
190000,80.573,83.483,36.932,25.5875,process_tree,7.4,process_tree,1129.48
200000,84.801,100.0,0.0,20.59375,process_tree,7.4,process_tree,1129.48
210000,88.796,88.978,31.176,26.8375,process_tree,7.4,process_tree,1129.48
220000,93.026,85.829,34.713,23.71875,process_tree,7.4,process_tree,1129.48
230000,97.296,61.808,48.31,23.7125,process_tree,7.4,process_tree,1129.48
240000,101.305,84.754,35.755,42.4375,process_tree,7.4,process_tree,1129.48
250000,105.473,84.731,35.81,34.95625,process_tree,7.4,process_tree,1129.48
260000,109.726,81.982,38.222,22.4625,process_tree,7.4,process_tree,1129.48
270000,113.685,100.0,0.0,37.443749999999994,process_tree,7.4,process_tree,1129.48
280000,117.715,67.578,40.293,42.43125,process_tree,7.4,process_tree,1129.48
290000,122.179,61.62,41.544,23.71875,process_tree,7.4,process_tree,1129.48
300000,126.211,83.467,36.97,24.3375,process_tree,7.4,process_tree,1129.48
310000,130.283,92.362,26.46,34.94375,process_tree,7.4,process_tree,1129.48
320000,134.635,100.0,0.0,23.09375,process_tree,7.4,process_tree,1129.48
330000,138.683,100.0,0.0,23.09375,process_tree,7.4,process_tree,1129.48
340000,142.818,100.0,0.0,41.8125,process_tree,7.4,process_tree,1129.48
350000,147.13,100.0,0.0,25.5875,process_tree,7.4,process_tree,1129.49
360000,151.196,92.455,18.197,18.106250000000003,process_tree,7.4,process_tree,1129.5
370000,155.35,100.0,0.0,43.025000000000006,process_tree,7.4,process_tree,1129.77
380000,159.569,61.367,41.933,24.9625,process_tree,7.4,process_tree,1129.77
390000,163.712,44.988,34.851,23.1,process_tree,7.4,process_tree,1129.77
400000,167.838,49.85,35.776,20.6,process_tree,7.4,process_tree,1129.77
410000,171.976,100.0,0.0,23.08125,process_tree,7.4,process_tree,1129.77
420000,176.281,100.0,0.0,22.46875,process_tree,7.4,process_tree,1129.77
430000,180.351,100.0,0.0,23.0875,process_tree,7.4,process_tree,1129.77
440000,184.466,100.0,0.0,22.46875,process_tree,7.4,process_tree,1129.77
450000,188.777,100.0,0.0,21.21875,process_tree,7.4,process_tree,1129.77
