step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,43.5,system,
10000,10.725,1.105,0.751,21.73125,process_tree,7.37,process_tree,1125.08
20000,19.688,1.677,1.092,25.25,process_tree,7.37,process_tree,1125.61
30000,28.636,2.517,1.795,26.2125,process_tree,7.38,process_tree,1126.06
40000,37.613,3.807,2.804,26.75625,process_tree,7.38,process_tree,1126.07
50000,46.029,5.225,5.023,28.33125,process_tree,7.38,process_tree,1126.08
60000,54.436,9.255,8.812,25.424999999999997,process_tree,7.38,process_tree,1126.12
70000,63.126,20.153,20.983,26.74375,process_tree,7.38,process_tree,1126.5
80000,71.111,63.825,43.35,21.8375,process_tree,7.38,process_tree,1126.57
90000,79.321,100.0,0.0,26.15625,process_tree,7.38,process_tree,1126.57
100000,87.483,95.317,15.533,24.96875,process_tree,7.38,process_tree,1126.57
110000,95.739,100.0,0.0,25.58125,process_tree,7.38,process_tree,1126.66
120000,104.043,100.0,0.0,26.837500000000002,process_tree,7.38,process_tree,1126.66
130000,112.165,100.0,0.0,27.868750000000002,process_tree,7.38,process_tree,1126.66
140000,119.702,100.0,0.0,13.1125,process_tree,7.38,process_tree,1126.69
150000,127.765,100.0,0.0,21.849999999999998,process_tree,7.38,process_tree,1126.69
160000,135.827,100.0,0.0,24.31875,process_tree,7.38,process_tree,1126.69
170000,143.689,100.0,0.0,25.993750000000002,process_tree,7.38,process_tree,1126.7
180000,152.092,100.0,0.0,29.84375,process_tree,7.38,process_tree,1126.7
190000,160.082,91.064,28.259,27.443749999999998,process_tree,7.38,process_tree,1126.7
200000,167.806,100.0,0.0,8.09375,process_tree,7.38,process_tree,1126.7
210000,175.896,100.0,0.0,26.71875,process_tree,7.38,process_tree,1126.72
220000,184.133,92.331,26.567,27.45625,process_tree,7.38,process_tree,1126.78
230000,192.193,90.927,28.69,28.03125,process_tree,7.38,process_tree,1126.78
240000,200.615,100.0,0.0,25.575,process_tree,7.38,process_tree,1126.78
250000,208.918,90.01,29.97,22.45,process_tree,7.38,process_tree,1126.79
260000,216.972,84.685,35.918,24.924999999999997,process_tree,7.38,process_tree,1126.79
270000,224.563,90.01,29.97,21.212500000000002,process_tree,7.38,process_tree,1126.79
280000,232.736,91.708,27.5,28.0875,process_tree,7.38,process_tree,1126.79
290000,241.153,91.7,27.528,27.450000000000003,process_tree,7.38,process_tree,1126.8
300000,249.393,75.067,43.186,24.893749999999997,process_tree,7.38,process_tree,1126.8
310000,257.586,90.03,29.91,26.7875,process_tree,7.38,process_tree,1126.8
320000,265.917,91.708,27.5,24.93125,process_tree,7.38,process_tree,1126.8
330000,273.793,75.075,43.171,12.35625,process_tree,7.38,process_tree,1126.8
340000,281.686,100.0,0.0,26.8,process_tree,7.38,process_tree,1126.8
350000,289.9,100.0,0.0,25.13125,process_tree,7.38,process_tree,1126.8
360000,298.365,100.0,0.0,25.2875,process_tree,7.38,process_tree,1126.8
370000,306.349,100.0,0.0,26.21875,process_tree,7.38,process_tree,1126.8
380000,314.553,100.0,0.0,30.58125,process_tree,7.38,process_tree,1126.8
