step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,15.3,system,
10000,4.26,1.09,0.657,39.325,process_tree,7.42,process_tree,1132.96
20000,8.297,1.058,0.663,39.31875,process_tree,7.43,process_tree,1133.71
30000,12.348,1.165,0.71,39.30625,process_tree,7.43,process_tree,1134.1
40000,15.654,1.222,0.715,38.693749999999994,process_tree,7.43,process_tree,1134.54
50000,19.682,1.281,0.721,38.693749999999994,process_tree,7.43,process_tree,1134.88
60000,23.721,1.25,0.744,39.95,process_tree,7.44,process_tree,1134.92
70000,27.082,1.307,0.818,26.8625,process_tree,7.44,process_tree,1134.93
80000,31.122,1.333,0.757,39.943749999999994,process_tree,7.44,process_tree,1135.35
90000,35.151,1.376,0.767,40.568749999999994,process_tree,7.44,process_tree,1135.35
100000,38.371,1.576,0.816,23.71875,process_tree,7.44,process_tree,1135.35
110000,42.353,1.648,0.902,39.94375,process_tree,7.44,process_tree,1135.35
120000,46.297,1.826,0.916,41.20625,process_tree,7.44,process_tree,1135.35
130000,50.319,1.812,0.901,40.575,process_tree,7.44,process_tree,1135.36
140000,53.512,1.881,1.075,40.5625,process_tree,7.44,process_tree,1135.36
150000,57.402,2.009,1.079,40.575,process_tree,7.44,process_tree,1135.36
160000,61.331,2.036,1.066,39.95,process_tree,7.44,process_tree,1135.63
170000,64.498,2.161,1.181,41.2,process_tree,7.44,process_tree,1135.63
180000,68.433,2.24,1.18,39.9375,process_tree,7.44,process_tree,1135.64
190000,72.351,2.367,1.278,41.03125,process_tree,7.44,process_tree,1135.64
200000,75.512,2.479,1.355,24.98125,process_tree,7.44,process_tree,1135.69
210000,79.387,2.471,1.43,39.95625,process_tree,7.44,process_tree,1135.82
220000,83.291,2.662,1.555,38.7,process_tree,7.44,process_tree,1135.82
230000,86.492,2.681,1.494,21.84375,process_tree,7.44,process_tree,1135.82
240000,90.365,2.747,1.559,39.95,process_tree,7.44,process_tree,1135.83
250000,94.282,2.693,1.712,41.1875,process_tree,7.44,process_tree,1135.66
260000,98.169,3.326,2.268,39.95,process_tree,7.44,process_tree,1135.93
