step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,15.3,system,
10000,6.869,2.419,2.289,19.96875,process_tree,7.36,process_tree,1124.03
20000,12.574,8.698,9.022,40.56875,process_tree,7.38,process_tree,1126.46
30000,18.212,27.529,27.358,36.825,process_tree,7.39,process_tree,1127.35
40000,24.323,23.448,30.896,26.84375,process_tree,7.39,process_tree,1127.44
50000,29.936,41.887,31.774,30.587500000000002,process_tree,7.39,process_tree,1127.75
60000,35.536,67.792,41.766,25.59375,process_tree,7.39,process_tree,1127.75
70000,41.195,36.097,39.148,33.70625,process_tree,7.39,process_tree,1127.75
80000,46.982,50.858,36.671,24.975,process_tree,7.39,process_tree,1127.75
90000,52.743,64.533,38.71,35.575,process_tree,7.39,process_tree,1127.92
100000,58.412,66.829,39.586,23.71875,process_tree,7.39,process_tree,1127.93
110000,64.082,60.878,41.857,24.96875,process_tree,7.39,process_tree,1128.16
120000,69.625,72.769,34.103,39.31875,process_tree,7.39,process_tree,1128.16
130000,75.423,62.4,39.173,31.20625,process_tree,7.39,process_tree,1128.16
140000,81.109,72.65,34.236,28.0875,process_tree,7.39,process_tree,1128.16
150000,86.919,46.02,39.729,34.318749999999994,process_tree,7.39,process_tree,1128.16
160000,92.492,74.52,39.201,39.325,process_tree,7.39,process_tree,1128.17
170000,98.386,73.393,39.657,31.837500000000002,process_tree,7.39,process_tree,1128.17
180000,103.841,100.0,0.0,32.45,process_tree,7.39,process_tree,1128.17
190000,109.725,43.231,42.35,37.4375,process_tree,7.39,process_tree,1128.18
200000,115.498,40.1,43.626,39.94375,process_tree,7.39,process_tree,1128.19
210000,121.248,99.271,1.785,30.58125,process_tree,7.39,process_tree,1128.19
220000,126.989,36.961,44.831,38.69375,process_tree,7.39,process_tree,1128.19
230000,132.841,71.16,38.973,31.83125,process_tree,7.39,process_tree,1128.19
240000,138.446,55.386,47.21,36.19375,process_tree,7.39,process_tree,1128.19
250000,144.059,14.059,33.922,38.0625,process_tree,7.39,process_tree,1128.2
260000,150.03,10.015,25.251,21.225,process_tree,7.39,process_tree,1128.2
270000,155.75,45.5,45.448,30.575,process_tree,7.39,process_tree,1128.2
280000,161.365,20.59,33.128,38.0625,process_tree,7.39,process_tree,1128.2
290000,167.116,24.071,39.001,23.71875,process_tree,7.39,process_tree,1128.2
300000,172.998,37.067,43.476,28.70625,process_tree,7.39,process_tree,1128.2
310000,178.839,29.395,43.085,36.1875,process_tree,7.39,process_tree,1128.2
320000,184.491,91.523,26.352,34.94375,process_tree,7.39,process_tree,1128.2
330000,190.039,78.546,34.738,37.44375,process_tree,7.39,process_tree,1128.2
340000,195.83,90.982,28.518,31.20625,process_tree,7.39,process_tree,1128.2
350000,201.445,80.764,29.736,38.69375,process_tree,7.39,process_tree,1128.2
360000,207.241,61.893,44.812,26.85,process_tree,7.39,process_tree,1128.2
370000,212.748,100.0,0.0,37.44375,process_tree,7.39,process_tree,1128.2
380000,218.545,68.738,42.176,38.69375,process_tree,7.39,process_tree,1128.2
390000,224.508,85.64,31.555,36.818749999999994,process_tree,7.39,process_tree,1128.2
400000,230.141,79.545,36.97,36.825,process_tree,7.39,process_tree,1128.2
410000,235.907,56.295,47.549,28.7125,process_tree,7.39,process_tree,1128.2
420000,241.632,31.335,43.582,31.212500000000002,process_tree,7.39,process_tree,1128.2
430000,247.294,10.901,26.824,26.84375,process_tree,7.39,process_tree,1128.02
440000,253.529,1.007,3.974,23.725,process_tree,7.39,process_tree,1128.02
450000,259.368,21.568,39.115,27.4625,process_tree,7.39,process_tree,1128.07
460000,264.84,13.394,29.528,34.325,process_tree,7.39,process_tree,1128.09
470000,270.451,15.198,33.244,28.081249999999997,process_tree,7.39,process_tree,1128.09
480000,276.602,4.008,16.344,26.2125,process_tree,7.39,process_tree,1128.09
490000,282.124,33.432,44.154,30.58125,process_tree,7.39,process_tree,1128.09
500000,288.075,30.308,45.336,25.58125,process_tree,7.44,process_tree,1136.22
510000,294.168,25.46,43.038,33.075,process_tree,7.46,process_tree,1138.38
520000,299.97,18.981,37.458,24.34375,process_tree,7.46,process_tree,1138.38
530000,306.152,5.694,20.856,34.3375,process_tree,7.46,process_tree,1138.4
540000,312.336,25.135,42.484,28.7125,process_tree,7.46,process_tree,1138.67
550000,318.298,8.463,24.546,6.24375,process_tree,7.46,process_tree,1138.67
560000,324.353,33.922,44.714,37.45625,process_tree,7.46,process_tree,1138.67
570000,330.273,41.08,48.116,28.0875,process_tree,7.46,process_tree,1138.68
580000,336.436,50.605,49.4,36.81875,process_tree,7.46,process_tree,1138.68
590000,342.52,92.377,26.407,29.325,process_tree,7.46,process_tree,1138.68
600000,348.458,66.674,44.652,37.45,process_tree,7.46,process_tree,1138.68
