step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,43.6,system,
10000,8.803,1.456,0.979,31.2,process_tree,7.34,process_tree,1120.42
20000,15.818,3.017,2.33,27.4625,process_tree,7.34,process_tree,1120.89
30000,22.984,4.722,4.236,28.724999999999998,process_tree,7.35,process_tree,1122.1
40000,29.619,9.015,8.816,34.325,process_tree,7.36,process_tree,1123.0
50000,36.051,22.626,21.544,28.70625,process_tree,7.36,process_tree,1124.15
60000,43.095,27.266,22.158,24.9625,process_tree,7.36,process_tree,1124.2
70000,49.791,55.948,38.572,31.83125,process_tree,7.37,process_tree,1124.38
80000,56.403,83.364,31.959,27.99375,process_tree,7.37,process_tree,1124.39
90000,62.871,61.5,37.907,29.325,process_tree,7.37,process_tree,1124.66
100000,68.989,66.171,41.106,25.581249999999997,process_tree,7.37,process_tree,1124.66
110000,75.114,93.867,17.348,33.6375,process_tree,7.37,process_tree,1124.87
120000,81.165,60.267,41.327,31.825,process_tree,7.37,process_tree,1124.87
130000,87.343,68.606,44.013,28.700000000000003,process_tree,7.37,process_tree,1124.94
140000,93.49,56.217,45.355,36.193749999999994,process_tree,7.37,process_tree,1124.94
150000,99.86,74.018,42.511,32.45,process_tree,7.37,process_tree,1124.98
160000,106.181,91.009,28.432,24.3375,process_tree,7.37,process_tree,1124.79
170000,112.696,86.379,31.598,27.456249999999997,process_tree,7.37,process_tree,1124.79
180000,119.484,57.025,36.155,33.04375,process_tree,7.37,process_tree,1124.79
190000,125.721,77.75,39.187,33.075,process_tree,7.37,process_tree,1124.79
200000,131.749,95.345,14.719,29.887500000000003,process_tree,7.37,process_tree,1124.8
210000,137.855,100.0,0.0,25.5875,process_tree,7.37,process_tree,1124.8
220000,144.114,64.947,40.178,24.9625,process_tree,7.37,process_tree,1124.8
230000,149.987,49.278,43.519,37.443749999999994,process_tree,7.37,process_tree,1124.8
240000,156.602,60.95,41.59,32.45,process_tree,7.37,process_tree,1124.8
250000,162.405,82.559,24.34,29.13125,process_tree,7.37,process_tree,1124.8
260000,169.16,18.269,17.121,36.16875,process_tree,7.37,process_tree,1124.85
270000,175.374,86.525,30.426,33.068749999999994,process_tree,7.37,process_tree,1124.86
280000,181.423,89.882,23.2,36.193749999999994,process_tree,7.37,process_tree,1124.86
290000,187.883,90.12,29.64,34.325,process_tree,7.37,process_tree,1124.86
300000,193.997,65.354,45.073,27.4625,process_tree,7.37,process_tree,1124.86
310000,200.17,84.908,35.396,31.1625,process_tree,7.37,process_tree,1124.86
320000,206.431,98.65,4.477,29.9625,process_tree,7.37,process_tree,1124.86
330000,212.917,36.648,32.321,21.84375,process_tree,7.37,process_tree,1124.86
340000,218.855,100.0,0.0,34.943749999999994,process_tree,7.37,process_tree,1124.86
350000,225.644,100.0,0.0,22.46875,process_tree,7.37,process_tree,1124.86
360000,231.51,96.48,10.56,28.706249999999997,process_tree,7.37,process_tree,1124.89
370000,237.615,84.05,31.46,28.7,process_tree,7.37,process_tree,1124.89
380000,244.12,41.344,39.732,34.318749999999994,process_tree,7.37,process_tree,1124.89
390000,250.365,32.781,26.5,20.59375,process_tree,7.37,process_tree,1124.89
400000,256.997,25.018,27.48,28.69375,process_tree,7.37,process_tree,1124.89
410000,263.603,26.26,22.136,26.2125,process_tree,7.37,process_tree,1124.89
420000,269.773,69.844,32.229,38.068749999999994,process_tree,7.37,process_tree,1124.9
430000,275.796,65.611,31.948,28.70625,process_tree,7.37,process_tree,1124.9
440000,282.38,60.009,33.862,27.4625,process_tree,7.37,process_tree,1124.9
450000,288.551,89.443,25.86,33.68125,process_tree,7.37,process_tree,1124.9
460000,294.703,92.511,21.182,34.3375,process_tree,7.37,process_tree,1124.9
470000,301.101,87.877,26.077,25.581249999999997,process_tree,7.37,process_tree,1124.9
480000,306.931,96.064,12.448,33.074999999999996,process_tree,7.37,process_tree,1124.94
490000,313.056,100.0,0.0,33.675,process_tree,7.37,process_tree,1124.98
500000,319.286,74.253,42.733,23.09375,process_tree,7.43,process_tree,1134.47
510000,325.332,71.6,36.205,31.19375,process_tree,7.43,process_tree,1134.87
520000,331.433,85.829,34.713,31.825,process_tree,7.44,process_tree,1134.92
530000,337.683,87.507,30.645,33.66875,process_tree,7.44,process_tree,1134.92
540000,343.893,100.0,0.0,34.943749999999994,process_tree,7.44,process_tree,1134.92
550000,350.223,100.0,0.0,33.075,process_tree,7.44,process_tree,1134.92
560000,356.52,100.0,0.0,21.21875,process_tree,7.44,process_tree,1134.92
570000,362.552,100.0,0.0,36.1875,process_tree,7.44,process_tree,1134.92
580000,369.158,100.0,0.0,22.4625,process_tree,7.44,process_tree,1134.92
