step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,22.2,system,
10000,6.853,1.722,1.219,26.8375,process_tree,7.71,process_tree,1176.18
20000,12.575,4.793,3.678,26.84375,process_tree,7.71,process_tree,1176.71
30000,18.231,16.715,17.621,18.71875,process_tree,7.72,process_tree,1178.13
40000,23.952,40.936,32.576,24.34375,process_tree,7.72,process_tree,1178.15
50000,29.744,39.084,28.102,24.34375,process_tree,7.72,process_tree,1178.16
60000,35.447,33.165,38.25,21.84375,process_tree,7.72,process_tree,1178.16
70000,41.171,32.465,37.864,24.34375,process_tree,7.72,process_tree,1178.17
80000,46.876,52.315,31.631,22.46875,process_tree,7.72,process_tree,1178.19
90000,52.745,59.018,32.967,26.225,process_tree,7.72,process_tree,1178.19
100000,58.383,90.04,29.88,27.4625,process_tree,7.72,process_tree,1178.2
110000,63.883,66.9,38.018,19.96875,process_tree,7.72,process_tree,1178.47
120000,69.6,80.862,34.409,22.46875,process_tree,7.72,process_tree,1178.47
130000,75.4,86.985,30.915,21.21875,process_tree,7.72,process_tree,1178.48
140000,81.103,65.606,37.862,20.6,process_tree,7.72,process_tree,1178.48
150000,86.798,48.854,31.349,19.34375,process_tree,7.72,process_tree,1178.48
160000,92.612,84.786,34.028,21.84375,process_tree,7.72,process_tree,1178.48
170000,98.318,84.075,17.505,22.46875,process_tree,7.72,process_tree,1178.48
180000,104.041,61.338,41.815,25.5875,process_tree,7.72,process_tree,1178.67
190000,109.752,58.321,48.303,19.96875,process_tree,7.72,process_tree,1178.67
200000,115.55,82.986,34.222,22.4625,process_tree,7.72,process_tree,1178.67
210000,121.229,63.295,41.184,22.4625,process_tree,7.72,process_tree,1178.67
220000,127.085,30.654,22.342,24.98125,process_tree,7.72,process_tree,1178.67
230000,132.655,37.167,24.85,20.59375,process_tree,7.72,process_tree,1178.67
240000,138.681,100.0,0.0,24.96875,process_tree,7.72,process_tree,1178.67
250000,144.482,91.045,28.317,26.1375,process_tree,7.72,process_tree,1178.67
260000,150.226,91.867,26.975,24.3375,process_tree,7.72,process_tree,1178.67
270000,155.894,92.454,26.141,25.59375,process_tree,7.72,process_tree,1178.67
280000,161.732,54.15,46.601,23.71875,process_tree,7.72,process_tree,1178.67
290000,167.561,47.654,42.566,24.9625,process_tree,7.72,process_tree,1178.67
300000,173.252,26.514,28.649,27.46875,process_tree,7.72,process_tree,1178.67
310000,179.11,45.953,40.982,21.84375,process_tree,7.72,process_tree,1178.73
320000,184.676,53.824,40.104,19.34375,process_tree,7.72,process_tree,1178.73
330000,190.292,45.496,38.492,25.59375,process_tree,7.72,process_tree,1178.73
340000,196.111,48.272,36.151,22.4625,process_tree,7.72,process_tree,1178.73
350000,201.958,51.447,32.588,21.8375,process_tree,7.72,process_tree,1178.73
360000,207.598,64.1,32.685,22.4625,process_tree,7.72,process_tree,1178.73
370000,213.242,47.109,42.98,21.84375,process_tree,7.72,process_tree,1178.73
380000,218.931,92.438,26.194,24.3375,process_tree,7.72,process_tree,1178.73
390000,224.812,28.675,20.972,23.71875,process_tree,7.72,process_tree,1178.73
400000,230.507,53.652,40.242,29.331249999999997,process_tree,7.72,process_tree,1178.73
410000,236.305,30.062,33.545,29.331249999999997,process_tree,7.72,process_tree,1178.73
