step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,47.1,system,
10000,15.962,1.16,0.673,21.193749999999998,process_tree,7.48,process_tree,1141.86
20000,30.471,1.14,0.694,21.84375,process_tree,7.49,process_tree,1143.07
30000,44.795,1.271,0.792,20.55,process_tree,7.49,process_tree,1143.43
40000,58.415,1.497,0.886,18.08125,process_tree,7.49,process_tree,1143.44
50000,72.216,1.688,1.08,20.0125,process_tree,7.49,process_tree,1143.87
60000,85.565,2.097,1.389,18.075,process_tree,7.5,process_tree,1144.51
70000,99.322,2.509,1.787,22.45,process_tree,7.5,process_tree,1144.51
80000,112.281,3.406,2.45,25.456249999999997,process_tree,7.5,process_tree,1144.51
90000,125.273,5.43,4.484,19.3375,process_tree,7.5,process_tree,1144.55
100000,138.102,10.565,9.223,20.16875,process_tree,7.5,process_tree,1144.61
110000,150.168,21.458,19.854,22.9625,process_tree,7.5,process_tree,1145.34
120000,159.81,55.375,28.896,24.943749999999998,process_tree,7.5,process_tree,1145.46
130000,172.562,68.645,35.034,21.75,process_tree,7.51,process_tree,1145.77
140000,185.435,94.283,15.529,22.2,process_tree,7.51,process_tree,1145.8
150000,198.755,91.69,17.999,18.65,process_tree,7.51,process_tree,1145.8
160000,212.371,91.408,20.29,22.462500000000002,process_tree,7.51,process_tree,1145.8
170000,225.342,84.673,31.543,20.331249999999997,process_tree,7.51,process_tree,1145.8
180000,238.446,87.675,32.609,19.2,process_tree,7.51,process_tree,1145.8
190000,251.347,100.0,0.0,16.84375,process_tree,7.51,process_tree,1145.91
200000,266.857,100.0,0.0,19.34375,process_tree,7.51,process_tree,1146.01
210000,279.804,100.0,0.0,19.9125,process_tree,7.51,process_tree,1146.04
220000,292.805,100.0,0.0,22.46875,process_tree,7.51,process_tree,1146.21
230000,305.746,100.0,0.0,21.631249999999998,process_tree,7.51,process_tree,1146.21
