step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,43.6,system,
10000,10.754,1.0,0.623,23.0875,process_tree,7.36,process_tree,1123.61
20000,19.691,1.211,0.779,26.824999999999996,process_tree,7.37,process_tree,1124.39
30000,28.61,1.479,0.78,25.5625,process_tree,7.37,process_tree,1124.4
40000,38.188,1.858,1.077,24.28125,process_tree,7.37,process_tree,1124.53
50000,46.922,2.435,1.543,28.6875,process_tree,7.37,process_tree,1124.61
60000,56.011,3.18,2.182,28.65,process_tree,7.37,process_tree,1124.88
70000,64.227,4.564,4.23,28.03125,process_tree,7.37,process_tree,1125.41
80000,71.877,7.266,6.643,10.60625,process_tree,7.37,process_tree,1125.45
90000,80.195,10.533,11.239,21.831249999999997,process_tree,7.38,process_tree,1126.04
100000,88.77,27.618,28.358,23.09375,process_tree,7.38,process_tree,1126.39
110000,97.189,53.843,43.485,28.7,process_tree,7.38,process_tree,1126.39
120000,105.377,77.985,40.257,27.4,process_tree,7.38,process_tree,1126.43
130000,113.257,100.0,0.0,20.549999999999997,process_tree,7.38,process_tree,1126.44
140000,121.555,100.0,0.0,11.85625,process_tree,7.38,process_tree,1126.44
150000,129.337,100.0,0.0,26.8125,process_tree,7.38,process_tree,1126.44
160000,136.946,100.0,0.0,24.8125,process_tree,7.38,process_tree,1126.45
170000,145.37,100.0,0.0,22.45,process_tree,7.38,process_tree,1126.45
180000,153.945,100.0,0.0,26.112499999999997,process_tree,7.38,process_tree,1126.45
190000,161.658,100.0,0.0,24.24375,process_tree,7.38,process_tree,1126.45
200000,169.921,100.0,0.0,27.3875,process_tree,7.38,process_tree,1126.57
