step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,17.2,system,
10000,5.259,1.143,0.709,43.056250000000006,process_tree,7.48,process_tree,1141.62
20000,9.341,1.144,0.731,43.66875,process_tree,7.62,process_tree,1163.43
30000,12.67,1.151,0.749,43.074999999999996,process_tree,7.77,process_tree,1186.35
40000,16.206,1.051,0.613,40.5625,process_tree,7.91,process_tree,1207.75
50000,19.748,1.151,0.73,43.68125,process_tree,8.06,process_tree,1229.93
60000,23.14,1.115,0.67,43.68125,process_tree,8.21,process_tree,1253.93
70000,26.65,1.086,0.688,44.3125,process_tree,8.35,process_tree,1275.21
80000,29.943,1.122,0.643,43.0625,process_tree,8.49,process_tree,1296.11
90000,33.485,1.113,0.702,42.4375,process_tree,8.64,process_tree,1318.29
100000,36.731,1.154,0.714,43.675,process_tree,8.79,process_tree,1341.13
110000,40.046,1.151,0.705,43.037499999999994,process_tree,8.95,process_tree,1365.79
120000,43.655,1.108,0.638,41.8125,process_tree,9.1,process_tree,1389.75
130000,46.925,1.184,0.782,44.925,process_tree,9.21,process_tree,1406.29
140000,50.276,1.106,0.771,43.675,process_tree,9.38,process_tree,1431.38
150000,53.987,1.124,0.677,43.68125,process_tree,9.5,process_tree,1449.97
160000,57.257,1.207,0.7,39.30625,process_tree,9.66,process_tree,1474.23
170000,60.572,1.269,0.738,42.43125,process_tree,9.79,process_tree,1493.67
180000,63.889,1.148,0.707,43.06875,process_tree,9.95,process_tree,1518.89
190000,67.175,1.132,0.746,41.8125,process_tree,10.08,process_tree,1538.09
200000,70.924,1.122,0.672,42.43125,process_tree,10.25,process_tree,1564.89
210000,74.21,1.125,0.682,43.68125,process_tree,10.37,process_tree,1582.75
220000,77.544,1.086,0.639,43.04375,process_tree,10.57,process_tree,1612.71
230000,80.861,1.126,0.697,43.068749999999994,process_tree,10.67,process_tree,1628.41
240000,84.177,1.17,0.706,40.5625,process_tree,10.8,process_tree,1648.36
250000,87.995,1.137,0.721,43.04375,process_tree,11.0,process_tree,1678.48
260000,91.313,1.163,0.698,43.675,process_tree,11.1,process_tree,1694.27
270000,94.609,1.155,0.721,44.29375,process_tree,11.23,process_tree,1714.36
280000,97.958,1.15,0.65,41.80625,process_tree,11.44,process_tree,1746.11
290000,101.348,1.203,0.713,42.4375,process_tree,11.54,process_tree,1761.77
300000,104.684,1.121,0.691,40.5625,process_tree,11.67,process_tree,1781.07
310000,108.677,1.144,0.698,42.4375,process_tree,11.9,process_tree,1817.14
320000,111.936,1.156,0.684,43.0625,process_tree,12.01,process_tree,1832.58
330000,115.268,1.157,0.729,43.0625,process_tree,12.11,process_tree,1848.56
340000,118.583,1.138,0.722,41.81875,process_tree,12.24,process_tree,1868.84
350000,121.875,1.163,0.674,42.4375,process_tree,12.47,process_tree,1903.2
360000,125.202,1.172,0.674,42.43125,process_tree,12.57,process_tree,1919.43
370000,128.494,1.186,0.741,42.425,process_tree,12.68,process_tree,1935.88
380000,132.554,1.224,0.73,44.29375,process_tree,12.82,process_tree,1956.93
390000,135.911,1.13,0.699,42.4375,process_tree,13.05,process_tree,1992.2
400000,139.212,1.157,0.739,42.41875,process_tree,13.16,process_tree,2008.68
410000,142.481,1.139,0.658,43.6875,process_tree,13.27,process_tree,2025.32
420000,145.79,1.194,0.684,42.4375,process_tree,13.4,process_tree,2045.09
430000,149.098,1.193,0.75,43.05,process_tree,13.54,process_tree,2066.5
440000,235.681,1.173,0.692,41.2125,process_tree,10.24,process_tree,1563.47
450000,238.344,1.335,0.734,41.80625,process_tree,10.04,process_tree,1532.57
460000,240.941,1.309,0.884,41.818749999999994,process_tree,9.92,process_tree,1514.63
470000,243.594,1.34,0.885,41.1875,process_tree,9.91,process_tree,1512.15
480000,246.349,1.406,0.963,40.5625,process_tree,9.87,process_tree,1506.15
490000,249.203,1.273,0.745,41.8125,process_tree,9.86,process_tree,1505.15
500000,251.869,1.342,0.819,34.95,process_tree,9.9,process_tree,1510.49
510000,254.82,1.337,0.838,41.1875,process_tree,9.9,process_tree,1510.5
520000,257.545,1.341,0.834,39.943749999999994,process_tree,9.9,process_tree,1510.5
530000,260.2,1.268,0.807,25.5875,process_tree,9.91,process_tree,1512.04
540000,263.225,1.297,0.818,39.943749999999994,process_tree,10.01,process_tree,1527.25
550000,265.871,1.248,0.699,40.58125,process_tree,10.1,process_tree,1542.44
560000,268.914,1.272,0.865,40.5625,process_tree,10.2,process_tree,1557.68
570000,271.551,1.315,0.778,41.1875,process_tree,10.3,process_tree,1572.78
580000,274.235,1.227,0.757,41.1875,process_tree,10.4,process_tree,1588.0
590000,276.923,1.297,0.836,41.18125,process_tree,10.5,process_tree,1603.17
600000,280.025,1.308,0.758,41.175,process_tree,10.6,process_tree,1618.33
610000,282.726,1.324,0.834,41.175,process_tree,10.7,process_tree,1633.53
620000,285.413,1.313,0.726,41.19375,process_tree,10.8,process_tree,1648.77
630000,288.161,1.255,0.745,39.30625,process_tree,10.9,process_tree,1663.89
640000,291.286,1.291,0.755,41.1875,process_tree,11.0,process_tree,1679.06
650000,293.963,1.32,0.787,39.3125,process_tree,11.1,process_tree,1694.28
660000,296.596,1.355,0.88,39.943749999999994,process_tree,11.2,process_tree,1709.48
670000,299.246,1.36,0.865,41.18125,process_tree,11.3,process_tree,1724.64
680000,301.913,1.252,0.751,39.3125,process_tree,11.4,process_tree,1739.84
690000,305.134,1.263,0.814,41.8125,process_tree,11.5,process_tree,1754.97
700000,307.822,1.316,0.823,41.8,process_tree,11.6,process_tree,1770.15
710000,310.462,1.314,0.827,39.95,process_tree,11.71,process_tree,1786.96
720000,313.199,1.359,0.852,39.95,process_tree,11.81,process_tree,1802.29
730000,315.872,1.239,0.742,41.80625,process_tree,11.91,process_tree,1817.5
740000,318.636,1.3,0.849,41.8125,process_tree,12.11,process_tree,1849.06
750000,321.264,1.37,0.867,39.93125,process_tree,12.22,process_tree,1864.64
760000,324.644,1.313,0.783,40.568749999999994,process_tree,12.32,process_tree,1880.51
770000,327.321,1.261,0.841,38.693749999999994,process_tree,12.42,process_tree,1896.14
780000,330.011,1.287,0.743,41.1625,process_tree,12.66,process_tree,1932.8
790000,333.003,1.321,0.801,38.68125,process_tree,12.76,process_tree,1948.43
800000,335.98,1.284,0.749,38.675,process_tree,12.87,process_tree,1964.14
810000,339.011,1.345,0.79,39.9375,process_tree,12.97,process_tree,1979.98
820000,341.754,1.368,0.869,39.95,process_tree,13.19,process_tree,2013.62
830000,344.567,1.251,0.789,39.9375,process_tree,13.29,process_tree,2029.19
840000,347.85,1.275,0.804,40.575,process_tree,13.4,process_tree,2044.68
850000,350.501,1.251,0.741,40.58125,process_tree,13.5,process_tree,2060.36
860000,353.183,1.353,0.841,39.943749999999994,process_tree,13.6,process_tree,2075.96
870000,355.844,1.265,0.696,41.1875,process_tree,13.85,process_tree,2114.66
880000,432.843,1.497,1.051,40.54375,process_tree,10.89,process_tree,1662.89
890000,435.471,1.839,1.275,40.56875,process_tree,10.74,process_tree,1639.9
900000,438.064,1.706,1.103,41.193749999999994,process_tree,10.65,process_tree,1624.9
910000,440.719,1.639,1.072,40.55625,process_tree,10.61,process_tree,1619.9
920000,443.315,1.71,1.039,40.55625,process_tree,10.61,process_tree,1618.9
930000,446.143,1.713,1.196,40.55,process_tree,10.58,process_tree,1614.9
940000,448.758,1.649,1.051,39.9375,process_tree,10.58,process_tree,1614.9
950000,451.632,1.698,1.087,41.1875,process_tree,10.58,process_tree,1614.9
960000,454.403,1.655,1.05,41.825,process_tree,10.58,process_tree,1614.9
970000,457.875,1.667,1.212,39.30625,process_tree,10.58,process_tree,1614.9
980000,461.082,1.797,1.111,38.675,process_tree,10.58,process_tree,1614.9
990000,464.262,1.754,1.16,39.9375,process_tree,10.58,process_tree,1614.9
1000000,467.75,1.742,1.121,38.68125,process_tree,10.58,process_tree,1614.9
1010000,470.864,1.769,1.145,41.19375,process_tree,10.61,process_tree,1619.86
1020000,473.561,1.744,1.149,42.4375,process_tree,10.71,process_tree,1634.99
1030000,476.527,1.893,1.248,40.5625,process_tree,10.81,process_tree,1650.01
1040000,480.07,1.809,1.235,41.193749999999994,process_tree,10.91,process_tree,1665.29
1050000,482.832,1.719,1.095,40.55625,process_tree,11.01,process_tree,1680.39
1060000,485.305,1.747,1.096,41.20625,process_tree,11.11,process_tree,1695.57
1070000,487.599,1.638,1.021,41.2,process_tree,11.21,process_tree,1710.65
1080000,490.443,1.759,1.152,36.818749999999994,process_tree,11.31,process_tree,1725.75
1090000,493.442,1.757,1.048,40.55625,process_tree,11.4,process_tree,1740.84
1100000,496.23,1.642,1.093,41.18125,process_tree,11.5,process_tree,1756.09
1110000,498.81,1.927,1.264,40.5625,process_tree,11.6,process_tree,1771.15
