step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,22.1,system,
10000,6.897,1.092,0.694,31.825,process_tree,7.46,process_tree,1137.98
20000,13.373,1.165,0.725,27.40625,process_tree,7.46,process_tree,1138.62
30000,24.603,1.375,0.863,23.025,process_tree,7.46,process_tree,1139.14
40000,43.74,1.712,0.904,16.7625,process_tree,7.47,process_tree,1140.04
50000,59.619,2.313,1.415,19.849999999999998,process_tree,7.47,process_tree,1140.05
60000,72.792,2.854,1.874,16.14375,process_tree,7.47,process_tree,1140.37
70000,87.211,4.251,3.033,18.08125,process_tree,7.47,process_tree,1140.39
80000,109.738,7.146,6.662,14.81875,process_tree,7.48,process_tree,1141.32
90000,127.631,10.416,8.996,17.2125,process_tree,7.48,process_tree,1142.09
100000,141.773,18.145,13.548,18.70625,process_tree,7.48,process_tree,1142.11
110000,152.414,36.925,31.894,19.95,process_tree,7.49,process_tree,1142.54
120000,164.076,57.979,36.518,24.881249999999998,process_tree,7.49,process_tree,1143.57
130000,174.645,69.58,39.042,21.837500000000002,process_tree,7.49,process_tree,1143.99
140000,184.173,27.961,22.908,20.58125,process_tree,7.49,process_tree,1144.0
150000,197.883,26.003,15.594,19.275,process_tree,7.49,process_tree,1143.99
160000,212.673,40.806,34.713,7.48125,process_tree,7.5,process_tree,1144.24
170000,228.358,39.53,31.863,16.20625,process_tree,7.5,process_tree,1144.7
180000,241.693,94.291,13.985,15.6,process_tree,7.5,process_tree,1144.88
190000,257.549,37.347,32.372,15.875,process_tree,7.5,process_tree,1144.88
200000,272.457,20.392,12.346,15.3625,process_tree,7.5,process_tree,1144.95
210000,287.431,28.986,28.597,15.59375,process_tree,7.5,process_tree,1144.95
220000,304.008,77.525,38.548,15.33125,process_tree,7.5,process_tree,1144.96
230000,321.197,86.331,29.285,16.83125,process_tree,7.5,process_tree,1144.96
240000,336.461,82.992,24.049,14.94375,process_tree,7.5,process_tree,1144.96
250000,352.159,45.714,38.824,17.55,process_tree,7.5,process_tree,1145.0
260000,365.236,66.033,43.041,16.11875,process_tree,7.5,process_tree,1145.0
270000,377.651,73.464,42.056,15.756250000000001,process_tree,7.5,process_tree,1145.0
280000,391.786,98.1,6.008,16.475,process_tree,7.5,process_tree,1145.0
290000,410.138,100.0,0.0,13.73125,process_tree,7.5,process_tree,1145.12
300000,425.391,100.0,0.0,18.05,process_tree,7.5,process_tree,1145.12
310000,438.871,100.0,0.0,17.95,process_tree,7.5,process_tree,1145.13
320000,452.617,100.0,0.0,18.075,process_tree,7.5,process_tree,1145.13
