step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,15.4,system,
10000,4.123,1.03,0.673,41.1875,process_tree,7.48,process_tree,1142.51
20000,6.943,1.047,0.634,38.075,process_tree,7.63,process_tree,1165.17
30000,9.499,1.024,0.59,26.8375,process_tree,7.78,process_tree,1186.95
40000,12.151,1.076,0.647,40.5625,process_tree,7.92,process_tree,1208.43
50000,14.857,1.092,0.742,39.943749999999994,process_tree,8.06,process_tree,1230.68
60000,17.378,1.089,0.651,39.9375,process_tree,8.21,process_tree,1253.91
70000,20.127,1.068,0.677,39.95,process_tree,8.35,process_tree,1275.0
80000,22.645,1.038,0.616,41.83125,process_tree,8.5,process_tree,1296.88
90000,25.424,1.09,0.685,39.95,process_tree,8.64,process_tree,1318.91
100000,27.961,1.075,0.651,40.5625,process_tree,8.79,process_tree,1341.14
110000,30.48,1.005,0.635,42.4375,process_tree,8.94,process_tree,1364.07
120000,33.39,1.064,0.665,41.8125,process_tree,9.1,process_tree,1388.8
130000,35.891,1.016,0.599,40.5625,process_tree,9.22,process_tree,1406.84
140000,38.46,1.043,0.666,40.568749999999994,process_tree,9.37,process_tree,1430.16
150000,41.393,1.062,0.598,40.5625,process_tree,9.55,process_tree,1457.18
160000,43.923,1.08,0.635,41.2,process_tree,9.65,process_tree,1473.74
170000,46.413,1.079,0.685,41.20625,process_tree,9.84,process_tree,1501.27
180000,48.922,1.075,0.694,40.5625,process_tree,9.94,process_tree,1517.9
190000,51.886,1.078,0.659,39.94375,process_tree,10.13,process_tree,1547.0
200000,54.409,1.069,0.644,41.825,process_tree,10.24,process_tree,1562.62
210000,56.863,1.121,0.718,40.5625,process_tree,10.37,process_tree,1582.97
220000,59.409,1.056,0.633,41.818749999999994,process_tree,10.55,process_tree,1610.04
230000,61.872,1.089,0.676,42.2375,process_tree,10.67,process_tree,1628.27
240000,64.956,1.062,0.66,39.943749999999994,process_tree,10.87,process_tree,1659.92
250000,67.496,1.002,0.616,41.81875,process_tree,10.98,process_tree,1675.59
260000,69.996,1.087,0.695,40.568749999999994,process_tree,11.1,process_tree,1694.2
